------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"Oregon",41000,3.5,139941,"38 of 51"
"Gilliam County",41021,1.1,21,"774 of 3140"
"Wheeler County",41069,1.3,19,"1064 of 3140"
"Harney County",41025,1.8,130,"1619 of 3140"
"Tillamook County",41057,1.9,486,"1690 of 3140"
"Marion County",41047,2.1,6970,"1903 of 3140"
"Linn County",41043,2.3,2797,"2056 of 3140"
"Crook County",41013,2.5,545,"2177 of 3140"
"Clackamas County",41005,2.6,10256,"2220 of 3140"
"Umatilla County",41059,2.8,2091,"2322 of 3140"
"Polk County",41053,2.8,2206,"2339 of 3140"
"Jefferson County",41031,2.8,635,"2357 of 3140"
"Grant County",41023,3.0,213,"2442 of 3140"
"Baker County",41001,3.1,495,"2514 of 3140"
"Hood River County",41027,3.2,724,"2537 of 3140"
"Union County",41061,3.3,846,"2600 of 3140"
"Yamhill County",41071,3.3,3365,"2603 of 3140"
"Coos County",41011,3.4,2105,"2620 of 3140"
"Sherman County",41055,3.4,55,"2630 of 3140"
"Wasco County",41065,3.5,896,"2664 of 3140"
"Jackson County",41029,3.5,7425,"2670 of 3140"
"Washington County",41067,3.5,20013,"2671 of 3140"
"Columbia County",41009,3.6,1766,"2684 of 3140"
"Douglas County",41019,3.6,3833,"2699 of 3140"
"Lincoln County",41041,3.6,1692,"2704 of 3140"
"Klamath County",41035,3.7,2440,"2733 of 3140"
"Lane County",41039,3.9,13945,"2767 of 3140"
"Deschutes County",41017,4.1,7048,"2810 of 3140"
"Multnomah County",41051,4.2,32898,"2841 of 3140"
"Morrow County",41049,4.2,463,"2845 of 3140"
"Josephine County",41033,4.3,3559,"2851 of 3140"
"Lake County",41037,4.5,346,"2897 of 3140"
"Benton County",41003,4.5,3960,"2908 of 3140"
"Malheur County",41045,5.1,1538,"2976 of 3140"
"Wallowa County",41063,5.2,354,"2992 of 3140"
"Clatsop County",41007,5.3,1985,"2999 of 3140"
"Curry County",41015,8.2,1821,"3119 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
