------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Oregon",41000,9.9,398401,"18 of 51"
"United States",00000,13.4,43028127,"N/A"
"Sherman County",41055,2.2,36,"1809 of 3140"
"Wallowa County",41063,2.2,152,"1800 of 3140"
"Grant County",41023,2.4,172,"1719 of 3140"
"Baker County",41001,2.5,393,"1693 of 3140"
"Lake County",41037,2.6,205,"1608 of 3140"
"Douglas County",41019,2.6,2847,"1596 of 3140"
"Wheeler County",41069,2.7,38,"1573 of 3140"
"Harney County",41025,2.8,198,"1534 of 3140"
"Gilliam County",41021,2.8,54,"1503 of 3140"
"Columbia County",41009,3.0,1489,"1437 of 3140"
"Crook County",41013,3.1,665,"1396 of 3140"
"Coos County",41011,3.7,2335,"1200 of 3140"
"Curry County",41015,3.7,835,"1195 of 3140"
"Union County",41061,3.9,1009,"1147 of 3140"
"Josephine County",41033,4.0,3367,"1123 of 3140"
"Deschutes County",41017,4.0,7057,"1106 of 3140"
"Linn County",41043,4.1,4933,"1093 of 3140"
"Clatsop County",41007,4.6,1736,"995 of 3140"
"Lincoln County",41041,5.5,2584,"839 of 3140"
"Tillamook County",41057,5.6,1437,"818 of 3140"
"Klamath County",41035,5.6,3706,"805 of 3140"
"Lane County",41039,5.9,21465,"756 of 3140"
"Jackson County",41029,6.0,12633,"751 of 3140"
"Jefferson County",41031,7.1,1618,"595 of 3140"
"Wasco County",41065,7.6,1965,"537 of 3140"
"Clackamas County",41005,8.1,32259,"498 of 3140"
"Polk County",41053,8.2,6556,"488 of 3140"
"Yamhill County",41071,9.1,9272,"414 of 3140"
"Malheur County",41045,9.7,2965,"368 of 3140"
"Benton County",41003,10.1,8893,"349 of 3140"
"Umatilla County",41059,10.9,8399,"288 of 3140"
"Marion County",41047,12.8,42246,"231 of 3140"
"Multnomah County",41051,14.2,111817,"198 of 3140"
"Hood River County",41027,15.9,3653,"168 of 3140"
"Morrow County",41049,16.7,1865,"150 of 3140"
"Washington County",41067,17.1,97547,"148 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
