------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Oregon",41000,2.6,41187,"31 of 51"
"United States",00000,4.5,5305440,"N/A"
"Gilliam County",41021,0.0,0,"1 of 3140"
"Sherman County",41055,0.0,0,"1 of 3140"
"Wheeler County",41069,0.0,0,"1 of 3140"
"Crook County",41013,0.3,27,"762 of 3140"
"Josephine County",41033,0.3,118,"839 of 3140"
"Baker County",41001,0.3,24,"860 of 3140"
"Columbia County",41009,0.4,77,"976 of 3140"
"Wallowa County",41063,0.4,13,"1005 of 3140"
"Lake County",41037,0.4,15,"1023 of 3140"
"Tillamook County",41057,0.5,52,"1124 of 3140"
"Coos County",41011,0.5,141,"1174 of 3140"
"Douglas County",41019,0.6,256,"1236 of 3140"
"Linn County",41043,0.7,302,"1350 of 3140"
"Union County",41061,0.7,76,"1461 of 3140"
"Grant County",41023,0.8,24,"1479 of 3140"
"Deschutes County",41017,0.8,564,"1545 of 3140"
"Lincoln County",41041,0.8,168,"1546 of 3140"
"Curry County",41015,0.8,85,"1553 of 3140"
"Klamath County",41035,1.2,322,"1876 of 3140"
"Jefferson County",41031,1.3,99,"1954 of 3140"
"Lane County",41039,1.4,2147,"2047 of 3140"
"Jackson County",41029,1.6,1340,"2127 of 3140"
"Clatsop County",41007,1.7,266,"2196 of 3140"
"Harney County",41025,1.8,54,"2229 of 3140"
"Clackamas County",41005,1.8,2793,"2261 of 3140"
"Polk County",41053,2.1,625,"2373 of 3140"
"Benton County",41003,2.4,842,"2488 of 3140"
"Wasco County",41065,2.5,249,"2498 of 3140"
"Yamhill County",41071,2.6,939,"2543 of 3140"
"Multnomah County",41051,3.9,12499,"2768 of 3140"
"Washington County",41067,4.0,8562,"2775 of 3140"
"Malheur County",41045,4.0,415,"2776 of 3140"
"Umatilla County",41059,4.3,1171,"2809 of 3140"
"Hood River County",41027,4.6,395,"2837 of 3140"
"Marion County",41047,5.3,6168,"2881 of 3140"
"Morrow County",41049,9.1,359,"3040 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
