------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=02&areatype=county&cancer=035&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '035', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=02&areatype=county&cancer=035&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for  by Borough or Census Area

"Liver & Bile Duct, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska",02900,***,6.5 ,5.6, 7.5,46,rising,1.9 ,0.5, 3.3
"United States",00000,***,6.5 ,6.5, 6.6,24806,rising,1.3 ,0.6, 1.9
"Anchorage Municipality",02020,***,7.8 ,6.3, 9.6,20,rising,2.8 ,0.5, 5.1
"Kenai Peninsula Borough",02122,***,7.4 ,4.8, 10.9,6,*,*,*,*
"Fairbanks North Borough",02090,***,6.1 ,3.7, 9.3,5,*,*,*,*
"Matanuska-Susitna Borough",02170,***,5.1 ,3.2, 7.9,5,*,*,*,*
"Aleutians East Borough (3)",02013,***,* ,*, *,3 or fewer,*,*,*,*
"Aleutians West Census Area (3)",02016,***,* ,*, *,3 or fewer,*,*,*,*
"Bethel Census Area",02050,***,* ,*, *,3 or fewer,*,*,*,*
"Bristol Bay Borough",02060,***,* ,*, *,3 or fewer,*,*,*,*
"Denali Borough",02068,***,* ,*, *,3 or fewer,*,*,*,*
"Dillingham Census Area (3)",02070,***,* ,*, *,3 or fewer,*,*,*,*
"Haines Borough",02100,***,* ,*, *,3 or fewer,*,*,*,*
"Juneau City and Borough",02110,***,* ,*, *,3 or fewer,*,*,*,*
"Ketchikan Gateway Borough",02130,***,* ,*, *,3 or fewer,*,*,*,*
"Kodiak Island Borough",02150,***,* ,*, *,3 or fewer,*,*,*,*
"Lake and Peninsula Borough (3)",02164,***,* ,*, *,3 or fewer,*,*,*,*
"Nome Census Area",02180,***,* ,*, *,3 or fewer,*,*,*,*
"North Slope Borough",02185,***,* ,*, *,3 or fewer,*,*,*,*
"Northwest Arctic Borough",02188,***,* ,*, *,3 or fewer,*,*,*,*
"Prince of Wales-Outer Ketchikan Census Area",02201,***,* ,*, *,3 or fewer,*,*,*,*
"Sitka City and Borough",02220,***,* ,*, *,3 or fewer,*,*,*,*
"Skagway-Hoonah-Angoon Census Area (3)",02232,***,* ,*, *,3 or fewer,*,*,*,*
"Southeast Fairbanks Census Area",02240,***,* ,*, *,3 or fewer,*,*,*,*
"Valdez-Cordova Census Area",02261,***,* ,*, *,3 or fewer,*,*,*,*
"Wade Hampton Census Area",02270,***,* ,*, *,3 or fewer,*,*,*,*
"Wrangell-Petersburg Census Area",02280,***,* ,*, *,3 or fewer,*,*,*,*
"Yakutat City and Borough (3)",02282,***,* ,*, *,3 or fewer,*,*,*,*
"Yukon-Koyukuk Census Area",02290,***,* ,*, *,3 or fewer,*,*,*,*

