------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=2&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '2', 'age': '001', 'type': 'death', 'file_name': 'deathrates_032.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=2&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for  by Borough or Census Area

"All Cancer Sites, 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska",02900,Yes,145.8 ,139.5, 152.4,447,falling,-1.1 ,-1.3, -0.8
"United States",00000,Yes,137.7 ,137.4, 137.9,280047,falling,-1.4 ,-1.5, -1.4
"North Slope Borough",02185,No,219.8 ,138, 328.4,5,stable,0.6 ,-2.3, 3.6
"Prince of Wales-Outer Ketchikan Census Area",02201,No,216.2 ,129.9, 333.8,5,*,*,*,*
"Yukon-Koyukuk Census Area",02290,No,212 ,133, 319,5,stable,-1.0 ,-3.5, 1.6
"Nome Census Area",02180,No,201.5 ,133.2, 290.1,6,*,*,*,*
"Southeast Fairbanks Census Area",02240,No,191.2 ,124.4, 280.2,6,*,*,*,*
"Ketchikan Gateway Borough",02130,Yes,159.8 ,118.7, 210.5,11,stable,-1.2 ,-3.0, 0.6
"Juneau City and Borough",02110,Yes,151.5 ,123, 184.5,22,stable,-0.8 ,-2.1, 0.5
"Northwest Arctic Borough",02188,Yes,150.2 ,86.9, 238.4,4,*,*,*,*
"Fairbanks North Borough",02090,Yes,150.1 ,131, 170.9,51,falling,-1.2 ,-2.2, -0.1
"Matanuska-Susitna Borough",02170,Yes,147.2 ,129.7, 166.3,59,stable,-0.9 ,-2.3, 0.4
"Anchorage Municipality",02020,Yes,142.4 ,132.8, 152.5,180,falling,-1.1 ,-1.6, -0.6
"Valdez-Cordova Census Area",02261,Yes,142.1 ,91.5, 209.6,6,falling,-2.9 ,-4.5, -1.2
"Kenai Peninsula Borough",02122,Yes,141.3 ,122.7, 162.1,46,falling,-1.5 ,-2.4, -0.7
"Wade Hampton Census Area",02270,Yes,138.4 ,75.9, 228,3,stable,0.6 ,-2.7, 4.0
"Kodiak Island Borough",02150,Yes,133.2 ,88.4, 191.1,7,stable,-1.4 ,-3.5, 0.7
"Wrangell-Petersburg Census Area",02280,Yes,131 ,83.4, 199,5,*,*,*,*
"Bethel Census Area",02050,Yes,119.3 ,78, 172.7,6,stable,-1.6 ,-3.9, 0.8
"Sitka City and Borough",02220,Yes,108.3 ,72.7, 156.6,6,stable,-1.2 ,-2.8, 0.5
"Aleutians East Borough (3)",02013,***,* ,*, *,3 or fewer,*,*,*,*
"Aleutians West Census Area (3)",02016,***,* ,*, *,3 or fewer,*,*,*,*
"Bristol Bay Borough",02060,***,* ,*, *,3 or fewer,*,*,*,*
"Denali Borough",02068,***,* ,*, *,3 or fewer,*,*,*,*
"Dillingham Census Area (3)",02070,***,* ,*, *,3 or fewer,*,*,*,*
"Haines Borough",02100,***,* ,*, *,3 or fewer,*,*,*,*
"Lake and Peninsula Borough (3)",02164,***,* ,*, *,3 or fewer,*,*,*,*
"Skagway-Hoonah-Angoon Census Area (3)",02232,***,* ,*, *,3 or fewer,*,*,*,*
"Yakutat City and Borough (3)",02282,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.

"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"(†) Death data provided by the National Vital Statistics System public use data file.  Death rates calculated by the National Cancer Institute using SEER*Stat.  Death rates are age-adjusted  to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+).  The Healthy People 2020 goals are based on rates adjusted using different methods but the differences should be minimal.  Population counts for denominators are based on Census populations as modified by NCI. "
 The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used with mortality data. 
"(‡) The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties. \n"
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"(3) Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties.
"
