------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=02&areatype=county&cancer=066&race=00&sex=1&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '066', 'race': '00', 'sex': '1', 'age': '001', 'type': 'death', 'file_name': 'deathrates_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=02&areatype=county&cancer=066&race=00&sex=1&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for  by Borough or Census Area

"Prostate, 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of 21.8?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska",02900,Yes,18.2 ,15.5, 21.1,41,falling,-2.6 ,-3.7, -1.5
"United States",00000,Yes,19.2 ,19.1, 19.3,28497,stable,-0.8 ,-2.1, 0.5
"Kenai Peninsula Borough",02122,Yes,20.8 ,12.7, 31.6,5,stable,-2.8 ,-5.7, 0.1
"Anchorage Municipality",02020,Yes,20.2 ,15.8, 25.3,17,falling,-3.0 ,-4.9, -1.1
"Matanuska-Susitna Borough",02170,Yes,15.3 ,9.4, 23.1,5,falling,-3.3 ,-5.0, -1.6
"Fairbanks North Borough",02090,Yes,10.2 ,5.3, 17.5,3,stable,-3.3 ,-7.3, 0.7
"Aleutians East Borough (3)",02013,***,* ,*, *,3 or fewer,*,*,*,*
"Aleutians West Census Area (3)",02016,***,* ,*, *,3 or fewer,*,*,*,*
"Bethel Census Area",02050,***,* ,*, *,3 or fewer,*,*,*,*
"Bristol Bay Borough",02060,***,* ,*, *,3 or fewer,*,*,*,*
"Denali Borough",02068,***,* ,*, *,3 or fewer,*,*,*,*
"Dillingham Census Area (3)",02070,***,* ,*, *,3 or fewer,*,*,*,*
"Haines Borough",02100,***,* ,*, *,3 or fewer,*,*,*,*
"Juneau City and Borough",02110,***,* ,*, *,3 or fewer,*,*,*,*
"Ketchikan Gateway Borough",02130,***,* ,*, *,3 or fewer,*,*,*,*
"Kodiak Island Borough",02150,***,* ,*, *,3 or fewer,*,*,*,*
"Lake and Peninsula Borough (3)",02164,***,* ,*, *,3 or fewer,*,*,*,*
"Nome Census Area",02180,***,* ,*, *,3 or fewer,*,*,*,*
"North Slope Borough",02185,***,* ,*, *,3 or fewer,*,*,*,*
"Northwest Arctic Borough",02188,***,* ,*, *,3 or fewer,*,*,*,*
"Prince of Wales-Outer Ketchikan Census Area",02201,***,* ,*, *,3 or fewer,*,*,*,*
"Sitka City and Borough",02220,***,* ,*, *,3 or fewer,*,*,*,*
"Skagway-Hoonah-Angoon Census Area (3)",02232,***,* ,*, *,3 or fewer,*,*,*,*
"Southeast Fairbanks Census Area",02240,***,* ,*, *,3 or fewer,*,*,*,*
"Valdez-Cordova Census Area",02261,***,* ,*, *,3 or fewer,*,*,*,*
"Wade Hampton Census Area",02270,***,* ,*, *,3 or fewer,*,*,*,*
"Wrangell-Petersburg Census Area",02280,***,* ,*, *,3 or fewer,*,*,*,*
"Yakutat City and Borough (3)",02282,***,* ,*, *,3 or fewer,*,*,*,*
"Yukon-Koyukuk Census Area",02290,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.

