------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"Arkansas",05000,2.5,73591,"19 of 51"
"Lee County",05077,0.3,33,"103 of 3140"
"Bradley County",05011,0.5,56,"189 of 3140"
"Woodruff County",05147,0.5,36,"206 of 3140"
"Ashley County",05003,0.7,135,"291 of 3140"
"Calhoun County",05013,0.7,34,"293 of 3140"
"Arkansas County",05001,0.8,141,"399 of 3140"
"Perry County",05105,0.8,84,"450 of 3140"
"Cross County",05037,0.9,151,"519 of 3140"
"Monroe County",05095,1.0,71,"612 of 3140"
"Cleveland County",05025,1.0,87,"698 of 3140"
"Phillips County",05107,1.1,208,"736 of 3140"
"Pike County",05109,1.1,118,"761 of 3140"
"Hot Spring County",05059,1.2,392,"879 of 3140"
"Desha County",05041,1.3,150,"963 of 3140"
"Johnson County",05071,1.4,353,"1092 of 3140"
"Sevier County",05133,1.4,233,"1099 of 3140"
"Conway County",05029,1.4,286,"1102 of 3140"
"Ouachita County",05103,1.4,334,"1117 of 3140"
"Jefferson County",05069,1.4,982,"1119 of 3140"
"Pope County",05115,1.4,880,"1142 of 3140"
"Madison County",05087,1.4,223,"1164 of 3140"
"Newton County",05101,1.4,113,"1183 of 3140"
"Clay County",05021,1.5,220,"1203 of 3140"
"Logan County",05083,1.5,319,"1229 of 3140"
"Van Buren County",05141,1.5,247,"1236 of 3140"
"Poinsett County",05111,1.5,359,"1275 of 3140"
"Howard County",05061,1.5,205,"1293 of 3140"
"Searcy County",05129,1.6,123,"1329 of 3140"
"Jackson County",05067,1.6,276,"1371 of 3140"
"Lincoln County",05079,1.6,221,"1381 of 3140"
"Yell County",05149,1.6,343,"1384 of 3140"
"Prairie County",05117,1.7,142,"1521 of 3140"
"Independence County",05063,1.7,637,"1531 of 3140"
"Saline County",05125,1.8,2037,"1573 of 3140"
"Lafayette County",05073,1.8,125,"1584 of 3140"
"Chicot County",05017,1.8,196,"1603 of 3140"
"Franklin County",05047,1.8,319,"1612 of 3140"
"Columbia County",05027,2.0,479,"1806 of 3140"
"Union County",05139,2.0,802,"1810 of 3140"
"Drew County",05043,2.0,377,"1824 of 3140"
"Hempstead County",05057,2.1,448,"1848 of 3140"
"Faulkner County",05045,2.1,2484,"1850 of 3140"
"Clark County",05019,2.1,462,"1851 of 3140"
"Craighead County",05031,2.2,2231,"1927 of 3140"
"Pulaski County",05119,2.2,8502,"1951 of 3140"
"Crawford County",05033,2.2,1348,"1954 of 3140"
"Lonoke County",05085,2.2,1551,"1960 of 3140"
"Lawrence County",05075,2.2,366,"1964 of 3140"
"Sharp County",05135,2.2,373,"1968 of 3140"
"Izard County",05065,2.3,305,"2009 of 3140"
"Greene County",05055,2.4,1057,"2111 of 3140"
"Baxter County",05005,2.5,1000,"2127 of 3140"
"Scott County",05127,2.5,257,"2134 of 3140"
"Grant County",05053,2.6,458,"2201 of 3140"
"Little River County",05081,2.6,325,"2232 of 3140"
"St. Francis County",05123,2.6,696,"2245 of 3140"
"Montgomery County",05097,2.6,238,"2247 of 3140"
"Polk County",05113,2.8,556,"2327 of 3140"
"Carroll County",05015,2.8,776,"2351 of 3140"
"Crittenden County",05035,2.9,1383,"2370 of 3140"
"Cleburne County",05023,2.9,738,"2418 of 3140"
"Randolph County",05121,3.0,520,"2456 of 3140"
"Sebastian County",05131,3.0,3802,"2466 of 3140"
"White County",05145,3.1,2368,"2472 of 3140"
"Garland County",05051,3.1,2977,"2479 of 3140"
"Nevada County",05099,3.1,259,"2485 of 3140"
"Stone County",05137,3.2,393,"2526 of 3140"
"Mississippi County",05093,3.3,1395,"2582 of 3140"
"Boone County",05009,3.5,1267,"2649 of 3140"
"Benton County",05007,3.6,8831,"2682 of 3140"
"Dallas County",05039,4.0,303,"2803 of 3140"
"Fulton County",05049,4.3,510,"2854 of 3140"
"Washington County",05143,4.3,9492,"2859 of 3140"
"Marion County",05089,4.5,723,"2902 of 3140"
"Miller County",05091,6.2,2670,"3056 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
