------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Arkansas",05000,43813.000000000,"50 of 52"
"United States",00000,57652.000000000,"N/A"
"Phillips County",05107,26652.000000000,"3103 of 3141"
"Desha County",05041,27036.000000000,"3095 of 3141"
"Lee County",05077,27901.000000000,"3088 of 3141"
"Woodruff County",05147,30097.000000000,"3055 of 3141"
"Monroe County",05095,31584.000000000,"3015 of 3141"
"Sharp County",05135,31792.000000000,"3012 of 3141"
"Ouachita County",05103,32136.000000000,"2993 of 3141"
"Clay County",05021,32219.000000000,"2988 of 3141"
"Chicot County",05017,32412.000000000,"2975 of 3141"
"Lafayette County",05073,32500.000000000,"2972 of 3141"
"Jackson County",05067,32783.000000000,"2966 of 3141"
"Stone County",05137,33091.000000000,"2954 of 3141"
"St. Francis County",05123,33102.000000000,"2953 of 3141"
"Polk County",05113,33870.000000000,"2922 of 3141"
"Van Buren County",05141,34428.000000000,"2903 of 3141"
"Howard County",05061,34851.000000000,"2882 of 3141"
"Montgomery County",05097,35252.000000000,"2859 of 3141"
"Johnson County",05071,35758.000000000,"2820 of 3141"
"Dallas County",05039,35794.000000000,"2819 of 3141"
"Randolph County",05121,35930.000000000,"2807 of 3141"
"Fulton County",05049,36051.000000000,"2799 of 3141"
"Drew County",05043,36092.000000000,"2793 of 3141"
"Marion County",05089,36113.000000000,"2791 of 3141"
"Bradley County",05011,36310.000000000,"2781 of 3141"
"Ashley County",05003,36407.000000000,"2773 of 3141"
"Mississippi County",05093,36417.000000000,"2771 of 3141"
"Searcy County",05129,36716.000000000,"2743 of 3141"
"Pike County",05109,36893.000000000,"2733 of 3141"
"Little River County",05081,36963.000000000,"2726 of 3141"
"Nevada County",05099,36995.000000000,"2723 of 3141"
"Columbia County",05027,37072.000000000,"2719 of 3141"
"Clark County",05019,37144.000000000,"2709 of 3141"
"Calhoun County",05013,37225.000000000,"2702 of 3141"
"Scott County",05127,37396.000000000,"2684 of 3141"
"Poinsett County",05111,37487.000000000,"2676 of 3141"
"Lawrence County",05075,37603.000000000,"2669 of 3141"
"Jefferson County",05069,37630.000000000,"2666 of 3141"
"Logan County",05083,37982.000000000,"2638 of 3141"
"Newton County",05101,38134.000000000,"2625 of 3141"
"Arkansas County",05001,38532.000000000,"2603 of 3141"
"Crittenden County",05035,38558.000000000,"2601 of 3141"
"Hempstead County",05057,38701.000000000,"2595 of 3141"
"Lincoln County",05079,38873.000000000,"2571 of 3141"
"Izard County",05065,39135.000000000,"2549 of 3141"
"Franklin County",05047,39472.000000000,"2510 of 3141"
"Conway County",05029,39638.000000000,"2496 of 3141"
"Carroll County",05015,39686.000000000,"2491 of 3141"
"Yell County",05149,39696.000000000,"2488 of 3141"
"Independence County",05063,39945.000000000,"2475 of 3141"
"Baxter County",05005,40072.000000000,"2467 of 3141"
"Hot Spring County",05059,40626.000000000,"2412 of 3141"
"Pope County",05115,40668.000000000,"2407 of 3141"
"Boone County",05009,40727.000000000,"2397 of 3141"
"Sebastian County",05131,40932.000000000,"2382 of 3141"
"Cross County",05037,41081.000000000,"2369 of 3141"
"Union County",05139,41106.000000000,"2359 of 3141"
"Prairie County",05117,41244.000000000,"2335 of 3141"
"Garland County",05051,41672.000000000,"2283 of 3141"
"Miller County",05091,41862.000000000,"2261 of 3141"
"Cleburne County",05023,42312.000000000,"2212 of 3141"
"Madison County",05087,42894.000000000,"2151 of 3141"
"Crawford County",05033,43504.000000000,"2085 of 3141"
"Sevier County",05133,43675.000000000,"2068 of 3141"
"White County",05145,44074.000000000,"2027 of 3141"
"Cleveland County",05025,44840.000000000,"1945 of 3141"
"Greene County",05055,45566.000000000,"1861 of 3141"
"Craighead County",05031,45672.000000000,"1847 of 3141"
"Perry County",05105,46168.000000000,"1792 of 3141"
"Washington County",05143,47452.000000000,"1632 of 3141"
"Pulaski County",05119,48850.000000000,"1478 of 3141"
"Grant County",05053,49968.000000000,"1366 of 3141"
"Faulkner County",05045,50316.000000000,"1318 of 3141"
"Lonoke County",05085,57290.000000000,"676 of 3141"
"Saline County",05125,58985.000000000,"573 of 3141"
"Benton County",05007,61271.000000000,"456 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:15 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
