------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"Arkansas",05000,0.7,19476,"21 of 52"
"United States",00000,0.8,2632102,"N/A"
"Monroe County",05095,0.0,0,"2960 of 3141"
"Woodruff County",05147,0.0,0,"2960 of 3141"
"Phillips County",05107,0.0,2,"2949 of 3141"
"Arkansas County",05001,0.0,3,"2931 of 3141"
"Cross County",05037,0.0,7,"2852 of 3141"
"Mississippi County",05093,0.0,18,"2850 of 3141"
"Nevada County",05099,0.1,6,"2741 of 3141"
"Drew County",05043,0.1,18,"2643 of 3141"
"Calhoun County",05013,0.1,7,"2474 of 3141"
"Jackson County",05067,0.2,31,"2283 of 3141"
"Grant County",05053,0.2,38,"2112 of 3141"
"Pulaski County",05119,0.2,837,"2096 of 3141"
"Lee County",05077,0.2,21,"2077 of 3141"
"Desha County",05041,0.2,27,"2052 of 3141"
"Ouachita County",05103,0.2,56,"2030 of 3141"
"Johnson County",05071,0.2,61,"2016 of 3141"
"Ashley County",05003,0.2,49,"2000 of 3141"
"Jefferson County",05069,0.2,169,"1997 of 3141"
"Howard County",05061,0.2,33,"1969 of 3141"
"Poinsett County",05111,0.2,60,"1956 of 3141"
"Hempstead County",05057,0.3,56,"1936 of 3141"
"White County",05145,0.3,207,"1884 of 3141"
"Independence County",05063,0.3,100,"1853 of 3141"
"Lafayette County",05073,0.3,20,"1799 of 3141"
"Crittenden County",05035,0.3,141,"1791 of 3141"
"Hot Spring County",05059,0.3,102,"1706 of 3141"
"Columbia County",05027,0.3,74,"1687 of 3141"
"Clark County",05019,0.3,74,"1606 of 3141"
"St. Francis County",05123,0.3,88,"1604 of 3141"
"Conway County",05029,0.3,71,"1568 of 3141"
"Saline County",05125,0.3,403,"1541 of 3141"
"Greene County",05055,0.4,157,"1506 of 3141"
"Faulkner County",05045,0.4,443,"1475 of 3141"
"Cleveland County",05025,0.4,32,"1422 of 3141"
"Chicot County",05017,0.4,44,"1378 of 3141"
"Lincoln County",05079,0.4,57,"1351 of 3141"
"Pope County",05115,0.4,263,"1343 of 3141"
"Dallas County",05039,0.4,32,"1324 of 3141"
"Prairie County",05117,0.4,36,"1293 of 3141"
"Pike County",05109,0.4,49,"1259 of 3141"
"Clay County",05021,0.5,75,"1170 of 3141"
"Perry County",05105,0.5,51,"1169 of 3141"
"Baxter County",05005,0.5,207,"1154 of 3141"
"Sharp County",05135,0.5,86,"1152 of 3141"
"Lonoke County",05085,0.5,366,"1139 of 3141"
"Lawrence County",05075,0.5,88,"1118 of 3141"
"Craighead County",05031,0.6,580,"1079 of 3141"
"Van Buren County",05141,0.6,105,"982 of 3141"
"Stone County",05137,0.6,79,"963 of 3141"
"Randolph County",05121,0.7,121,"903 of 3141"
"Cleburne County",05023,0.7,181,"879 of 3141"
"Carroll County",05015,0.7,202,"866 of 3141"
"Garland County",05051,0.8,758,"819 of 3141"
"Yell County",05149,0.8,178,"781 of 3141"
"Washington County",05143,0.8,1892,"764 of 3141"
"Fulton County",05049,0.9,103,"760 of 3141"
"Union County",05139,1.0,384,"692 of 3141"
"Searcy County",05129,1.0,83,"640 of 3141"
"Logan County",05083,1.1,231,"629 of 3141"
"Boone County",05009,1.1,395,"624 of 3141"
"Madison County",05087,1.1,171,"614 of 3141"
"Miller County",05091,1.1,502,"580 of 3141"
"Marion County",05089,1.2,199,"550 of 3141"
"Sebastian County",05131,1.2,1583,"537 of 3141"
"Polk County",05113,1.3,258,"528 of 3141"
"Little River County",05081,1.3,164,"520 of 3141"
"Scott County",05127,1.3,140,"519 of 3141"
"Izard County",05065,1.5,197,"480 of 3141"
"Benton County",05007,1.5,3752,"470 of 3141"
"Newton County",05101,1.5,122,"452 of 3141"
"Bradley County",05011,1.7,183,"435 of 3141"
"Sevier County",05133,1.8,314,"413 of 3141"
"Crawford County",05033,2.0,1233,"387 of 3141"
"Franklin County",05047,2.0,360,"380 of 3141"
"Montgomery County",05097,2.7,241,"309 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
