------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Arkansas",05000,92.8,2764698,"30 of 52"
"Sevier County",05133,67.1,11551,"205 of 3141"
"Yell County",05149,80.3,17340,"387 of 3141"
"Washington County",05143,83.5,186870,"465 of 3141"
"Benton County",05007,83.7,210843,"473 of 3141"
"Bradley County",05011,85.2,9369,"521 of 3141"
"Carroll County",05015,85.2,23681,"522 of 3141"
"Sebastian County",05131,86.3,109863,"556 of 3141"
"Johnson County",05071,86.3,22566,"557 of 3141"
"Hempstead County",05057,87.5,19390,"600 of 3141"
"Howard County",05061,88.0,11858,"629 of 3141"
"Pope County",05115,91.5,57976,"850 of 3141"
"Scott County",05127,92.5,9789,"936 of 3141"
"Crawford County",05033,92.7,57587,"965 of 3141"
"Pike County",05109,93.5,10180,"1051 of 3141"
"Polk County",05113,93.6,18910,"1065 of 3141"
"Independence County",05063,93.9,34839,"1112 of 3141"
"Pulaski County",05119,94.0,369232,"1124 of 3141"
"Desha County",05041,94.2,11394,"1162 of 3141"
"Madison County",05087,94.6,15044,"1231 of 3141"
"Garland County",05051,94.6,92731,"1243 of 3141"
"Ashley County",05003,94.8,19688,"1271 of 3141"
"Chicot County",05017,94.8,10437,"1278 of 3141"
"Craighead County",05031,95.1,99151,"1342 of 3141"
"Clark County",05019,95.4,21460,"1402 of 3141"
"Saline County",05125,95.5,111066,"1438 of 3141"
"Lonoke County",05085,95.7,68522,"1484 of 3141"
"White County",05145,95.8,75400,"1504 of 3141"
"Montgomery County",05097,95.9,8685,"1526 of 3141"
"Mississippi County",05093,96.0,41781,"1556 of 3141"
"Faulkner County",05045,96.0,116427,"1564 of 3141"
"Calhoun County",05013,96.1,4991,"1585 of 3141"
"Conway County",05029,96.2,20158,"1617 of 3141"
"Union County",05139,96.2,38506,"1620 of 3141"
"Lincoln County",05079,96.4,13386,"1674 of 3141"
"Hot Spring County",05059,96.6,32353,"1741 of 3141"
"Little River County",05081,96.7,12080,"1752 of 3141"
"Dallas County",05039,96.9,7352,"1849 of 3141"
"Drew County",05043,96.9,18049,"1852 of 3141"
"Miller County",05091,96.9,42424,"1860 of 3141"
"Arkansas County",05001,97.0,17809,"1898 of 3141"
"Van Buren County",05141,97.1,16262,"1912 of 3141"
"Logan County",05083,97.1,21167,"1915 of 3141"
"Franklin County",05047,97.1,17290,"1925 of 3141"
"Poinsett County",05111,97.2,23414,"1947 of 3141"
"Perry County",05105,97.2,10029,"1959 of 3141"
"Jackson County",05067,97.3,16953,"2004 of 3141"
"Greene County",05055,97.3,42994,"2013 of 3141"
"St. Francis County",05123,97.4,25984,"2055 of 3141"
"Monroe County",05095,97.5,7231,"2089 of 3141"
"Columbia County",05027,97.5,23382,"2090 of 3141"
"Grant County",05053,97.5,17627,"2128 of 3141"
"Cleburne County",05023,97.5,24738,"2140 of 3141"
"Crittenden County",05035,97.6,48101,"2168 of 3141"
"Boone County",05009,97.7,36346,"2201 of 3141"
"Searcy County",05129,97.8,7750,"2260 of 3141"
"Marion County",05089,97.8,16021,"2296 of 3141"
"Baxter County",05005,97.9,40214,"2308 of 3141"
"Ouachita County",05103,97.9,23857,"2309 of 3141"
"Sharp County",05135,97.9,16677,"2311 of 3141"
"Izard County",05065,97.9,13237,"2326 of 3141"
"Jefferson County",05069,98.0,69963,"2400 of 3141"
"Clay County",05021,98.1,14901,"2435 of 3141"
"Cross County",05037,98.1,16839,"2438 of 3141"
"Randolph County",05121,98.1,17187,"2455 of 3141"
"Stone County",05137,98.2,12216,"2477 of 3141"
"Cleveland County",05025,98.2,8184,"2512 of 3141"
"Phillips County",05107,98.3,19180,"2533 of 3141"
"Lee County",05077,98.6,9481,"2763 of 3141"
"Newton County",05101,98.6,7790,"2768 of 3141"
"Lawrence County",05075,98.7,16556,"2790 of 3141"
"Fulton County",05049,98.7,11934,"2798 of 3141"
"Lafayette County",05073,98.8,6969,"2880 of 3141"
"Prairie County",05117,99.4,8262,"3051 of 3141"
"Woodruff County",05147,99.5,6730,"3071 of 3141"
"Nevada County",05099,99.6,8494,"3085 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
