------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"United States",00000,34.5,110609456,"N/A"
"Arkansas",05000,35.2,1047657,"27 of 52"
"Washington County",05143,26.4,59107,"3060 of 3141"
"Faulkner County",05045,28.0,33899,"2996 of 3141"
"Benton County",05007,29.6,74563,"2904 of 3141"
"Craighead County",05031,29.9,31214,"2880 of 3141"
"Sevier County",05133,30.6,5264,"2832 of 3141"
"Lonoke County",05085,30.8,22040,"2820 of 3141"
"Crittenden County",05035,31.7,15632,"2751 of 3141"
"Clark County",05019,33.1,7435,"2610 of 3141"
"Mississippi County",05093,33.1,14408,"2608 of 3141"
"Pope County",05115,33.2,21013,"2603 of 3141"
"Pulaski County",05119,33.4,131404,"2578 of 3141"
"Greene County",05055,33.8,14953,"2528 of 3141"
"White County",05145,33.9,26686,"2515 of 3141"
"Lincoln County",05079,33.9,4708,"2514 of 3141"
"Sebastian County",05131,34.3,43647,"2457 of 3141"
"St. Francis County",05123,34.3,9150,"2456 of 3141"
"Drew County",05043,34.7,6456,"2411 of 3141"
"Columbia County",05027,34.7,8321,"2410 of 3141"
"Johnson County",05071,35.1,9178,"2336 of 3141"
"Miller County",05091,35.4,15483,"2297 of 3141"
"Crawford County",05033,35.4,22011,"2290 of 3141"
"Saline County",05125,35.8,41660,"2225 of 3141"
"Jefferson County",05069,36.6,26152,"2099 of 3141"
"Independence County",05063,36.8,13657,"2059 of 3141"
"Howard County",05061,37.0,4981,"2027 of 3141"
"Hempstead County",05057,37.1,8209,"2005 of 3141"
"Poinsett County",05111,37.2,8958,"1979 of 3141"
"Lee County",05077,37.3,3589,"1943 of 3141"
"Phillips County",05107,37.5,7317,"1895 of 3141"
"Grant County",05053,37.6,6798,"1867 of 3141"
"Cross County",05037,37.8,6482,"1836 of 3141"
"Yell County",05149,37.8,8172,"1826 of 3141"
"Union County",05139,37.9,15173,"1812 of 3141"
"Jackson County",05067,37.9,6610,"1806 of 3141"
"Desha County",05041,38.8,4697,"1614 of 3141"
"Franklin County",05047,39.1,6957,"1563 of 3141"
"Bradley County",05011,39.1,4300,"1557 of 3141"
"Scott County",05127,39.3,4157,"1520 of 3141"
"Ashley County",05003,39.3,8161,"1515 of 3141"
"Hot Spring County",05059,39.4,13182,"1490 of 3141"
"Arkansas County",05001,39.5,7242,"1466 of 3141"
"Lawrence County",05075,39.5,6635,"1444 of 3141"
"Conway County",05029,39.8,8343,"1391 of 3141"
"Madison County",05087,39.8,6338,"1385 of 3141"
"Pike County",05109,39.9,4349,"1364 of 3141"
"Randolph County",05121,40.0,7003,"1344 of 3141"
"Logan County",05083,40.3,8776,"1280 of 3141"
"Boone County",05009,40.4,15030,"1251 of 3141"
"Cleveland County",05025,40.7,3388,"1177 of 3141"
"Chicot County",05017,41.1,4519,"1092 of 3141"
"Little River County",05081,41.1,5135,"1079 of 3141"
"Nevada County",05099,41.3,3520,"1042 of 3141"
"Ouachita County",05103,41.3,10068,"1037 of 3141"
"Perry County",05105,41.5,4282,"1003 of 3141"
"Clay County",05021,41.6,6323,"985 of 3141"
"Polk County",05113,42.6,8602,"834 of 3141"
"Dallas County",05039,42.8,3247,"793 of 3141"
"Garland County",05051,43.5,42640,"683 of 3141"
"Carroll County",05015,43.7,12143,"655 of 3141"
"Calhoun County",05013,43.9,2280,"633 of 3141"
"Woodruff County",05147,44.0,2975,"623 of 3141"
"Prairie County",05117,44.6,3705,"553 of 3141"
"Monroe County",05095,45.0,3338,"522 of 3141"
"Lafayette County",05073,45.6,3212,"459 of 3141"
"Searcy County",05129,47.0,3725,"336 of 3141"
"Van Buren County",05141,47.2,7910,"322 of 3141"
"Sharp County",05135,47.3,8056,"317 of 3141"
"Fulton County",05049,47.7,5766,"295 of 3141"
"Izard County",05065,47.7,6452,"290 of 3141"
"Newton County",05101,48.1,3796,"268 of 3141"
"Cleburne County",05023,48.1,12205,"263 of 3141"
"Stone County",05137,49.3,6134,"206 of 3141"
"Montgomery County",05097,49.9,4523,"177 of 3141"
"Baxter County",05005,52.5,21586,"99 of 3141"
"Marion County",05089,52.7,8627,"94 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
