------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Arkansas",05000,7.2,213246,"30 of 52"
"United States",00000,17.6,56510571,"N/A"
"Nevada County",05099,0.4,34,"3085 of 3141"
"Woodruff County",05147,0.5,33,"3071 of 3141"
"Prairie County",05117,0.6,47,"3051 of 3141"
"Lafayette County",05073,1.2,82,"2880 of 3141"
"Fulton County",05049,1.3,158,"2798 of 3141"
"Lawrence County",05075,1.3,221,"2790 of 3141"
"Newton County",05101,1.4,108,"2768 of 3141"
"Lee County",05077,1.4,133,"2763 of 3141"
"Phillips County",05107,1.7,338,"2533 of 3141"
"Cleveland County",05025,1.8,148,"2512 of 3141"
"Stone County",05137,1.8,227,"2477 of 3141"
"Randolph County",05121,1.9,327,"2455 of 3141"
"Cross County",05037,1.9,325,"2438 of 3141"
"Clay County",05021,1.9,289,"2435 of 3141"
"Jefferson County",05069,2.0,1410,"2400 of 3141"
"Izard County",05065,2.1,284,"2326 of 3141"
"Sharp County",05135,2.1,364,"2311 of 3141"
"Ouachita County",05103,2.1,521,"2309 of 3141"
"Baxter County",05005,2.1,879,"2308 of 3141"
"Marion County",05089,2.2,353,"2296 of 3141"
"Searcy County",05129,2.2,175,"2260 of 3141"
"Boone County",05009,2.3,866,"2201 of 3141"
"Crittenden County",05035,2.4,1177,"2168 of 3141"
"Cleburne County",05023,2.5,623,"2140 of 3141"
"Grant County",05053,2.5,449,"2128 of 3141"
"Columbia County",05027,2.5,610,"2090 of 3141"
"Monroe County",05095,2.5,189,"2089 of 3141"
"St. Francis County",05123,2.6,704,"2055 of 3141"
"Greene County",05055,2.7,1203,"2013 of 3141"
"Jackson County",05067,2.7,476,"2004 of 3141"
"Perry County",05105,2.8,291,"1959 of 3141"
"Poinsett County",05111,2.8,684,"1947 of 3141"
"Franklin County",05047,2.9,513,"1925 of 3141"
"Logan County",05083,2.9,635,"1915 of 3141"
"Van Buren County",05141,2.9,489,"1912 of 3141"
"Arkansas County",05001,3.0,543,"1898 of 3141"
"Miller County",05091,3.1,1336,"1860 of 3141"
"Drew County",05043,3.1,571,"1852 of 3141"
"Dallas County",05039,3.1,233,"1849 of 3141"
"Little River County",05081,3.3,414,"1752 of 3141"
"Hot Spring County",05059,3.4,1127,"1741 of 3141"
"Lincoln County",05079,3.6,499,"1674 of 3141"
"Union County",05139,3.8,1516,"1620 of 3141"
"Conway County",05029,3.8,796,"1617 of 3141"
"Calhoun County",05013,3.9,203,"1585 of 3141"
"Faulkner County",05045,4.0,4855,"1564 of 3141"
"Mississippi County",05093,4.0,1753,"1556 of 3141"
"Montgomery County",05097,4.1,374,"1526 of 3141"
"White County",05145,4.2,3306,"1504 of 3141"
"Lonoke County",05085,4.3,3046,"1484 of 3141"
"Saline County",05125,4.5,5186,"1438 of 3141"
"Clark County",05019,4.6,1035,"1402 of 3141"
"Craighead County",05031,4.9,5095,"1342 of 3141"
"Chicot County",05017,5.2,571,"1278 of 3141"
"Ashley County",05003,5.2,1083,"1271 of 3141"
"Garland County",05051,5.4,5263,"1243 of 3141"
"Madison County",05087,5.4,863,"1231 of 3141"
"Desha County",05041,5.8,700,"1162 of 3141"
"Pulaski County",05119,6.0,23616,"1124 of 3141"
"Independence County",05063,6.1,2258,"1112 of 3141"
"Polk County",05113,6.4,1302,"1065 of 3141"
"Pike County",05109,6.5,713,"1051 of 3141"
"Crawford County",05033,7.3,4532,"965 of 3141"
"Scott County",05127,7.5,795,"936 of 3141"
"Pope County",05115,8.5,5396,"850 of 3141"
"Howard County",05061,12.0,1614,"629 of 3141"
"Hempstead County",05057,12.5,2764,"600 of 3141"
"Johnson County",05071,13.7,3589,"557 of 3141"
"Sebastian County",05131,13.7,17499,"556 of 3141"
"Carroll County",05015,14.8,4101,"522 of 3141"
"Bradley County",05011,14.8,1625,"521 of 3141"
"Benton County",05007,16.3,40980,"473 of 3141"
"Washington County",05143,16.5,36813,"465 of 3141"
"Yell County",05149,19.7,4261,"387 of 3141"
"Sevier County",05133,32.9,5655,"205 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
