------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Arkansas",05000,84.2,2477199,"33 of 51"
"United States",00000,85.4,270854872,"N/A"
"Craighead County",05031,76.5,78746,"3062 of 3140"
"Greene County",05055,79.2,34508,"2981 of 3140"
"Jackson County",05067,79.3,13704,"2979 of 3140"
"White County",05145,79.5,61727,"2964 of 3140"
"Washington County",05143,79.6,175338,"2962 of 3140"
"Phillips County",05107,79.8,15397,"2953 of 3140"
"Clark County",05019,79.8,17799,"2950 of 3140"
"Mississippi County",05093,80.8,34486,"2872 of 3140"
"Sharp County",05135,81.3,13750,"2832 of 3140"
"Randolph County",05121,81.7,14119,"2792 of 3140"
"Boone County",05009,82.0,29981,"2764 of 3140"
"Poinsett County",05111,82.2,19472,"2730 of 3140"
"Pope County",05115,82.2,51524,"2729 of 3140"
"Fulton County",05049,82.4,9869,"2710 of 3140"
"Baxter County",05005,82.6,33615,"2679 of 3140"
"Miller County",05091,82.6,35627,"2675 of 3140"
"Columbia County",05027,83.5,19760,"2541 of 3140"
"Sebastian County",05131,83.5,104758,"2534 of 3140"
"Pulaski County",05119,83.6,324125,"2512 of 3140"
"Izard County",05065,83.9,11224,"2451 of 3140"
"Dallas County",05039,83.9,6319,"2450 of 3140"
"Clay County",05021,84.3,12717,"2372 of 3140"
"Faulkner County",05045,84.4,101200,"2370 of 3140"
"Independence County",05063,84.4,31009,"2362 of 3140"
"Garland County",05051,84.7,82171,"2298 of 3140"
"Logan County",05083,84.7,18230,"2288 of 3140"
"Carroll County",05015,84.8,23336,"2270 of 3140"
"St. Francis County",05123,84.8,22393,"2260 of 3140"
"Lawrence County",05075,84.9,14106,"2254 of 3140"
"Marion County",05089,84.9,13736,"2243 of 3140"
"Crittenden County",05035,84.9,41129,"2237 of 3140"
"Monroe County",05095,85.0,6201,"2225 of 3140"
"Hot Spring County",05059,85.0,28093,"2221 of 3140"
"Grant County",05053,85.1,15257,"2185 of 3140"
"Little River County",05081,85.3,10602,"2141 of 3140"
"Benton County",05007,85.4,211913,"2116 of 3140"
"Pike County",05109,85.6,9208,"2065 of 3140"
"Polk County",05113,85.7,17156,"2030 of 3140"
"Crawford County",05033,85.8,52678,"2009 of 3140"
"Arkansas County",05001,85.8,15577,"2006 of 3140"
"Stone County",05137,85.9,10684,"1980 of 3140"
"Lonoke County",05085,86.1,60740,"1916 of 3140"
"Chicot County",05017,86.4,9394,"1817 of 3140"
"Cleburne County",05023,86.7,21795,"1723 of 3140"
"Franklin County",05047,87.1,15291,"1574 of 3140"
"Conway County",05029,87.1,18095,"1571 of 3140"
"Van Buren County",05141,87.2,14503,"1529 of 3140"
"Prairie County",05117,87.3,7181,"1495 of 3140"
"Yell County",05149,87.5,18634,"1447 of 3140"
"Montgomery County",05097,87.5,7872,"1441 of 3140"
"Johnson County",05071,87.7,22635,"1376 of 3140"
"Jefferson County",05069,87.7,62112,"1369 of 3140"
"Cross County",05037,87.8,14908,"1340 of 3140"
"Scott County",05127,87.9,9168,"1299 of 3140"
"Lee County",05077,88.1,8314,"1246 of 3140"
"Drew County",05043,88.1,16228,"1239 of 3140"
"Saline County",05125,88.1,101234,"1238 of 3140"
"Hempstead County",05057,88.1,19115,"1216 of 3140"
"Union County",05139,88.4,35000,"1120 of 3140"
"Lincoln County",05079,88.7,12200,"1033 of 3140"
"Calhoun County",05013,88.7,4576,"1022 of 3140"
"Desha County",05041,89.0,10593,"917 of 3140"
"Searcy County",05129,89.1,7019,"889 of 3140"
"Howard County",05061,89.8,11996,"704 of 3140"
"Nevada County",05099,89.8,7562,"692 of 3140"
"Perry County",05105,90.6,9207,"497 of 3140"
"Newton County",05101,90.8,7162,"445 of 3140"
"Ouachita County",05103,91.2,21984,"378 of 3140"
"Sevier County",05133,91.4,15474,"350 of 3140"
"Lafayette County",05073,91.5,6412,"324 of 3140"
"Ashley County",05003,91.7,18918,"274 of 3140"
"Bradley County",05011,91.8,9990,"267 of 3140"
"Woodruff County",05147,92.5,6195,"181 of 3140"
"Madison County",05087,92.8,14586,"160 of 3140"
"Cleveland County",05025,94.8,7862,"46 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
