------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"United States",00000,22.9,73601279,"N/A"
"Arkansas",05000,23.7,705718,"16 of 52"
"Baxter County",05005,17.6,7223,"2945 of 3141"
"Lincoln County",05079,17.8,2470,"2923 of 3141"
"Marion County",05089,17.9,2925,"2912 of 3141"
"Izard County",05065,18.0,2435,"2895 of 3141"
"Montgomery County",05097,19.2,1736,"2711 of 3141"
"Clark County",05019,19.2,4313,"2706 of 3141"
"Lee County",05077,19.3,1851,"2688 of 3141"
"Cleburne County",05023,19.3,4886,"2682 of 3141"
"Calhoun County",05013,19.4,1007,"2649 of 3141"
"Lafayette County",05073,19.8,1395,"2543 of 3141"
"Newton County",05101,19.9,1574,"2511 of 3141"
"Van Buren County",05141,20.0,3343,"2502 of 3141"
"Stone County",05137,20.1,2497,"2469 of 3141"
"Searcy County",05129,20.1,1593,"2459 of 3141"
"Jackson County",05067,20.2,3526,"2420 of 3141"
"Fulton County",05049,20.3,2455,"2401 of 3141"
"Garland County",05051,20.5,20044,"2343 of 3141"
"Prairie County",05117,20.5,1706,"2322 of 3141"
"Monroe County",05095,20.9,1553,"2192 of 3141"
"Hot Spring County",05059,21.0,7020,"2176 of 3141"
"Columbia County",05027,21.2,5088,"2085 of 3141"
"Sharp County",05135,21.3,3632,"2036 of 3141"
"Woodruff County",05147,21.4,1450,"2002 of 3141"
"Drew County",05043,22.0,4097,"1769 of 3141"
"Clay County",05021,22.1,3357,"1727 of 3141"
"Lawrence County",05075,22.2,3729,"1662 of 3141"
"Chicot County",05017,22.3,2451,"1647 of 3141"
"St. Francis County",05123,22.3,5950,"1624 of 3141"
"Carroll County",05015,22.3,6195,"1622 of 3141"
"Little River County",05081,22.4,2793,"1602 of 3141"
"Pike County",05109,22.4,2436,"1598 of 3141"
"Logan County",05083,22.4,4894,"1561 of 3141"
"Perry County",05105,22.5,2321,"1540 of 3141"
"Pope County",05115,22.6,14353,"1478 of 3141"
"Nevada County",05099,22.7,1936,"1458 of 3141"
"Ouachita County",05103,22.7,5539,"1449 of 3141"
"Jefferson County",05069,22.8,16251,"1428 of 3141"
"Boone County",05009,22.8,8475,"1425 of 3141"
"Arkansas County",05001,22.8,4184,"1413 of 3141"
"Cleveland County",05025,22.9,1905,"1382 of 3141"
"Dallas County",05039,23.0,1741,"1338 of 3141"
"Randolph County",05121,23.0,4031,"1308 of 3141"
"Conway County",05029,23.1,4837,"1275 of 3141"
"Grant County",05053,23.2,4192,"1232 of 3141"
"Ashley County",05003,23.2,4819,"1230 of 3141"
"Franklin County",05047,23.3,4152,"1168 of 3141"
"Polk County",05113,23.4,4728,"1147 of 3141"
"Madison County",05087,23.6,3747,"1078 of 3141"
"Faulkner County",05045,23.6,28573,"1074 of 3141"
"Pulaski County",05119,23.6,92662,"1060 of 3141"
"White County",05145,23.7,18616,"1033 of 3141"
"Bradley County",05011,23.7,2602,"1025 of 3141"
"Poinsett County",05111,23.8,5739,"959 of 3141"
"Independence County",05063,23.8,8840,"954 of 3141"
"Saline County",05125,23.9,27733,"943 of 3141"
"Union County",05139,24.0,9589,"899 of 3141"
"Miller County",05091,24.0,10485,"898 of 3141"
"Scott County",05127,24.0,2544,"862 of 3141"
"Cross County",05037,24.2,4152,"790 of 3141"
"Greene County",05055,24.3,10751,"744 of 3141"
"Sebastian County",05131,24.4,31052,"728 of 3141"
"Johnson County",05071,24.5,6407,"690 of 3141"
"Yell County",05149,24.8,5357,"605 of 3141"
"Craighead County",05031,24.8,25887,"590 of 3141"
"Washington County",05143,24.9,55799,"558 of 3141"
"Crawford County",05033,25.0,15515,"550 of 3141"
"Desha County",05041,25.7,3112,"402 of 3141"
"Howard County",05061,25.9,3495,"370 of 3141"
"Hempstead County",05057,26.1,5773,"354 of 3141"
"Lonoke County",05085,26.3,18842,"327 of 3141"
"Phillips County",05107,26.4,5149,"326 of 3141"
"Mississippi County",05093,26.7,11611,"292 of 3141"
"Benton County",05007,27.0,67957,"255 of 3141"
"Crittenden County",05035,27.7,13646,"188 of 3141"
"Sevier County",05133,29.0,4995,"118 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
