------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Arkansas",05000,4.7,141079,"38 of 51"
"United States",00000,13.4,43028127,"N/A"
"Prairie County",05117,0.1,8,"3118 of 3140"
"Stone County",05137,0.3,34,"3080 of 3140"
"Cross County",05037,0.3,47,"3079 of 3140"
"Jackson County",05067,0.4,75,"3029 of 3140"
"Lee County",05077,0.5,46,"3002 of 3140"
"Phillips County",05107,0.5,100,"2989 of 3140"
"Woodruff County",05147,0.6,43,"2911 of 3140"
"Perry County",05105,0.6,66,"2910 of 3140"
"Boone County",05009,0.7,270,"2841 of 3140"
"Greene County",05055,0.7,321,"2839 of 3140"
"Poinsett County",05111,0.7,177,"2836 of 3140"
"Calhoun County",05013,0.8,39,"2826 of 3140"
"Ouachita County",05103,0.8,189,"2808 of 3140"
"Lawrence County",05075,0.8,134,"2792 of 3140"
"Little River County",05081,0.8,100,"2789 of 3140"
"Clay County",05021,0.8,122,"2788 of 3140"
"Monroe County",05095,0.8,60,"2784 of 3140"
"Randolph County",05121,0.9,163,"2700 of 3140"
"Newton County",05101,1.0,77,"2667 of 3140"
"Fulton County",05049,1.0,118,"2666 of 3140"
"Sharp County",05135,1.0,167,"2661 of 3140"
"Lafayette County",05073,1.0,71,"2643 of 3140"
"Searcy County",05129,1.0,83,"2607 of 3140"
"Arkansas County",05001,1.2,222,"2470 of 3140"
"Hot Spring County",05059,1.2,406,"2468 of 3140"
"Grant County",05053,1.2,220,"2464 of 3140"
"Marion County",05089,1.2,201,"2459 of 3140"
"Miller County",05091,1.2,544,"2441 of 3140"
"Drew County",05043,1.2,232,"2440 of 3140"
"Nevada County",05099,1.4,116,"2351 of 3140"
"Van Buren County",05141,1.5,248,"2265 of 3140"
"St. Francis County",05123,1.5,397,"2258 of 3140"
"Crittenden County",05035,1.6,800,"2163 of 3140"
"Cleveland County",05025,1.6,137,"2146 of 3140"
"Jefferson County",05069,1.6,1174,"2145 of 3140"
"Franklin County",05047,1.7,295,"2139 of 3140"
"Cleburne County",05023,1.7,440,"2077 of 3140"
"Conway County",05029,1.8,384,"2025 of 3140"
"Logan County",05083,2.0,428,"1945 of 3140"
"Mississippi County",05093,2.0,892,"1904 of 3140"
"Union County",05139,2.1,824,"1892 of 3140"
"Lonoke County",05085,2.1,1494,"1875 of 3140"
"Lincoln County",05079,2.1,290,"1872 of 3140"
"Baxter County",05005,2.2,892,"1824 of 3140"
"Izard County",05065,2.2,295,"1817 of 3140"
"Dallas County",05039,2.4,185,"1703 of 3140"
"Columbia County",05027,2.6,622,"1623 of 3140"
"Chicot County",05017,2.7,294,"1585 of 3140"
"Montgomery County",05097,2.7,243,"1576 of 3140"
"White County",05145,2.7,2118,"1571 of 3140"
"Ashley County",05003,2.8,585,"1509 of 3140"
"Saline County",05125,2.9,3354,"1483 of 3140"
"Clark County",05019,3.0,667,"1438 of 3140"
"Independence County",05063,3.1,1137,"1394 of 3140"
"Faulkner County",05045,3.1,3812,"1375 of 3140"
"Madison County",05087,3.3,531,"1308 of 3140"
"Desha County",05041,3.4,408,"1302 of 3140"
"Garland County",05051,3.4,3342,"1288 of 3140"
"Scott County",05127,3.6,382,"1227 of 3140"
"Polk County",05113,4.0,809,"1115 of 3140"
"Crawford County",05033,4.1,2522,"1095 of 3140"
"Craighead County",05031,4.2,4350,"1072 of 3140"
"Pike County",05109,4.3,465,"1045 of 3140"
"Howard County",05061,5.2,702,"885 of 3140"
"Pope County",05115,5.2,3306,"884 of 3140"
"Hempstead County",05057,5.3,1170,"870 of 3140"
"Pulaski County",05119,5.4,21184,"850 of 3140"
"Bradley County",05011,6.9,754,"626 of 3140"
"Carroll County",05015,8.3,2293,"483 of 3140"
"Johnson County",05071,8.3,2176,"477 of 3140"
"Sebastian County",05131,9.2,11696,"405 of 3140"
"Yell County",05149,10.1,2172,"351 of 3140"
"Washington County",05143,11.2,25107,"279 of 3140"
"Benton County",05007,11.3,28377,"277 of 3140"
"Sevier County",05133,16.7,2875,"151 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
