------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Arkansas",05000,9.2,271912,"38 of 51"
"Cleveland County",05025,2.3,189,"129 of 3140"
"Newton County",05101,2.6,206,"177 of 3140"
"Lafayette County",05073,3.5,243,"361 of 3140"
"Dallas County",05039,3.5,264,"375 of 3140"
"Madison County",05087,3.8,594,"457 of 3140"
"Woodruff County",05147,4.2,281,"585 of 3140"
"Lincoln County",05079,4.3,595,"632 of 3140"
"Nevada County",05099,4.4,372,"671 of 3140"
"Perry County",05105,4.6,472,"761 of 3140"
"Montgomery County",05097,4.8,430,"816 of 3140"
"Calhoun County",05013,4.8,248,"828 of 3140"
"Franklin County",05047,5.4,953,"1129 of 3140"
"Sevier County",05133,5.6,948,"1203 of 3140"
"Ouachita County",05103,5.6,1350,"1206 of 3140"
"Marion County",05089,5.7,926,"1273 of 3140"
"Bradley County",05011,5.8,636,"1336 of 3140"
"Drew County",05043,6.0,1099,"1414 of 3140"
"Howard County",05061,6.0,807,"1446 of 3140"
"Jackson County",05067,6.1,1047,"1464 of 3140"
"Saline County",05125,6.2,7160,"1545 of 3140"
"Prairie County",05117,6.3,518,"1587 of 3140"
"Stone County",05137,6.3,787,"1601 of 3140"
"Ashley County",05003,6.3,1308,"1604 of 3140"
"Searcy County",05129,6.4,501,"1614 of 3140"
"Yell County",05149,6.4,1361,"1630 of 3140"
"Lonoke County",05085,6.6,4636,"1711 of 3140"
"Hempstead County",05057,6.6,1436,"1729 of 3140"
"Van Buren County",05141,6.9,1149,"1835 of 3140"
"Jefferson County",05069,7.0,4959,"1872 of 3140"
"Fulton County",05049,7.1,846,"1894 of 3140"
"Scott County",05127,7.1,739,"1904 of 3140"
"Union County",05139,7.2,2840,"1943 of 3140"
"Cleburne County",05023,7.2,1812,"1964 of 3140"
"Lawrence County",05075,7.2,1199,"1970 of 3140"
"Pike County",05109,7.3,782,"1989 of 3140"
"Lee County",05077,7.3,687,"1990 of 3140"
"Chicot County",05017,7.3,792,"1995 of 3140"
"Desha County",05041,7.4,877,"2035 of 3140"
"Miller County",05091,7.5,3247,"2096 of 3140"
"Grant County",05053,7.7,1385,"2176 of 3140"
"Izard County",05065,7.8,1043,"2198 of 3140"
"Cross County",05037,7.8,1325,"2202 of 3140"
"Johnson County",05071,7.8,2016,"2205 of 3140"
"Hot Spring County",05059,7.8,2583,"2206 of 3140"
"Benton County",05007,8.2,20264,"2325 of 3140"
"Little River County",05081,8.2,1020,"2334 of 3140"
"Logan County",05083,8.4,1812,"2386 of 3140"
"Carroll County",05015,8.6,2360,"2426 of 3140"
"Conway County",05029,8.6,1791,"2443 of 3140"
"Faulkner County",05045,8.8,10509,"2486 of 3140"
"Columbia County",05027,8.8,2085,"2500 of 3140"
"Garland County",05051,9.1,8848,"2588 of 3140"
"Crawford County",05033,9.1,5598,"2589 of 3140"
"Independence County",05063,9.3,3405,"2625 of 3140"
"Monroe County",05095,9.3,679,"2632 of 3140"
"Clark County",05019,9.4,2100,"2664 of 3140"
"Arkansas County",05001,9.7,1757,"2720 of 3140"
"St. Francis County",05123,9.7,2560,"2726 of 3140"
"Polk County",05113,9.8,1958,"2740 of 3140"
"Pope County",05115,9.8,6140,"2743 of 3140"
"Sebastian County",05131,9.8,12298,"2747 of 3140"
"Sharp County",05135,10.0,1686,"2776 of 3140"
"Crittenden County",05035,10.3,4999,"2841 of 3140"
"Poinsett County",05111,10.7,2543,"2895 of 3140"
"Boone County",05009,10.9,3982,"2921 of 3140"
"Pulaski County",05119,10.9,42283,"2924 of 3140"
"Clay County",05021,11.1,1674,"2950 of 3140"
"Randolph County",05121,11.2,1931,"2957 of 3140"
"Washington County",05143,11.5,25271,"2991 of 3140"
"Baxter County",05005,11.5,4682,"2998 of 3140"
"Mississippi County",05093,11.9,5061,"3026 of 3140"
"White County",05145,12.6,9755,"3068 of 3140"
"Greene County",05055,14.6,6362,"3121 of 3140"
"Craighead County",05031,15.1,15543,"3127 of 3140"
"Phillips County",05107,17.1,3308,"3139 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
