------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Arkansas",05000,2.6,30315,"20 of 52"
"United States",00000,3.3,3975282,"N/A"
"Calhoun County",05013,0.7,14,"2901 of 3141"
"Dallas County",05039,0.7,22,"2891 of 3141"
"Arkansas County",05001,0.9,70,"2698 of 3141"
"Stone County",05137,1.0,48,"2639 of 3141"
"Cleveland County",05025,1.0,33,"2610 of 3141"
"Lawrence County",05075,1.2,80,"2360 of 3141"
"Little River County",05081,1.4,74,"2149 of 3141"
"Lafayette County",05073,1.4,41,"2101 of 3141"
"Woodruff County",05147,1.5,42,"2073 of 3141"
"Drew County",05043,1.5,103,"2069 of 3141"
"Izard County",05065,1.5,77,"2041 of 3141"
"Desha County",05041,1.5,80,"1987 of 3141"
"Hot Spring County",05059,1.5,189,"1981 of 3141"
"Cleburne County",05023,1.6,169,"1932 of 3141"
"Cross County",05037,1.6,110,"1874 of 3141"
"Marion County",05089,1.6,109,"1873 of 3141"
"Ashley County",05003,1.7,139,"1800 of 3141"
"Greene County",05055,1.7,288,"1787 of 3141"
"Baxter County",05005,1.8,335,"1684 of 3141"
"Grant County",05053,1.8,125,"1679 of 3141"
"Pulaski County",05119,1.8,2854,"1665 of 3141"
"Searcy County",05129,1.9,63,"1605 of 3141"
"Jefferson County",05069,1.9,521,"1592 of 3141"
"Van Buren County",05141,1.9,132,"1573 of 3141"
"White County",05145,2.0,584,"1499 of 3141"
"Lee County",05077,2.0,72,"1466 of 3141"
"Faulkner County",05045,2.1,916,"1413 of 3141"
"Garland County",05051,2.1,857,"1361 of 3141"
"Miller County",05091,2.1,365,"1354 of 3141"
"Saline County",05125,2.2,972,"1250 of 3141"
"Logan County",05083,2.3,189,"1214 of 3141"
"St. Francis County",05123,2.3,216,"1184 of 3141"
"Pope County",05115,2.3,542,"1161 of 3141"
"Newton County",05101,2.3,74,"1157 of 3141"
"Phillips County",05107,2.4,184,"1153 of 3141"
"Montgomery County",05097,2.4,92,"1118 of 3141"
"Lonoke County",05085,2.4,630,"1109 of 3141"
"Clark County",05019,2.4,214,"1085 of 3141"
"Jackson County",05067,2.4,150,"1084 of 3141"
"Monroe County",05095,2.4,81,"1077 of 3141"
"Craighead County",05031,2.4,970,"1075 of 3141"
"Conway County",05029,2.5,203,"1037 of 3141"
"Independence County",05063,2.5,360,"1006 of 3141"
"Chicot County",05017,2.5,109,"1005 of 3141"
"Pike County",05109,2.6,110,"984 of 3141"
"Boone County",05009,2.6,381,"977 of 3141"
"Clay County",05021,2.6,168,"951 of 3141"
"Franklin County",05047,2.7,182,"924 of 3141"
"Randolph County",05121,2.8,206,"823 of 3141"
"Crawford County",05033,2.9,695,"778 of 3141"
"Sebastian County",05131,3.0,1521,"726 of 3141"
"Benton County",05007,3.1,2780,"709 of 3141"
"Madison County",05087,3.1,191,"692 of 3141"
"Ouachita County",05103,3.1,311,"682 of 3141"
"Perry County",05105,3.2,117,"645 of 3141"
"Hempstead County",05057,3.2,254,"635 of 3141"
"Howard County",05061,3.2,163,"621 of 3141"
"Mississippi County",05093,3.4,579,"567 of 3141"
"Prairie County",05117,3.6,141,"490 of 3141"
"Bradley County",05011,3.6,165,"487 of 3141"
"Washington County",05143,3.8,3188,"434 of 3141"
"Crittenden County",05035,3.8,712,"423 of 3141"
"Scott County",05127,3.9,154,"412 of 3141"
"Sharp County",05135,4.0,293,"377 of 3141"
"Nevada County",05099,4.1,140,"367 of 3141"
"Columbia County",05027,4.1,383,"357 of 3141"
"Lincoln County",05079,4.3,168,"319 of 3141"
"Fulton County",05049,4.4,226,"303 of 3141"
"Yell County",05149,4.5,339,"280 of 3141"
"Johnson County",05071,4.8,480,"236 of 3141"
"Union County",05139,5.1,818,"215 of 3141"
"Polk County",05113,5.2,418,"206 of 3141"
"Carroll County",05015,5.2,568,"198 of 3141"
"Poinsett County",05111,5.5,526,"185 of 3141"
"Sevier County",05133,7.4,440,"92 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:15 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
