------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Arkansas",05000,3.7,108444,"39 of 51"
"Ashley County",05003,1.2,239,"70 of 3140"
"Polk County",05113,1.4,283,"128 of 3140"
"Sevier County",05133,1.5,254,"147 of 3140"
"Crittenden County",05035,1.7,807,"200 of 3140"
"Ouachita County",05103,1.7,421,"233 of 3140"
"Bradley County",05011,1.8,196,"246 of 3140"
"Cleveland County",05025,1.9,156,"278 of 3140"
"Madison County",05087,1.9,302,"298 of 3140"
"Phillips County",05107,2.0,390,"341 of 3140"
"Benton County",05007,2.1,5211,"390 of 3140"
"Union County",05139,2.2,870,"444 of 3140"
"Desha County",05041,2.2,267,"469 of 3140"
"Nevada County",05099,2.3,195,"508 of 3140"
"Howard County",05061,2.3,310,"512 of 3140"
"Woodruff County",05147,2.5,165,"598 of 3140"
"St. Francis County",05123,2.5,664,"630 of 3140"
"Scott County",05127,2.5,264,"647 of 3140"
"Searcy County",05129,2.7,216,"800 of 3140"
"Conway County",05029,2.8,579,"832 of 3140"
"Crawford County",05033,2.8,1714,"838 of 3140"
"Johnson County",05071,2.9,738,"888 of 3140"
"Pulaski County",05119,2.9,11238,"912 of 3140"
"Clay County",05021,3.1,466,"1036 of 3140"
"Garland County",05051,3.1,3014,"1044 of 3140"
"Cleburne County",05023,3.1,784,"1057 of 3140"
"Lafayette County",05073,3.2,223,"1118 of 3140"
"Hempstead County",05057,3.2,691,"1122 of 3140"
"Baxter County",05005,3.2,1311,"1139 of 3140"
"Sebastian County",05131,3.2,4068,"1157 of 3140"
"Carroll County",05015,3.4,923,"1227 of 3140"
"Cross County",05037,3.5,589,"1327 of 3140"
"Greene County",05055,3.6,1556,"1408 of 3140"
"Arkansas County",05001,3.6,657,"1440 of 3140"
"Miller County",05091,3.7,1583,"1483 of 3140"
"Boone County",05009,3.7,1345,"1489 of 3140"
"Jefferson County",05069,3.7,2622,"1504 of 3140"
"Saline County",05125,3.8,4345,"1559 of 3140"
"Little River County",05081,3.8,470,"1561 of 3140"
"Mississippi County",05093,3.8,1619,"1567 of 3140"
"Drew County",05043,3.8,709,"1607 of 3140"
"Perry County",05105,3.9,393,"1619 of 3140"
"Randolph County",05121,4.0,686,"1687 of 3140"
"Van Buren County",05141,4.1,684,"1767 of 3140"
"Washington County",05143,4.1,9091,"1774 of 3140"
"Yell County",05149,4.3,917,"1876 of 3140"
"Stone County",05137,4.3,537,"1882 of 3140"
"Lee County",05077,4.3,408,"1884 of 3140"
"Lonoke County",05085,4.4,3090,"1917 of 3140"
"Chicot County",05017,4.4,481,"1946 of 3140"
"White County",05145,4.5,3471,"1976 of 3140"
"Independence County",05063,4.5,1644,"1980 of 3140"
"Faulkner County",05045,4.6,5488,"2027 of 3140"
"Grant County",05053,4.6,823,"2040 of 3140"
"Prairie County",05117,4.6,381,"2058 of 3140"
"Monroe County",05095,4.7,344,"2111 of 3140"
"Marion County",05089,4.7,764,"2116 of 3140"
"Montgomery County",05097,4.9,443,"2214 of 3140"
"Logan County",05083,5.0,1080,"2266 of 3140"
"Newton County",05101,5.1,403,"2313 of 3140"
"Lincoln County",05079,5.3,734,"2413 of 3140"
"Poinsett County",05111,5.4,1276,"2432 of 3140"
"Craighead County",05031,5.4,5557,"2446 of 3140"
"Franklin County",05047,5.5,963,"2481 of 3140"
"Izard County",05065,5.6,743,"2504 of 3140"
"Columbia County",05027,5.6,1330,"2524 of 3140"
"Calhoun County",05013,5.6,291,"2532 of 3140"
"Lawrence County",05075,5.6,938,"2534 of 3140"
"Pike County",05109,5.9,630,"2602 of 3140"
"Hot Spring County",05059,6.0,1971,"2621 of 3140"
"Pope County",05115,6.1,3795,"2645 of 3140"
"Fulton County",05049,6.2,742,"2679 of 3140"
"Sharp County",05135,6.6,1113,"2760 of 3140"
"Clark County",05019,8.5,1901,"2993 of 3140"
"Dallas County",05039,8.6,646,"2997 of 3140"
"Jackson County",05067,12.9,2232,"3116 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
