------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"United States",00000,12.7,27437114,"N/A"
"Arkansas",05000,14.4,286117,"44 of 52"
"Faulkner County",05045,8.8,6469,"740 of 3141"
"Pulaski County",05119,9.6,25500,"942 of 3141"
"Saline County",05125,9.9,7904,"999 of 3141"
"Grant County",05053,9.9,1236,"1012 of 3141"
"Lonoke County",05085,11.5,5399,"1383 of 3141"
"Craighead County",05031,11.7,7791,"1425 of 3141"
"Garland County",05051,11.8,8331,"1443 of 3141"
"Clark County",05019,11.8,1559,"1454 of 3141"
"Benton County",05007,12.5,20402,"1589 of 3141"
"Baxter County",05005,12.7,4006,"1622 of 3141"
"Cleveland County",05025,12.7,731,"1633 of 3141"
"Greene County",05055,13.4,3939,"1741 of 3141"
"Marion County",05089,13.8,1731,"1803 of 3141"
"Crawford County",05033,14.1,5894,"1854 of 3141"
"Nevada County",05099,14.2,834,"1872 of 3141"
"Carroll County",05015,14.3,2793,"1878 of 3141"
"Hot Spring County",05059,14.4,3427,"1897 of 3141"
"Jefferson County",05069,14.7,7010,"1935 of 3141"
"Polk County",05113,14.8,2081,"1947 of 3141"
"Boone County",05009,14.8,3826,"1949 of 3141"
"Conway County",05029,14.8,2142,"1950 of 3141"
"Ouachita County",05103,14.8,2491,"1953 of 3141"
"Little River County",05081,14.9,1333,"1964 of 3141"
"Independence County",05063,14.9,3736,"1965 of 3141"
"Miller County",05091,14.9,4430,"1970 of 3141"
"Columbia County",05027,15.2,2253,"2008 of 3141"
"Van Buren County",05141,15.2,1869,"2011 of 3141"
"White County",05145,15.4,7824,"2052 of 3141"
"Fulton County",05049,15.5,1371,"2071 of 3141"
"Cleburne County",05023,15.6,2938,"2084 of 3141"
"Washington County",05143,15.8,21241,"2099 of 3141"
"Calhoun County",05013,15.8,589,"2110 of 3141"
"Pope County",05115,16.0,6393,"2131 of 3141"
"Lawrence County",05075,16.0,1823,"2135 of 3141"
"Union County",05139,16.1,4402,"2150 of 3141"
"Logan County",05083,16.2,2474,"2163 of 3141"
"Searcy County",05129,16.5,961,"2187 of 3141"
"Perry County",05105,16.6,1197,"2214 of 3141"
"Pike County",05109,16.7,1273,"2231 of 3141"
"Drew County",05043,16.8,1956,"2238 of 3141"
"Dallas County",05039,16.9,899,"2249 of 3141"
"Ashley County",05003,17.0,2409,"2273 of 3141"
"Izard County",05065,17.1,1740,"2287 of 3141"
"Prairie County",05117,17.2,1031,"2289 of 3141"
"Sharp County",05135,17.2,2121,"2298 of 3141"
"Arkansas County",05001,17.4,2213,"2319 of 3141"
"Sebastian County",05131,17.4,14678,"2324 of 3141"
"Randolph County",05121,17.5,2132,"2340 of 3141"
"Mississippi County",05093,17.7,4929,"2350 of 3141"
"Bradley County",05011,18.6,1399,"2435 of 3141"
"Crittenden County",05035,18.6,5790,"2441 of 3141"
"Howard County",05061,18.7,1668,"2451 of 3141"
"Newton County",05101,18.9,1096,"2475 of 3141"
"Franklin County",05047,19.1,2317,"2498 of 3141"
"Lafayette County",05073,19.3,983,"2522 of 3141"
"Cross County",05037,19.6,2267,"2561 of 3141"
"Lincoln County",05079,19.7,2026,"2569 of 3141"
"Chicot County",05017,19.8,1525,"2574 of 3141"
"Hempstead County",05057,19.9,2873,"2588 of 3141"
"Madison County",05087,20.4,2222,"2636 of 3141"
"Johnson County",05071,20.5,3506,"2645 of 3141"
"Poinsett County",05111,20.5,3343,"2647 of 3141"
"Yell County",05149,21.1,3071,"2707 of 3141"
"Montgomery County",05097,21.2,1436,"2715 of 3141"
"St. Francis County",05123,21.3,3930,"2721 of 3141"
"Clay County",05021,21.5,2289,"2743 of 3141"
"Scott County",05127,22.0,1571,"2790 of 3141"
"Monroe County",05095,22.3,1160,"2813 of 3141"
"Jackson County",05067,22.6,2811,"2828 of 3141"
"Desha County",05041,22.6,1806,"2833 of 3141"
"Woodruff County",05147,22.9,1106,"2855 of 3141"
"Stone County",05137,23.2,2122,"2878 of 3141"
"Phillips County",05107,24.2,3018,"2927 of 3141"
"Sevier County",05133,28.2,3005,"3053 of 3141"
"Lee County",05077,30.0,2066,"3082 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:15 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
