------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Arkansas",05000,13.8,88646,"23 of 51"
"Phillips County",05107,7.7,522,"59 of 3139"
"Jefferson County",05069,9.4,1657,"327 of 3139"
"Ouachita County",05103,9.4,585,"327 of 3139"
"Mississippi County",05093,9.5,1179,"350 of 3139"
"Lee County",05077,9.6,225,"368 of 3139"
"Crittenden County",05035,9.7,1366,"392 of 3139"
"St. Francis County",05123,9.8,681,"418 of 3139"
"Greene County",05055,10.1,992,"497 of 3139"
"Monroe County",05095,10.2,210,"519 of 3139"
"Clark County",05019,10.4,491,"561 of 3139"
"Miller County",05091,10.4,1094,"561 of 3139"
"Dallas County",05039,10.8,170,"631 of 3139"
"Chicot County",05017,10.9,340,"657 of 3139"
"Jackson County",05067,11.0,446,"684 of 3139"
"Lawrence County",05075,11.2,475,"718 of 3139"
"Nevada County",05099,11.2,253,"718 of 3139"
"Grant County",05053,11.3,347,"736 of 3139"
"Clay County",05021,11.4,409,"756 of 3139"
"Desha County",05041,11.4,436,"756 of 3139"
"Woodruff County",05147,11.4,210,"756 of 3139"
"Poinsett County",05111,11.5,760,"770 of 3139"
"Drew County",05043,11.6,539,"789 of 3139"
"Hot Spring County",05059,11.7,770,"806 of 3139"
"Pulaski County",05119,11.7,9275,"806 of 3139"
"Craighead County",05031,11.8,2795,"825 of 3139"
"Lonoke County",05085,11.8,1375,"825 of 3139"
"Boone County",05009,11.9,933,"840 of 3139"
"Columbia County",05027,11.9,653,"840 of 3139"
"Cross County",05037,11.9,507,"840 of 3139"
"Independence County",05063,12.0,1016,"859 of 3139"
"Arkansas County",05001,12.1,492,"878 of 3139"
"Baxter County",05005,12.1,850,"878 of 3139"
"Prairie County",05117,12.3,222,"907 of 3139"
"White County",05145,12.4,1997,"922 of 3139"
"Conway County",05029,12.5,574,"933 of 3139"
"Randolph County",05121,12.5,532,"933 of 3139"
"Searcy County",05129,12.7,281,"966 of 3139"
"Union County",05139,12.7,1093,"966 of 3139"
"Newton County",05101,12.8,254,"983 of 3139"
"Sharp County",05135,12.8,626,"983 of 3139"
"Calhoun County",05013,13.0,128,"1003 of 3139"
"Lincoln County",05079,13.1,307,"1014 of 3139"
"Franklin County",05047,13.2,567,"1030 of 3139"
"Little River County",05081,13.2,374,"1030 of 3139"
"Perry County",05105,13.2,286,"1030 of 3139"
"Cleburne County",05023,13.3,619,"1050 of 3139"
"Marion County",05089,13.3,519,"1050 of 3139"
"Ashley County",05003,13.5,641,"1080 of 3139"
"Fulton County",05049,13.5,391,"1080 of 3139"
"Logan County",05083,13.5,685,"1080 of 3139"
"Lafayette County",05073,13.6,237,"1094 of 3139"
"Van Buren County",05141,13.7,502,"1101 of 3139"
"Garland County",05051,13.8,3088,"1117 of 3139"
"Faulkner County",05045,14.0,3385,"1139 of 3139"
"Crawford County",05033,14.1,1971,"1148 of 3139"
"Stone County",05137,14.1,463,"1148 of 3139"
"Saline County",05125,14.2,2021,"1155 of 3139"
"Izard County",05065,14.4,430,"1183 of 3139"
"Cleveland County",05025,14.5,215,"1195 of 3139"
"Hempstead County",05057,14.5,915,"1195 of 3139"
"Scott County",05127,15.0,427,"1247 of 3139"
"Johnson County",05071,15.1,1028,"1259 of 3139"
"Montgomery County",05097,15.1,298,"1259 of 3139"
"Howard County",05061,15.4,589,"1303 of 3139"
"Madison County",05087,15.6,630,"1324 of 3139"
"Bradley County",05011,15.8,483,"1349 of 3139"
"Pope County",05115,16.2,2226,"1399 of 3139"
"Pike County",05109,16.6,437,"1442 of 3139"
"Polk County",05113,17.4,959,"1555 of 3139"
"Carroll County",05015,17.8,1138,"1623 of 3139"
"Yell County",05149,17.8,950,"1623 of 3139"
"Sebastian County",05131,18.1,5609,"1660 of 3139"
"Washington County",05143,18.9,9492,"1786 of 3139"
"Benton County",05007,20.3,7862,"2007 of 3139"
"Sevier County",05133,23.4,1142,"2406 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
