------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"Arkansas",05000,30.2,871928,"49 of 52"
"Saline County",05125,15.5,17770,"267 of 3141"
"Benton County",05007,20.3,50385,"779 of 3141"
"Lonoke County",05085,20.8,14761,"859 of 3141"
"Baxter County",05005,24.3,9891,"1338 of 3141"
"Grant County",05053,25.1,4485,"1459 of 3141"
"Cleburne County",05023,25.9,6454,"1566 of 3141"
"Greene County",05055,27.7,11993,"1837 of 3141"
"Faulkner County",05045,27.8,32417,"1860 of 3141"
"Pulaski County",05119,27.9,107826,"1871 of 3141"
"Hot Spring County",05059,28.6,8937,"1965 of 3141"
"White County",05145,28.7,21406,"1978 of 3141"
"Crawford County",05033,28.9,17740,"2005 of 3141"
"Washington County",05143,29.2,63053,"2045 of 3141"
"Cleveland County",05025,29.3,2407,"2054 of 3141"
"Carroll County",05015,29.6,8130,"2083 of 3141"
"Perry County",05105,29.8,3036,"2123 of 3141"
"Dallas County",05039,30.2,2077,"2163 of 3141"
"Craighead County",05031,30.2,30227,"2166 of 3141"
"Garland County",05051,30.4,29172,"2189 of 3141"
"Boone County",05009,30.6,11212,"2215 of 3141"
"Prairie County",05117,30.7,2503,"2226 of 3141"
"Conway County",05029,30.8,6387,"2234 of 3141"
"Union County",05139,30.9,12226,"2247 of 3141"
"Izard County",05065,31.3,3948,"2289 of 3141"
"Montgomery County",05097,32.1,2859,"2361 of 3141"
"Independence County",05063,32.1,11531,"2368 of 3141"
"Pope County",05115,32.4,19316,"2397 of 3141"
"Clark County",05019,32.9,6470,"2445 of 3141"
"Lawrence County",05075,33.1,5343,"2468 of 3141"
"Logan County",05083,33.2,7105,"2480 of 3141"
"Newton County",05101,33.4,2611,"2496 of 3141"
"Pike County",05109,33.4,3569,"2498 of 3141"
"Miller County",05091,33.4,14182,"2500 of 3141"
"Lincoln County",05079,33.5,3036,"2504 of 3141"
"Marion County",05089,33.6,5451,"2517 of 3141"
"Cross County",05037,34.2,5770,"2567 of 3141"
"Arkansas County",05001,34.3,6196,"2576 of 3141"
"Searcy County",05129,34.5,2697,"2588 of 3141"
"Sebastian County",05131,34.8,43633,"2622 of 3141"
"Sevier County",05133,34.9,5931,"2628 of 3141"
"Lafayette County",05073,35.3,2421,"2654 of 3141"
"Little River County",05081,35.3,4304,"2656 of 3141"
"Ashley County",05003,35.5,7292,"2666 of 3141"
"Van Buren County",05141,35.6,5886,"2672 of 3141"
"Calhoun County",05013,35.6,1793,"2675 of 3141"
"Yell County",05149,35.7,7604,"2688 of 3141"
"Madison County",05087,35.8,5635,"2693 of 3141"
"Randolph County",05121,35.9,6106,"2698 of 3141"
"Poinsett County",05111,36.1,8498,"2721 of 3141"
"Clay County",05021,36.1,5417,"2724 of 3141"
"Scott County",05127,36.3,3800,"2732 of 3141"
"Franklin County",05047,36.4,6363,"2743 of 3141"
"Johnson County",05071,36.5,9283,"2753 of 3141"
"Crittenden County",05035,36.7,17825,"2766 of 3141"
"Nevada County",05099,36.7,3072,"2772 of 3141"
"Columbia County",05027,36.9,8186,"2784 of 3141"
"Fulton County",05049,37.0,4374,"2786 of 3141"
"Jefferson County",05069,37.2,24276,"2799 of 3141"
"Drew County",05043,38.0,6612,"2842 of 3141"
"Woodruff County",05147,38.8,2568,"2870 of 3141"
"Bradley County",05011,38.8,4221,"2878 of 3141"
"Hempstead County",05057,39.6,8659,"2902 of 3141"
"Jackson County",05067,39.7,5675,"2905 of 3141"
"Mississippi County",05093,39.8,16979,"2910 of 3141"
"Stone County",05137,39.9,4913,"2912 of 3141"
"Howard County",05061,40.0,5307,"2920 of 3141"
"Ouachita County",05103,40.0,9604,"2922 of 3141"
"Polk County",05113,40.4,8109,"2938 of 3141"
"St. Francis County",05123,41.8,9669,"2978 of 3141"
"Sharp County",05135,42.8,7150,"3003 of 3141"
"Chicot County",05017,42.8,4424,"3006 of 3141"
"Monroe County",05095,43.1,3166,"3014 of 3141"
"Lee County",05077,44.9,3570,"3050 of 3141"
"Desha County",05041,46.5,5546,"3068 of 3141"
"Phillips County",05107,49.1,9478,"3091 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
