------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Arkansas",05000,0.3,9464,"4 of 51"
"United States",00000,0.7,2074097,"N/A"
"Clay County",05021,0.0,0,"1 of 3140"
"Cleveland County",05025,0.0,0,"1 of 3140"
"Dallas County",05039,0.0,0,"1 of 3140"
"Grant County",05053,0.0,0,"1 of 3140"
"Lee County",05077,0.0,0,"1 of 3140"
"Miller County",05091,0.0,0,"1 of 3140"
"Newton County",05101,0.0,0,"1 of 3140"
"Phillips County",05107,0.0,0,"1 of 3140"
"Prairie County",05117,0.0,0,"1 of 3140"
"Scott County",05127,0.0,0,"1 of 3140"
"Sharp County",05135,0.0,0,"1 of 3140"
"Hempstead County",05057,0.0,2,"371 of 3140"
"Boone County",05009,0.0,7,"416 of 3140"
"Cross County",05037,0.0,4,"434 of 3140"
"Lincoln County",05079,0.0,4,"458 of 3140"
"Hot Spring County",05059,0.0,10,"466 of 3140"
"Monroe County",05095,0.0,3,"533 of 3140"
"Chicot County",05017,0.0,5,"561 of 3140"
"Columbia County",05027,0.0,11,"564 of 3140"
"Garland County",05051,0.1,55,"617 of 3140"
"Perry County",05105,0.1,6,"627 of 3140"
"Ouachita County",05103,0.1,15,"645 of 3140"
"Cleburne County",05023,0.1,16,"660 of 3140"
"Lawrence County",05075,0.1,11,"687 of 3140"
"Drew County",05043,0.1,14,"762 of 3140"
"Conway County",05029,0.1,18,"839 of 3140"
"Crawford County",05033,0.1,54,"848 of 3140"
"Bradley County",05011,0.1,10,"875 of 3140"
"Little River County",05081,0.1,12,"897 of 3140"
"Independence County",05063,0.1,36,"909 of 3140"
"Ashley County",05003,0.1,22,"963 of 3140"
"Arkansas County",05001,0.1,20,"990 of 3140"
"Lafayette County",05073,0.1,8,"1023 of 3140"
"Madison County",05087,0.1,18,"1026 of 3140"
"Desha County",05041,0.1,14,"1055 of 3140"
"Jackson County",05067,0.1,24,"1191 of 3140"
"Fulton County",05049,0.1,17,"1219 of 3140"
"Franklin County",05047,0.1,26,"1248 of 3140"
"Saline County",05125,0.1,172,"1260 of 3140"
"Randolph County",05121,0.2,26,"1265 of 3140"
"Calhoun County",05013,0.2,8,"1296 of 3140"
"Greene County",05055,0.2,72,"1368 of 3140"
"Montgomery County",05097,0.2,15,"1377 of 3140"
"Union County",05139,0.2,66,"1378 of 3140"
"Jefferson County",05069,0.2,119,"1385 of 3140"
"Sevier County",05133,0.2,29,"1403 of 3140"
"Marion County",05089,0.2,30,"1498 of 3140"
"Clark County",05019,0.2,43,"1537 of 3140"
"Poinsett County",05111,0.2,47,"1569 of 3140"
"Pike County",05109,0.2,23,"1641 of 3140"
"Yell County",05149,0.2,47,"1677 of 3140"
"Faulkner County",05045,0.2,286,"1758 of 3140"
"Crittenden County",05035,0.2,116,"1764 of 3140"
"Johnson County",05071,0.2,62,"1773 of 3140"
"Van Buren County",05141,0.2,40,"1775 of 3140"
"Mississippi County",05093,0.3,109,"1840 of 3140"
"Baxter County",05005,0.3,105,"1847 of 3140"
"Searcy County",05129,0.3,21,"1889 of 3140"
"Woodruff County",05147,0.3,19,"1966 of 3140"
"Polk County",05113,0.3,58,"1987 of 3140"
"Stone County",05137,0.3,37,"2008 of 3140"
"St. Francis County",05123,0.3,79,"2014 of 3140"
"White County",05145,0.4,278,"2208 of 3140"
"Howard County",05061,0.4,48,"2211 of 3140"
"Pulaski County",05119,0.4,1477,"2269 of 3140"
"Sebastian County",05131,0.4,489,"2291 of 3140"
"Logan County",05083,0.4,84,"2294 of 3140"
"Nevada County",05099,0.4,34,"2323 of 3140"
"Carroll County",05015,0.4,121,"2393 of 3140"
"Izard County",05065,0.5,64,"2470 of 3140"
"Washington County",05143,0.5,1136,"2531 of 3140"
"Pope County",05115,0.6,349,"2612 of 3140"
"Lonoke County",05085,0.8,535,"2836 of 3140"
"Benton County",05007,0.8,1916,"2843 of 3140"
"Craighead County",05031,0.8,862,"2885 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
