------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"Arkansas",05000,31.5,938333,"12 of 52"
"United States",00000,32.4,104105673,"N/A"
"Washington County",05143,27.5,61465,"149 of 3141"
"Faulkner County",05045,28.9,35012,"263 of 3141"
"Craighead County",05031,29.0,30217,"278 of 3141"
"Clark County",05019,29.2,6570,"299 of 3141"
"Columbia County",05027,29.3,7018,"302 of 3141"
"Sevier County",05133,29.7,5108,"350 of 3141"
"Pope County",05115,29.8,18882,"369 of 3141"
"Phillips County",05107,30.0,5847,"392 of 3141"
"Benton County",05007,30.1,75875,"417 of 3141"
"White County",05145,30.4,23921,"469 of 3141"
"Drew County",05043,30.7,5709,"518 of 3141"
"Howard County",05061,30.8,4151,"556 of 3141"
"Crittenden County",05035,31.0,15280,"598 of 3141"
"Johnson County",05071,31.2,8156,"642 of 3141"
"Lonoke County",05085,31.4,22456,"700 of 3141"
"Hempstead County",05057,31.6,7007,"782 of 3141"
"Pulaski County",05119,31.7,124374,"793 of 3141"
"Saline County",05125,32.1,37277,"932 of 3141"
"Baxter County",05005,32.1,13199,"958 of 3141"
"Mississippi County",05093,32.1,13986,"961 of 3141"
"Greene County",05055,32.2,14238,"995 of 3141"
"Sebastian County",05131,32.2,41054,"1005 of 3141"
"Sharp County",05135,32.2,5494,"1008 of 3141"
"Poinsett County",05111,32.4,7796,"1049 of 3141"
"Searcy County",05129,32.6,2582,"1140 of 3141"
"Desha County",05041,32.6,3943,"1154 of 3141"
"Conway County",05029,32.6,6833,"1159 of 3141"
"Miller County",05091,32.6,14271,"1160 of 3141"
"Polk County",05113,32.6,6596,"1167 of 3141"
"Lawrence County",05075,32.7,5481,"1180 of 3141"
"Bradley County",05011,32.7,3592,"1181 of 3141"
"Garland County",05051,32.7,32018,"1184 of 3141"
"Arkansas County",05001,32.8,6014,"1224 of 3141"
"Ashley County",05003,32.8,6811,"1236 of 3141"
"Crawford County",05033,32.8,20380,"1241 of 3141"
"Boone County",05009,32.8,12211,"1245 of 3141"
"Scott County",05127,32.8,3475,"1257 of 3141"
"Independence County",05063,32.9,12191,"1271 of 3141"
"Jefferson County",05069,32.9,23476,"1285 of 3141"
"Grant County",05053,32.9,5948,"1294 of 3141"
"Union County",05139,32.9,13170,"1295 of 3141"
"Stone County",05137,33.0,4109,"1347 of 3141"
"Van Buren County",05141,33.0,5533,"1352 of 3141"
"Yell County",05149,33.1,7144,"1368 of 3141"
"Clay County",05021,33.1,5031,"1388 of 3141"
"Franklin County",05047,33.2,5906,"1419 of 3141"
"Randolph County",05121,33.2,5815,"1433 of 3141"
"Cross County",05037,33.2,5707,"1452 of 3141"
"St. Francis County",05123,33.3,8877,"1461 of 3141"
"Pike County",05109,33.3,3626,"1473 of 3141"
"Lincoln County",05079,33.3,4625,"1479 of 3141"
"Cleburne County",05023,33.4,8468,"1525 of 3141"
"Logan County",05083,33.6,7330,"1651 of 3141"
"Calhoun County",05013,33.7,1749,"1691 of 3141"
"Nevada County",05099,33.7,2878,"1727 of 3141"
"Carroll County",05015,33.8,9397,"1774 of 3141"
"Little River County",05081,33.9,4238,"1831 of 3141"
"Cleveland County",05025,34.0,2836,"1890 of 3141"
"Hot Spring County",05059,34.1,11404,"1904 of 3141"
"Izard County",05065,34.1,4606,"1906 of 3141"
"Lee County",05077,34.1,3279,"1924 of 3141"
"Fulton County",05049,34.2,4133,"1959 of 3141"
"Newton County",05101,34.3,2710,"2021 of 3141"
"Prairie County",05117,34.3,2854,"2039 of 3141"
"Woodruff County",05147,34.3,2323,"2040 of 3141"
"Jackson County",05067,34.5,6015,"2130 of 3141"
"Madison County",05087,34.6,5498,"2150 of 3141"
"Lafayette County",05073,34.8,2452,"2255 of 3141"
"Chicot County",05017,34.8,3832,"2278 of 3141"
"Ouachita County",05103,34.9,8499,"2304 of 3141"
"Dallas County",05039,34.9,2645,"2306 of 3141"
"Perry County",05105,35.7,3686,"2616 of 3141"
"Monroe County",05095,36.5,2710,"2823 of 3141"
"Montgomery County",05097,36.5,3310,"2830 of 3141"
"Marion County",05089,36.8,6024,"2881 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40-64, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
