------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"United States",00000,50.8,162985654,"N/A"
"Arkansas",05000,50.9,1516293,"31 of 52"
"Lincoln County",05079,37.8,5242,"21 of 3141"
"Lee County",05077,43.3,4159,"75 of 3141"
"St. Francis County",05123,45.1,12024,"120 of 3141"
"Nevada County",05099,47.9,4084,"342 of 3141"
"Calhoun County",05013,48.2,2501,"397 of 3141"
"Hot Spring County",05059,48.3,16186,"429 of 3141"
"Izard County",05065,48.4,6550,"447 of 3141"
"Searcy County",05129,49.1,3895,"652 of 3141"
"Newton County",05101,49.6,3919,"884 of 3141"
"Madison County",05087,49.7,7902,"926 of 3141"
"Cleveland County",05025,49.7,4143,"967 of 3141"
"Stone County",05137,49.8,6201,"1060 of 3141"
"Sevier County",05133,49.9,8594,"1155 of 3141"
"Washington County",05143,50.0,111844,"1197 of 3141"
"Scott County",05127,50.0,5294,"1215 of 3141"
"Van Buren County",05141,50.1,8395,"1303 of 3141"
"Prairie County",05117,50.3,4177,"1443 of 3141"
"Pike County",05109,50.3,5478,"1459 of 3141"
"Yell County",05149,50.4,10879,"1534 of 3141"
"Johnson County",05071,50.4,13178,"1558 of 3141"
"Perry County",05105,50.4,5204,"1596 of 3141"
"Montgomery County",05097,50.5,4572,"1646 of 3141"
"Pope County",05115,50.5,31999,"1677 of 3141"
"Benton County",05007,50.5,127191,"1691 of 3141"
"Randolph County",05121,50.5,8850,"1710 of 3141"
"Lawrence County",05075,50.6,8492,"1828 of 3141"
"Logan County",05083,50.6,11038,"1846 of 3141"
"Greene County",05055,50.7,22391,"1902 of 3141"
"Miller County",05091,50.7,22179,"1929 of 3141"
"Little River County",05081,50.7,6337,"1964 of 3141"
"Saline County",05125,50.7,58972,"1976 of 3141"
"Cleburne County",05023,50.7,12867,"1984 of 3141"
"Jefferson County",05069,50.7,36219,"1995 of 3141"
"Crawford County",05033,50.8,31532,"2013 of 3141"
"Conway County",05029,50.8,10641,"2034 of 3141"
"Lonoke County",05085,50.8,36346,"2036 of 3141"
"Jackson County",05067,50.8,8854,"2053 of 3141"
"Fulton County",05049,50.8,6145,"2074 of 3141"
"Marion County",05089,50.8,8324,"2091 of 3141"
"White County",05145,50.9,40053,"2145 of 3141"
"Carroll County",05015,50.9,14148,"2179 of 3141"
"Lafayette County",05073,50.9,3591,"2183 of 3141"
"Chicot County",05017,50.9,5607,"2188 of 3141"
"Poinsett County",05111,51.0,12290,"2246 of 3141"
"Faulkner County",05045,51.0,61895,"2280 of 3141"
"Sharp County",05135,51.1,8705,"2336 of 3141"
"Boone County",05009,51.1,19014,"2345 of 3141"
"Howard County",05061,51.1,6890,"2395 of 3141"
"Clay County",05021,51.1,7769,"2398 of 3141"
"Grant County",05053,51.2,9247,"2405 of 3141"
"Polk County",05113,51.2,10343,"2421 of 3141"
"Sebastian County",05131,51.2,65182,"2427 of 3141"
"Drew County",05043,51.2,9530,"2432 of 3141"
"Ashley County",05003,51.2,10645,"2486 of 3141"
"Franklin County",05047,51.3,9129,"2508 of 3141"
"Craighead County",05031,51.3,53472,"2517 of 3141"
"Independence County",05063,51.3,19043,"2551 of 3141"
"Union County",05139,51.4,20571,"2593 of 3141"
"Cross County",05037,51.5,8841,"2657 of 3141"
"Baxter County",05005,51.7,21236,"2764 of 3141"
"Mississippi County",05093,51.7,22504,"2768 of 3141"
"Garland County",05051,51.8,50725,"2804 of 3141"
"Dallas County",05039,52.0,3946,"2899 of 3141"
"Pulaski County",05119,52.1,204538,"2911 of 3141"
"Columbia County",05027,52.1,12494,"2915 of 3141"
"Arkansas County",05001,52.1,9567,"2930 of 3141"
"Bradley County",05011,52.1,5732,"2933 of 3141"
"Clark County",05019,52.4,11798,"2999 of 3141"
"Ouachita County",05103,52.6,12831,"3020 of 3141"
"Crittenden County",05035,52.7,25975,"3034 of 3141"
"Woodruff County",05147,52.8,3570,"3043 of 3141"
"Phillips County",05107,52.8,10308,"3048 of 3141"
"Hempstead County",05057,53.1,11774,"3077 of 3141"
"Monroe County",05095,53.7,3985,"3102 of 3141"
"Desha County",05041,54.1,6547,"3119 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
