------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"Arkansas",05000,28.8,857726,"15 of 52"
"United States",00000,29.8,95565066,"N/A"
"Marion County",05089,18.3,3002,"86 of 3141"
"Montgomery County",05097,18.5,1678,"99 of 3141"
"Baxter County",05005,19.8,8143,"173 of 3141"
"Fulton County",05049,20.5,2478,"228 of 3141"
"Monroe County",05095,20.5,1523,"231 of 3141"
"Sharp County",05135,20.8,3549,"267 of 3141"
"Stone County",05137,21.1,2625,"308 of 3141"
"Cleburne County",05023,21.3,5411,"334 of 3141"
"Dallas County",05039,21.6,1639,"371 of 3141"
"Newton County",05101,21.9,1727,"413 of 3141"
"Van Buren County",05141,22.0,3678,"430 of 3141"
"Polk County",05113,22.3,4516,"514 of 3141"
"Carroll County",05015,22.4,6210,"517 of 3141"
"Prairie County",05117,22.4,1863,"535 of 3141"
"Searcy County",05129,22.4,1779,"539 of 3141"
"Woodruff County",05147,22.6,1527,"572 of 3141"
"Perry County",05105,22.9,2362,"657 of 3141"
"Izard County",05065,23.1,3128,"733 of 3141"
"Lafayette County",05073,23.2,1635,"744 of 3141"
"Cleveland County",05025,23.6,1965,"849 of 3141"
"Madison County",05087,23.7,3767,"876 of 3141"
"Chicot County",05017,23.7,2608,"879 of 3141"
"Scott County",05127,23.7,2513,"894 of 3141"
"Little River County",05081,23.8,2976,"919 of 3141"
"Ouachita County",05103,23.8,5809,"921 of 3141"
"Randolph County",05121,23.9,4179,"926 of 3141"
"Clay County",05021,23.9,3630,"942 of 3141"
"Nevada County",05099,24.1,2053,"998 of 3141"
"Desha County",05041,24.1,2914,"1008 of 3141"
"Garland County",05051,24.3,23765,"1054 of 3141"
"Boone County",05009,24.7,9176,"1172 of 3141"
"Franklin County",05047,24.8,4409,"1220 of 3141"
"Cross County",05037,24.9,4280,"1290 of 3141"
"Pike County",05109,25.1,2729,"1336 of 3141"
"Logan County",05083,25.1,5475,"1356 of 3141"
"Hempstead County",05057,25.2,5575,"1373 of 3141"
"Bradley County",05011,25.3,2782,"1417 of 3141"
"Ashley County",05003,25.3,5263,"1426 of 3141"
"Yell County",05149,25.6,5527,"1517 of 3141"
"Lawrence County",05075,25.8,4329,"1591 of 3141"
"Conway County",05029,25.8,5409,"1596 of 3141"
"Calhoun County",05013,25.9,1346,"1630 of 3141"
"Howard County",05061,26.2,3531,"1719 of 3141"
"Arkansas County",05001,26.3,4833,"1758 of 3141"
"Union County",05139,26.4,10549,"1764 of 3141"
"Independence County",05063,26.4,9791,"1768 of 3141"
"Crawford County",05033,26.6,16517,"1849 of 3141"
"Poinsett County",05111,26.6,6415,"1858 of 3141"
"Phillips County",05107,26.7,5215,"1887 of 3141"
"Grant County",05053,26.9,4860,"1933 of 3141"
"Hot Spring County",05059,26.9,9019,"1951 of 3141"
"Sevier County",05133,27.3,4694,"2050 of 3141"
"Saline County",05125,27.3,31734,"2053 of 3141"
"Mississippi County",05093,27.4,11930,"2091 of 3141"
"Miller County",05091,27.7,12125,"2160 of 3141"
"Greene County",05055,28.1,12440,"2257 of 3141"
"Jefferson County",05069,28.4,20289,"2325 of 3141"
"Crittenden County",05035,28.5,14050,"2341 of 3141"
"Johnson County",05071,28.5,7463,"2351 of 3141"
"Sebastian County",05131,28.6,36398,"2365 of 3141"
"Lee County",05077,28.9,2774,"2414 of 3141"
"Jackson County",05067,28.9,5040,"2429 of 3141"
"Lonoke County",05085,29.6,21202,"2546 of 3141"
"St. Francis County",05123,29.8,7964,"2584 of 3141"
"Benton County",05007,29.9,75325,"2597 of 3141"
"White County",05145,30.6,24085,"2685 of 3141"
"Pulaski County",05119,30.8,120922,"2710 of 3141"
"Drew County",05043,31.0,5763,"2727 of 3141"
"Pope County",05115,32.8,20795,"2871 of 3141"
"Columbia County",05027,33.0,7910,"2879 of 3141"
"Craighead County",05031,33.1,34463,"2885 of 3141"
"Lincoln County",05079,34.6,4811,"2960 of 3141"
"Clark County",05019,36.0,8105,"2999 of 3141"
"Faulkner County",05045,36.0,43721,"3001 of 3141"
"Washington County",05143,36.7,82041,"3017 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 18-39, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
