------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Arkansas",05000,5.2,103458,"41 of 52"
"United States",00000,5.4,11759554,"N/A"
"Faulkner County",05045,2.6,1926,"637 of 3141"
"Saline County",05125,2.7,2153,"685 of 3141"
"Grant County",05053,2.8,344,"735 of 3141"
"Little River County",05081,3.0,269,"898 of 3141"
"Pulaski County",05119,3.2,8424,"996 of 3141"
"Lonoke County",05085,3.3,1546,"1060 of 3141"
"Garland County",05051,3.5,2499,"1198 of 3141"
"Marion County",05089,3.7,460,"1273 of 3141"
"Baxter County",05005,3.8,1210,"1365 of 3141"
"Clark County",05019,3.9,518,"1401 of 3141"
"Craighead County",05031,4.0,2677,"1444 of 3141"
"Cleveland County",05025,4.0,232,"1454 of 3141"
"Ouachita County",05103,4.1,688,"1478 of 3141"
"Jefferson County",05069,4.2,2005,"1531 of 3141"
"Greene County",05055,4.3,1274,"1592 of 3141"
"Hot Spring County",05059,4.4,1054,"1635 of 3141"
"Nevada County",05099,4.4,260,"1640 of 3141"
"Prairie County",05117,4.5,271,"1668 of 3141"
"Miller County",05091,4.6,1356,"1703 of 3141"
"Calhoun County",05013,4.7,175,"1754 of 3141"
"Lafayette County",05073,4.7,240,"1761 of 3141"
"Van Buren County",05141,4.7,583,"1773 of 3141"
"Crawford County",05033,4.8,1998,"1794 of 3141"
"Union County",05139,4.8,1309,"1797 of 3141"
"Dallas County",05039,4.9,261,"1834 of 3141"
"Conway County",05029,5.0,719,"1853 of 3141"
"Lincoln County",05079,5.1,527,"1893 of 3141"
"Logan County",05083,5.2,788,"1904 of 3141"
"Columbia County",05027,5.2,771,"1915 of 3141"
"Fulton County",05049,5.2,463,"1939 of 3141"
"Sharp County",05135,5.3,652,"1956 of 3141"
"White County",05145,5.3,2695,"1966 of 3141"
"Perry County",05105,5.4,387,"1981 of 3141"
"Independence County",05063,5.4,1366,"2002 of 3141"
"Boone County",05009,5.5,1416,"2009 of 3141"
"Pope County",05115,5.5,2190,"2013 of 3141"
"Ashley County",05003,5.5,778,"2016 of 3141"
"Searcy County",05129,5.5,322,"2024 of 3141"
"Polk County",05113,5.6,783,"2043 of 3141"
"Benton County",05007,5.6,9163,"2062 of 3141"
"Crittenden County",05035,5.9,1835,"2171 of 3141"
"Newton County",05101,5.9,344,"2189 of 3141"
"Cleburne County",05023,5.9,1117,"2192 of 3141"
"St. Francis County",05123,6.1,1124,"2222 of 3141"
"Arkansas County",05001,6.2,783,"2248 of 3141"
"Cross County",05037,6.3,725,"2286 of 3141"
"Franklin County",05047,6.3,765,"2297 of 3141"
"Mississippi County",05093,6.3,1763,"2300 of 3141"
"Chicot County",05017,6.6,507,"2366 of 3141"
"Pike County",05109,6.6,501,"2369 of 3141"
"Carroll County",05015,6.7,1317,"2412 of 3141"
"Drew County",05043,6.7,785,"2415 of 3141"
"Lawrence County",05075,7.0,801,"2476 of 3141"
"Randolph County",05121,7.1,865,"2493 of 3141"
"Desha County",05041,7.2,575,"2519 of 3141"
"Sebastian County",05131,7.3,6162,"2541 of 3141"
"Izard County",05065,7.3,744,"2546 of 3141"
"Bradley County",05011,7.3,553,"2550 of 3141"
"Hempstead County",05057,7.4,1066,"2556 of 3141"
"Johnson County",05071,7.4,1266,"2558 of 3141"
"Washington County",05143,7.4,10006,"2565 of 3141"
"Monroe County",05095,7.6,396,"2598 of 3141"
"Montgomery County",05097,7.8,530,"2625 of 3141"
"Howard County",05061,8.0,718,"2647 of 3141"
"Poinsett County",05111,8.0,1313,"2649 of 3141"
"Jackson County",05067,9.0,1121,"2774 of 3141"
"Scott County",05127,9.1,648,"2781 of 3141"
"Lee County",05077,9.2,632,"2789 of 3141"
"Madison County",05087,9.4,1031,"2821 of 3141"
"Phillips County",05107,9.6,1193,"2835 of 3141"
"Clay County",05021,9.7,1036,"2851 of 3141"
"Yell County",05149,9.8,1430,"2857 of 3141"
"Woodruff County",05147,10.0,485,"2872 of 3141"
"Stone County",05137,10.5,954,"2899 of 3141"
"Sevier County",05133,15.2,1615,"3064 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:15 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
