------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Arkansas",05000,49.1,1461651,"22 of 52"
"United States",00000,49.2,158018753,"N/A"
"Desha County",05041,45.9,5547,"23 of 3141"
"Monroe County",05095,46.3,3435,"40 of 3141"
"Hempstead County",05057,46.9,10380,"65 of 3141"
"Phillips County",05107,47.2,9210,"94 of 3141"
"Woodruff County",05147,47.2,3193,"99 of 3141"
"Crittenden County",05035,47.3,23303,"108 of 3141"
"Ouachita County",05103,47.4,11547,"122 of 3141"
"Clark County",05019,47.6,10697,"143 of 3141"
"Bradley County",05011,47.9,5262,"209 of 3141"
"Arkansas County",05001,47.9,8785,"212 of 3141"
"Columbia County",05027,47.9,11498,"227 of 3141"
"Pulaski County",05119,47.9,188310,"231 of 3141"
"Dallas County",05039,48.0,3639,"243 of 3141"
"Garland County",05051,48.2,47269,"338 of 3141"
"Mississippi County",05093,48.3,21030,"374 of 3141"
"Baxter County",05005,48.3,19857,"378 of 3141"
"Cross County",05037,48.5,8323,"484 of 3141"
"Union County",05139,48.6,19451,"549 of 3141"
"Independence County",05063,48.7,18054,"591 of 3141"
"Craighead County",05031,48.7,50774,"625 of 3141"
"Franklin County",05047,48.7,8674,"634 of 3141"
"Ashley County",05003,48.8,10126,"656 of 3141"
"Drew County",05043,48.8,9090,"710 of 3141"
"Sebastian County",05131,48.8,62180,"715 of 3141"
"Polk County",05113,48.8,9869,"721 of 3141"
"Grant County",05053,48.8,8829,"737 of 3141"
"Clay County",05021,48.9,7421,"744 of 3141"
"Howard County",05061,48.9,6582,"747 of 3141"
"Boone County",05009,48.9,18198,"797 of 3141"
"Sharp County",05135,48.9,8336,"806 of 3141"
"Faulkner County",05045,49.0,59387,"862 of 3141"
"Poinsett County",05111,49.0,11808,"896 of 3141"
"Chicot County",05017,49.1,5401,"954 of 3141"
"Lafayette County",05073,49.1,3460,"959 of 3141"
"Carroll County",05015,49.1,13634,"963 of 3141"
"White County",05145,49.1,38653,"997 of 3141"
"Marion County",05089,49.2,8050,"1051 of 3141"
"Fulton County",05049,49.2,5947,"1067 of 3141"
"Jackson County",05067,49.2,8575,"1088 of 3141"
"Lonoke County",05085,49.2,35222,"1106 of 3141"
"Conway County",05029,49.2,10313,"1107 of 3141"
"Crawford County",05033,49.2,30587,"1128 of 3141"
"Jefferson County",05069,49.3,35154,"1147 of 3141"
"Cleburne County",05023,49.3,12494,"1158 of 3141"
"Saline County",05125,49.3,57280,"1166 of 3141"
"Little River County",05081,49.3,6157,"1178 of 3141"
"Miller County",05091,49.3,21581,"1213 of 3141"
"Greene County",05055,49.3,21806,"1240 of 3141"
"Logan County",05083,49.4,10764,"1296 of 3141"
"Lawrence County",05075,49.4,8285,"1314 of 3141"
"Randolph County",05121,49.5,8664,"1432 of 3141"
"Benton County",05007,49.5,124632,"1451 of 3141"
"Pope County",05115,49.5,31373,"1465 of 3141"
"Montgomery County",05097,49.5,4487,"1496 of 3141"
"Perry County",05105,49.6,5116,"1546 of 3141"
"Johnson County",05071,49.6,12977,"1584 of 3141"
"Yell County",05149,49.6,10722,"1608 of 3141"
"Pike County",05109,49.7,5415,"1683 of 3141"
"Prairie County",05117,49.7,4132,"1699 of 3141"
"Van Buren County",05141,49.9,8356,"1839 of 3141"
"Scott County",05127,50.0,5290,"1927 of 3141"
"Washington County",05143,50.0,111839,"1945 of 3141"
"Sevier County",05133,50.1,8612,"1987 of 3141"
"Stone County",05137,50.2,6242,"2081 of 3141"
"Cleveland County",05025,50.3,4189,"2175 of 3141"
"Madison County",05087,50.3,8005,"2216 of 3141"
"Newton County",05101,50.4,3979,"2258 of 3141"
"Searcy County",05129,50.9,4030,"2490 of 3141"
"Izard County",05065,51.6,6971,"2695 of 3141"
"Hot Spring County",05059,51.7,17294,"2713 of 3141"
"Calhoun County",05013,51.8,2693,"2745 of 3141"
"Nevada County",05099,52.1,4444,"2800 of 3141"
"St. Francis County",05123,54.9,14664,"3022 of 3141"
"Lee County",05077,56.7,5455,"3067 of 3141"
"Lincoln County",05079,62.2,8643,"3121 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
