------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"United States",00000,12.7,40610815,"N/A"
"Arkansas",05000,15.4,459969,"14 of 52"
"Newton County",05101,0.0,1,"3050 of 3141"
"Stone County",05137,0.1,10,"2986 of 3141"
"Marion County",05089,0.2,28,"2889 of 3141"
"Baxter County",05005,0.2,74,"2878 of 3141"
"Searcy County",05129,0.2,15,"2872 of 3141"
"Scott County",05127,0.2,22,"2855 of 3141"
"Montgomery County",05097,0.3,26,"2782 of 3141"
"Fulton County",05049,0.3,40,"2713 of 3141"
"Boone County",05009,0.4,143,"2668 of 3141"
"Van Buren County",05141,0.5,76,"2591 of 3141"
"Polk County",05113,0.5,102,"2519 of 3141"
"Sharp County",05135,0.6,97,"2450 of 3141"
"Madison County",05087,0.6,91,"2444 of 3141"
"Cleburne County",05023,0.6,150,"2420 of 3141"
"Clay County",05021,0.7,104,"2301 of 3141"
"Lawrence County",05075,0.9,157,"2090 of 3141"
"Randolph County",05121,0.9,165,"2084 of 3141"
"Franklin County",05047,1.0,176,"2045 of 3141"
"Greene County",05055,1.0,461,"2011 of 3141"
"Crawford County",05033,1.3,830,"1879 of 3141"
"Carroll County",05015,1.3,372,"1877 of 3141"
"Benton County",05007,1.6,4144,"1736 of 3141"
"Johnson County",05071,1.8,472,"1681 of 3141"
"Izard County",05065,1.9,258,"1656 of 3141"
"Independence County",05063,2.0,756,"1621 of 3141"
"Logan County",05083,2.1,462,"1600 of 3141"
"Perry County",05105,2.3,239,"1553 of 3141"
"Yell County",05149,2.4,524,"1527 of 3141"
"Pike County",05109,2.8,304,"1450 of 3141"
"Grant County",05053,2.9,531,"1421 of 3141"
"Pope County",05115,2.9,1864,"1419 of 3141"
"Washington County",05143,3.5,7797,"1326 of 3141"
"White County",05145,4.1,3200,"1243 of 3141"
"Sevier County",05133,4.8,833,"1162 of 3141"
"Poinsett County",05111,5.6,1350,"1080 of 3141"
"Lonoke County",05085,6.0,4315,"1034 of 3141"
"Saline County",05125,6.4,7456,"1002 of 3141"
"Sebastian County",05131,6.8,8604,"982 of 3141"
"Garland County",05051,8.2,8001,"891 of 3141"
"Hot Spring County",05059,10.9,3666,"760 of 3141"
"Cleveland County",05025,11.0,919,"754 of 3141"
"Conway County",05029,11.2,2344,"743 of 3141"
"Faulkner County",05045,11.4,13843,"729 of 3141"
"Prairie County",05117,13.4,1112,"662 of 3141"
"Craighead County",05031,13.4,13979,"660 of 3141"
"Jackson County",05067,17.0,2966,"567 of 3141"
"Little River County",05081,20.5,2559,"490 of 3141"
"Howard County",05061,20.9,2809,"481 of 3141"
"Calhoun County",05013,22.3,1156,"452 of 3141"
"Cross County",05037,22.8,3914,"443 of 3141"
"Clark County",05019,23.9,5368,"426 of 3141"
"Miller County",05091,24.7,10790,"411 of 3141"
"Ashley County",05003,25.6,5309,"396 of 3141"
"Arkansas County",05001,26.4,4852,"381 of 3141"
"Woodruff County",05147,27.5,1858,"364 of 3141"
"Drew County",05043,28.8,5358,"338 of 3141"
"Bradley County",05011,29.3,3220,"333 of 3141"
"Hempstead County",05057,29.6,6563,"326 of 3141"
"Lincoln County",05079,31.4,4356,"291 of 3141"
"Union County",05139,32.7,13087,"276 of 3141"
"Nevada County",05099,33.4,2852,"265 of 3141"
"Columbia County",05027,35.0,8386,"248 of 3141"
"Mississippi County",05093,35.1,15294,"244 of 3141"
"Pulaski County",05119,36.1,141791,"226 of 3141"
"Lafayette County",05073,37.9,2672,"208 of 3141"
"Dallas County",05039,40.3,3060,"189 of 3141"
"Monroe County",05095,40.8,3026,"180 of 3141"
"Ouachita County",05103,40.9,9972,"179 of 3141"
"Desha County",05041,47.5,5744,"119 of 3141"
"Crittenden County",05035,49.0,24164,"104 of 3141"
"Chicot County",05017,54.2,5963,"73 of 3141"
"St. Francis County",05123,55.6,14826,"67 of 3141"
"Jefferson County",05069,56.4,40220,"64 of 3141"
"Lee County",05077,56.9,5471,"61 of 3141"
"Phillips County",05107,62.8,12250,"38 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
