------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Arkansas",05000,22.0,437428,"50 of 52"
"United States",00000,30.9,66887603,"N/A"
"Lincoln County",05079,7.9,815,"3119 of 3141"
"Lee County",05077,8.4,579,"3108 of 3141"
"Jackson County",05067,9.2,1150,"3073 of 3141"
"Monroe County",05095,9.3,484,"3066 of 3141"
"St. Francis County",05123,9.5,1759,"3055 of 3141"
"Poinsett County",05111,9.8,1597,"3041 of 3141"
"Scott County",05127,10.2,729,"3019 of 3141"
"Little River County",05081,10.3,921,"3015 of 3141"
"Sharp County",05135,10.5,1291,"3003 of 3141"
"Sevier County",05133,10.6,1133,"2989 of 3141"
"Clay County",05021,10.7,1137,"2986 of 3141"
"Franklin County",05047,11.3,1371,"2918 of 3141"
"Phillips County",05107,11.3,1413,"2917 of 3141"
"Woodruff County",05147,11.4,550,"2902 of 3141"
"Madison County",05087,11.6,1261,"2886 of 3141"
"Logan County",05083,12.0,1835,"2831 of 3141"
"Fulton County",05049,12.1,1072,"2808 of 3141"
"Mississippi County",05093,12.2,3395,"2805 of 3141"
"Calhoun County",05013,12.3,457,"2791 of 3141"
"Montgomery County",05097,12.3,831,"2790 of 3141"
"Polk County",05113,12.5,1768,"2742 of 3141"
"Desha County",05041,12.6,1008,"2722 of 3141"
"Izard County",05065,12.9,1307,"2686 of 3141"
"Van Buren County",05141,12.9,1589,"2683 of 3141"
"Perry County",05105,12.9,932,"2675 of 3141"
"Hempstead County",05057,13.1,1887,"2651 of 3141"
"Searcy County",05129,13.1,765,"2646 of 3141"
"Chicot County",05017,13.2,1016,"2631 of 3141"
"Stone County",05137,13.4,1219,"2609 of 3141"
"Ashley County",05003,13.4,1899,"2599 of 3141"
"Yell County",05149,13.7,1987,"2559 of 3141"
"Cross County",05037,13.8,1589,"2537 of 3141"
"Hot Spring County",05059,13.8,3282,"2526 of 3141"
"Prairie County",05117,13.8,831,"2525 of 3141"
"Arkansas County",05001,14.1,1793,"2479 of 3141"
"Dallas County",05039,14.1,752,"2478 of 3141"
"Bradley County",05011,14.4,1087,"2417 of 3141"
"Randolph County",05121,14.5,1761,"2408 of 3141"
"Crawford County",05033,14.5,6048,"2396 of 3141"
"Pike County",05109,14.9,1133,"2330 of 3141"
"Lafayette County",05073,15.0,762,"2309 of 3141"
"Howard County",05061,15.3,1367,"2252 of 3141"
"Ouachita County",05103,15.3,2576,"2250 of 3141"
"Lawrence County",05075,15.5,1761,"2218 of 3141"
"Newton County",05101,15.7,909,"2185 of 3141"
"Johnson County",05071,15.7,2697,"2171 of 3141"
"Miller County",05091,15.8,4681,"2163 of 3141"
"Conway County",05029,15.8,2297,"2144 of 3141"
"Cleburne County",05023,15.9,2982,"2137 of 3141"
"Marion County",05089,16.0,2004,"2102 of 3141"
"Greene County",05055,16.1,4747,"2082 of 3141"
"Boone County",05009,16.2,4203,"2062 of 3141"
"Jefferson County",05069,16.8,8023,"1967 of 3141"
"Crittenden County",05035,16.9,5262,"1948 of 3141"
"Cleveland County",05025,17.0,975,"1935 of 3141"
"Nevada County",05099,17.0,997,"1932 of 3141"
"Independence County",05063,18.0,4522,"1760 of 3141"
"Baxter County",05005,18.4,5820,"1685 of 3141"
"Drew County",05043,18.5,2150,"1678 of 3141"
"Grant County",05053,19.0,2367,"1575 of 3141"
"Sebastian County",05131,19.0,16047,"1567 of 3141"
"Carroll County",05015,19.3,3782,"1515 of 3141"
"Union County",05139,20.1,5486,"1380 of 3141"
"Lonoke County",05085,20.1,9433,"1379 of 3141"
"Garland County",05051,20.1,14225,"1376 of 3141"
"White County",05145,20.8,10540,"1260 of 3141"
"Columbia County",05027,21.5,3190,"1178 of 3141"
"Pope County",05115,22.2,8877,"1083 of 3141"
"Saline County",05125,25.5,20433,"769 of 3141"
"Clark County",05019,26.4,3478,"702 of 3141"
"Craighead County",05031,26.5,17669,"690 of 3141"
"Faulkner County",05045,29.7,21891,"506 of 3141"
"Benton County",05007,31.7,51732,"389 of 3141"
"Washington County",05143,31.9,42962,"379 of 3141"
"Pulaski County",05119,33.7,89148,"314 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:15 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
