------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Arkansas",05000,1.7,49430,"38 of 52"
"United States",00000,5.5,17756436,"N/A"
"Ashley County",05003,0.0,0,"2927 of 3141"
"Bradley County",05011,0.0,0,"2927 of 3141"
"Clay County",05021,0.0,0,"2927 of 3141"
"Lincoln County",05079,0.0,0,"2927 of 3141"
"Randolph County",05121,0.0,0,"2927 of 3141"
"Little River County",05081,0.0,1,"2923 of 3141"
"Arkansas County",05001,0.0,2,"2920 of 3141"
"Prairie County",05117,0.0,1,"2917 of 3141"
"Jackson County",05067,0.0,8,"2872 of 3141"
"Phillips County",05107,0.1,10,"2868 of 3141"
"Grant County",05053,0.1,10,"2863 of 3141"
"Poinsett County",05111,0.1,14,"2859 of 3141"
"Cross County",05037,0.1,11,"2849 of 3141"
"Ouachita County",05103,0.1,17,"2835 of 3141"
"Perry County",05105,0.1,9,"2810 of 3141"
"Stone County",05137,0.1,11,"2807 of 3141"
"Lawrence County",05075,0.1,16,"2791 of 3141"
"Cleveland County",05025,0.1,8,"2787 of 3141"
"Conway County",05029,0.1,21,"2779 of 3141"
"Lee County",05077,0.1,10,"2767 of 3141"
"Fulton County",05049,0.1,13,"2759 of 3141"
"Van Buren County",05141,0.1,20,"2741 of 3141"
"Desha County",05041,0.1,18,"2685 of 3141"
"Drew County",05043,0.2,31,"2652 of 3141"
"Izard County",05065,0.2,23,"2646 of 3141"
"Howard County",05061,0.2,24,"2629 of 3141"
"Hot Spring County",05059,0.3,93,"2438 of 3141"
"Lafayette County",05073,0.4,27,"2196 of 3141"
"Calhoun County",05013,0.4,21,"2141 of 3141"
"Greene County",05055,0.4,182,"2116 of 3141"
"Baxter County",05005,0.4,171,"2105 of 3141"
"Sharp County",05135,0.4,72,"2092 of 3141"
"Marion County",05089,0.4,71,"2055 of 3141"
"Hempstead County",05057,0.4,99,"2021 of 3141"
"Polk County",05113,0.5,98,"1919 of 3141"
"Monroe County",05095,0.5,37,"1885 of 3141"
"Chicot County",05017,0.5,55,"1881 of 3141"
"Miller County",05091,0.5,225,"1850 of 3141"
"Garland County",05051,0.5,506,"1843 of 3141"
"St. Francis County",05123,0.5,140,"1823 of 3141"
"Newton County",05101,0.5,42,"1806 of 3141"
"Union County",05139,0.5,217,"1772 of 3141"
"Mississippi County",05093,0.6,256,"1689 of 3141"
"Boone County",05009,0.6,221,"1678 of 3141"
"Sevier County",05133,0.6,106,"1628 of 3141"
"Franklin County",05047,0.6,111,"1612 of 3141"
"Clark County",05019,0.7,157,"1470 of 3141"
"White County",05145,0.7,552,"1463 of 3141"
"Independence County",05063,0.7,263,"1443 of 3141"
"Jefferson County",05069,0.8,539,"1354 of 3141"
"Crittenden County",05035,0.8,387,"1317 of 3141"
"Pike County",05109,0.8,88,"1288 of 3141"
"Cleburne County",05023,0.8,205,"1287 of 3141"
"Lonoke County",05085,0.8,582,"1281 of 3141"
"Madison County",05087,0.9,139,"1213 of 3141"
"Pope County",05115,1.0,644,"1056 of 3141"
"Columbia County",05027,1.1,264,"974 of 3141"
"Saline County",05125,1.2,1443,"858 of 3141"
"Montgomery County",05097,1.2,113,"851 of 3141"
"Logan County",05083,1.3,277,"838 of 3141"
"Craighead County",05031,1.3,1347,"824 of 3141"
"Searcy County",05129,1.3,106,"804 of 3141"
"Faulkner County",05045,1.4,1715,"760 of 3141"
"Nevada County",05099,1.4,123,"745 of 3141"
"Yell County",05149,1.5,333,"691 of 3141"
"Woodruff County",05147,1.6,106,"678 of 3141"
"Carroll County",05015,1.7,464,"638 of 3141"
"Johnson County",05071,1.7,455,"617 of 3141"
"Crawford County",05033,1.8,1138,"588 of 3141"
"Dallas County",05039,1.9,142,"579 of 3141"
"Pulaski County",05119,2.2,8506,"492 of 3141"
"Scott County",05127,3.5,375,"269 of 3141"
"Benton County",05007,4.2,10483,"212 of 3141"
"Sebastian County",05131,4.3,5511,"202 of 3141"
"Washington County",05143,4.4,9945,"191 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
