------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"United States",00000,10.5,8253388,"N/A"
"Arkansas",05000,13.2,100338,"45 of 52"
"Saline County",05125,5.4,1651,"300 of 3141"
"Benton County",05007,8.1,5443,"920 of 3141"
"Baxter County",05005,8.6,1041,"1062 of 3141"
"Lonoke County",05085,8.8,1741,"1102 of 3141"
"Dallas County",05039,8.9,178,"1125 of 3141"
"Carroll County",05015,10.0,703,"1407 of 3141"
"Grant County",05053,10.7,539,"1568 of 3141"
"Boone County",05009,10.7,1087,"1571 of 3141"
"Cleburne County",05023,10.7,759,"1572 of 3141"
"Faulkner County",05045,10.8,3096,"1605 of 3141"
"Newton County",05101,10.8,232,"1612 of 3141"
"Perry County",05105,10.9,301,"1650 of 3141"
"Hot Spring County",05059,11.0,941,"1660 of 3141"
"Greene County",05055,11.5,1391,"1778 of 3141"
"Washington County",05143,11.5,6021,"1799 of 3141"
"Searcy County",05129,12.0,270,"1878 of 3141"
"White County",05145,12.1,2473,"1898 of 3141"
"Izard County",05065,12.3,417,"1951 of 3141"
"Pulaski County",05119,12.4,11685,"1983 of 3141"
"Pike County",05109,12.5,365,"1987 of 3141"
"Crawford County",05033,12.7,2232,"2036 of 3141"
"Craighead County",05031,13.0,3407,"2101 of 3141"
"Garland County",05051,13.0,3283,"2104 of 3141"
"Marion County",05089,13.1,595,"2122 of 3141"
"Lawrence County",05075,13.1,592,"2130 of 3141"
"Prairie County",05117,13.1,335,"2132 of 3141"
"Conway County",05029,13.4,740,"2176 of 3141"
"Cross County",05037,13.5,643,"2190 of 3141"
"Lincoln County",05079,13.6,387,"2217 of 3141"
"Independence County",05063,13.8,1361,"2254 of 3141"
"Montgomery County",05097,13.8,366,"2260 of 3141"
"Little River County",05081,13.9,459,"2286 of 3141"
"Madison County",05087,14.0,640,"2308 of 3141"
"Randolph County",05121,14.1,713,"2319 of 3141"
"Logan County",05083,14.2,823,"2320 of 3141"
"Franklin County",05047,14.2,659,"2333 of 3141"
"Stone County",05137,14.3,475,"2339 of 3141"
"Cleveland County",05025,14.4,340,"2360 of 3141"
"Yell County",05149,14.5,772,"2372 of 3141"
"Clark County",05019,14.5,800,"2377 of 3141"
"Pope County",05115,14.6,2180,"2392 of 3141"
"Scott County",05127,14.8,397,"2409 of 3141"
"Arkansas County",05001,15.0,725,"2446 of 3141"
"Calhoun County",05013,15.3,228,"2491 of 3141"
"Van Buren County",05141,15.4,727,"2505 of 3141"
"Fulton County",05049,15.6,575,"2537 of 3141"
"Union County",05139,15.7,1688,"2542 of 3141"
"Johnson County",05071,15.8,1078,"2553 of 3141"
"Poinsett County",05111,16.1,1082,"2574 of 3141"
"Howard County",05061,16.5,573,"2620 of 3141"
"Ashley County",05003,16.5,915,"2621 of 3141"
"Sebastian County",05131,16.5,5353,"2634 of 3141"
"Clay County",05021,16.5,664,"2637 of 3141"
"Sevier County",05133,16.7,706,"2651 of 3141"
"Miller County",05091,17.2,1975,"2709 of 3141"
"Bradley County",05011,17.4,508,"2714 of 3141"
"Sharp County",05135,17.9,821,"2762 of 3141"
"Hempstead County",05057,18.2,995,"2782 of 3141"
"Jackson County",05067,18.3,680,"2786 of 3141"
"Crittenden County",05035,18.5,2244,"2807 of 3141"
"Woodruff County",05147,18.6,321,"2813 of 3141"
"Jefferson County",05069,18.7,3145,"2825 of 3141"
"Nevada County",05099,18.9,427,"2830 of 3141"
"Monroe County",05095,18.9,365,"2831 of 3141"
"Lee County",05077,19.6,427,"2875 of 3141"
"Drew County",05043,19.8,886,"2887 of 3141"
"Lafayette County",05073,20.4,372,"2908 of 3141"
"Mississippi County",05093,20.6,2312,"2929 of 3141"
"Polk County",05113,21.0,1148,"2950 of 3141"
"Columbia County",05027,21.5,1335,"2966 of 3141"
"St. Francis County",05123,21.6,1246,"2967 of 3141"
"Ouachita County",05103,22.8,1448,"2999 of 3141"
"Chicot County",05017,25.4,718,"3050 of 3141"
"Phillips County",05107,25.5,1225,"3052 of 3141"
"Desha County",05041,26.5,893,"3066 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
