------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Arkansas",05000,1.6,18785,"17 of 51"
"United States",00000,4.5,5305440,"N/A"
"Boone County",05009,0.0,0,"1 of 3140"
"Cleveland County",05025,0.0,0,"1 of 3140"
"Dallas County",05039,0.0,0,"1 of 3140"
"Lafayette County",05073,0.0,0,"1 of 3140"
"Lawrence County",05075,0.0,0,"1 of 3140"
"Lee County",05077,0.0,0,"1 of 3140"
"Lincoln County",05079,0.0,0,"1 of 3140"
"Little River County",05081,0.0,0,"1 of 3140"
"Monroe County",05095,0.0,0,"1 of 3140"
"Perry County",05105,0.0,0,"1 of 3140"
"Sharp County",05135,0.0,0,"1 of 3140"
"Woodruff County",05147,0.0,0,"1 of 3140"
"Izard County",05065,0.0,2,"317 of 3140"
"Grant County",05053,0.1,4,"344 of 3140"
"Marion County",05089,0.1,4,"347 of 3140"
"Clay County",05021,0.1,4,"352 of 3140"
"Van Buren County",05141,0.1,5,"368 of 3140"
"Drew County",05043,0.1,9,"451 of 3140"
"Cross County",05037,0.2,11,"527 of 3140"
"Stone County",05137,0.2,10,"591 of 3140"
"St. Francis County",05123,0.2,19,"592 of 3140"
"Randolph County",05121,0.2,15,"594 of 3140"
"Chicot County",05017,0.2,9,"600 of 3140"
"Searcy County",05129,0.2,7,"604 of 3140"
"Nevada County",05099,0.2,8,"651 of 3140"
"Greene County",05055,0.2,40,"663 of 3140"
"Jackson County",05067,0.2,15,"674 of 3140"
"Miller County",05091,0.2,42,"683 of 3140"
"Prairie County",05117,0.3,10,"702 of 3140"
"Columbia County",05027,0.3,25,"721 of 3140"
"Montgomery County",05097,0.3,13,"851 of 3140"
"Newton County",05101,0.3,11,"877 of 3140"
"Phillips County",05107,0.4,30,"939 of 3140"
"Calhoun County",05013,0.4,8,"946 of 3140"
"Mississippi County",05093,0.4,67,"949 of 3140"
"Baxter County",05005,0.4,78,"1016 of 3140"
"Conway County",05029,0.4,35,"1027 of 3140"
"Ouachita County",05103,0.4,45,"1064 of 3140"
"Poinsett County",05111,0.5,45,"1089 of 3140"
"Lonoke County",05085,0.5,137,"1159 of 3140"
"Cleburne County",05023,0.5,58,"1193 of 3140"
"Franklin County",05047,0.6,41,"1280 of 3140"
"Ashley County",05003,0.6,52,"1329 of 3140"
"Saline County",05125,0.7,309,"1425 of 3140"
"Hot Spring County",05059,0.7,88,"1428 of 3140"
"White County",05145,0.7,213,"1445 of 3140"
"Crittenden County",05035,0.8,144,"1499 of 3140"
"Faulkner County",05045,0.8,345,"1521 of 3140"
"Fulton County",05049,0.8,42,"1556 of 3140"
"Jefferson County",05069,0.8,229,"1575 of 3140"
"Union County",05139,0.8,137,"1585 of 3140"
"Pike County",05109,0.9,38,"1610 of 3140"
"Scott County",05127,0.9,37,"1660 of 3140"
"Crawford County",05033,1.1,265,"1814 of 3140"
"Clark County",05019,1.2,103,"1861 of 3140"
"Arkansas County",05001,1.2,93,"1892 of 3140"
"Craighead County",05031,1.3,502,"1927 of 3140"
"Desha County",05041,1.3,66,"1931 of 3140"
"Madison County",05087,1.3,80,"1952 of 3140"
"Independence County",05063,1.4,193,"1987 of 3140"
"Polk County",05113,1.4,109,"1988 of 3140"
"Garland County",05051,1.4,577,"2045 of 3140"
"Logan County",05083,1.8,147,"2241 of 3140"
"Pulaski County",05119,1.8,2854,"2272 of 3140"
"Hempstead County",05057,2.4,187,"2462 of 3140"
"Carroll County",05015,2.4,256,"2465 of 3140"
"Howard County",05061,2.5,126,"2515 of 3140"
"Johnson County",05071,3.1,305,"2650 of 3140"
"Benton County",05007,3.1,2845,"2655 of 3140"
"Sebastian County",05131,3.3,1641,"2685 of 3140"
"Pope County",05115,3.4,779,"2699 of 3140"
"Bradley County",05011,4.5,204,"2819 of 3140"
"Washington County",05143,4.9,4099,"2854 of 3140"
"Yell County",05149,5.0,374,"2861 of 3140"
"Sevier County",05133,9.0,539,"3036 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
