"NAME","YEAR","NAICS2017","NAICS2017_LABEL","ESTAB","EMP","PAYANN","state",
"American Samoa","2017","23","Construction","31","441","8037","60",
"American Samoa","2017","236","Construction of buildings","13","195","3709","60",
"American Samoa","2017","2361","Residential building construction","9","138","2462","60",
"American Samoa","2017","23611","Residential building construction","9","138","2462","60",
"American Samoa","2017","53211","Passenger car rental and leasing","7","26","379","60",
"American Samoa","2017","532111","Passenger car rental","6","24","339","60",
"American Samoa","2017","54","Professional, scientific, and technical services","24","171","5514","60",
"American Samoa","2017","541","Professional, scientific, and technical services","24","171","5514","60",
"American Samoa","2017","5411","Legal services","7","19","564","60",
"American Samoa","2017","236115","New single-family housing construction (except for-sale builders)","3","30","332","60",
"American Samoa","2017","236118","Residential remodelers","6","0","0","60",
"American Samoa","2017","2362","Nonresidential building construction","4","57","1247","60",
"American Samoa","2017","23622","Commercial and institutional building construction","4","57","1247","60",
"American Samoa","2017","236220","Commercial and institutional building construction","4","57","1247","60",
"American Samoa","2017","237","Heavy and civil engineering construction","6","151","2972","60",
"American Samoa","2017","2371","Utility system construction","4","90","1529","60",
"American Samoa","2017","23711","Water and sewer line and related structures construction","4","90","1529","60",
"American Samoa","2017","237110","Water and sewer line and related structures construction","4","90","1529","60",
"American Samoa","2017","238","Specialty trade contractors","12","95","1356","60",
"American Samoa","2017","2382","Building equipment contractors","6","62","962","60",
"American Samoa","2017","23821","Electrical contractors and other wiring installation contractors","3","43","660","60",
"American Samoa","2017","238210","Electrical contractors and other wiring installation contractors","3","43","660","60",
"American Samoa","2017","23822","Plumbing, heating, and air-conditioning contractors","3","0","0","60",
"American Samoa","2017","238220","Plumbing, heating, and air-conditioning contractors","3","0","0","60",
"American Samoa","2017","54111","Offices of lawyers","6","18","551","60",
"American Samoa","2017","541110","Offices of lawyers","6","18","551","60",
"American Samoa","2017","5412","Accounting, tax preparation, bookkeeping, and payroll services","8","35","1096","60",
"American Samoa","2017","54121","Accounting, tax preparation, bookkeeping, and payroll services","8","35","1096","60",
"American Samoa","2017","541211","Offices of certified public accountants","7","33","1037","60",
"American Samoa","2017","5413","Architectural, engineering, and related services","4","0","0","60",
"American Samoa","2017","54133","Engineering services","3","0","0","60",
"American Samoa","2017","541330","Engineering services","3","0","0","60",
"American Samoa","2017","5416","Management, scientific, and technical consulting services","3","34","945","60",
"American Samoa","2017","55","Management of companies and enterprises","3","11","101","60",
"American Samoa","2017","2383","Building finishing contractors","3","0","0","60",
"American Samoa","2017","31-33","Manufacturing","43","2946","33085","60",
"American Samoa","2017","311","Food manufacturing","8","0","0","60",
"American Samoa","2017","3118","Bakeries and tortilla manufacturing","5","40","716","60",
"American Samoa","2017","31181","Bread and bakery product manufacturing","5","40","716","60",
"American Samoa","2017","311811","Retail bakeries","4","16","231","60",
"American Samoa","2017","315","Apparel manufacturing","27","81","591","60",
"American Samoa","2017","3152","Cut and sew apparel manufacturing","25","63","410","60",
"American Samoa","2017","551","Management of companies and enterprises","3","11","101","60",
"American Samoa","2017","5511","Management of companies and enterprises","3","11","101","60",
"American Samoa","2017","55111","Management of companies and enterprises","3","11","101","60",
"American Samoa","2017","56","Administrative and support and waste management and remediation services","22","173","2027","60",
"American Samoa","2017","561","Administrative and support services","20","158","1724","60",
"American Samoa","2017","5615","Travel arrangement and reservation services","6","24","409","60",
"American Samoa","2017","56151","Travel agencies","5","23","398","60",
"American Samoa","2017","561510","Travel agencies","5","23","398","60",
"American Samoa","2017","5616","Investigation and security services","3","32","376","60",
"American Samoa","2017","5617","Services to buildings and dwellings","7","86","530","60",
"American Samoa","2017","56173","Landscaping services","4","38","306","60",
"American Samoa","2017","561730","Landscaping services","4","38","306","60",
"American Samoa","2017","61","Educational services","5","147","2000","60",
"American Samoa","2017","31521","Cut and sew apparel contractors","19","31","181","60",
"American Samoa","2017","315210","Cut and sew apparel contractors","19","31","181","60",
"American Samoa","2017","31524","Women's, girls', and infants' cut and sew apparel manufacturing","6","0","0","60",
"American Samoa","2017","315240","Women's, girls', and infants' cut and sew apparel manufacturing","6","0","0","60",
"American Samoa","2017","323","Printing and related support activities","5","95","1699","60",
"American Samoa","2017","3231","Printing and related support activities","5","95","1699","60",
"American Samoa","2017","32311","Printing","5","95","1699","60",
"American Samoa","2017","323111","Commercial printing (except screen and books)","5","95","1699","60",
"American Samoa","2017","42","Wholesale trade","24","264","5014","60",
"American Samoa","2017","611","Educational services","5","147","2000","60",
"American Samoa","2017","6111","Elementary and secondary schools","4","144","1952","60",
"American Samoa","2017","61111","Elementary and secondary schools","4","144","1952","60",
"American Samoa","2017","611110","Elementary and secondary schools","4","144","1952","60",
"American Samoa","2017","62","Health care and social assistance","16","0","0","60",
"American Samoa","2017","621","Ambulatory health care services","3","7","131","60",
"American Samoa","2017","624","Social assistance","11","83","997","60",
"American Samoa","2017","423","Merchant wholesalers, durable goods","8","49","1421","60",
"American Samoa","2017","4238","Machinery, equipment, and supplies merchant wholesalers","3","25","748","60",
"American Samoa","2017","424","Merchant wholesalers, nondurable goods","13","186","3301","60",
"American Samoa","2017","4244","Grocery and related product merchant wholesalers","5","73","1004","60",
"American Samoa","2017","42441","General line grocery merchant wholesalers","4","68","909","60",
"American Samoa","2017","424410","General line grocery merchant wholesalers","4","68","909","60",
"American Samoa","2017","4248","Beer, wine, and distilled alcoholic beverage merchant wholesalers","4","81","1203","60",
"American Samoa","2017","42481","Beer and ale merchant wholesalers","3","30","390","60",
"American Samoa","2017","6241","Individual and family services","3","36","766","60",
"American Samoa","2017","6244","Child day care services","8","47","231","60",
"American Samoa","2017","62441","Child day care services","8","47","231","60",
"American Samoa","2017","624410","Child day care services","8","47","231","60",
"American Samoa","2017","72","Accommodation and food services","51","671","6833","60",
"American Samoa","2017","721","Accommodation","6","203","2141","60",
"American Samoa","2017","7211","Traveler accommodation","6","203","2141","60",
"American Samoa","2017","424810","Beer and ale merchant wholesalers","3","30","390","60",
"American Samoa","2017","425","Wholesale electronic markets and agents and brokers","3","29","292","60",
"American Samoa","2017","4251","Wholesale electronic markets and agents and brokers","3","29","292","60",
"American Samoa","2017","42512","Wholesale trade agents and brokers","3","29","292","60",
"American Samoa","2017","425120","Wholesale trade agents and brokers","3","29","292","60",
"American Samoa","2017","44-45","Retail trade","177","1530","21506","60",
"American Samoa","2017","441","Motor vehicle and parts dealers","8","96","1830","60",
"American Samoa","2017","72111","Hotels (except casino hotels) and motels","6","203","2141","60",
"American Samoa","2017","721110","Hotels (except casino hotels) and motels","6","203","2141","60",
"American Samoa","2017","722","Food services and drinking places","45","468","4692","60",
"American Samoa","2017","7225","Restaurants and other eating places","42","444","4441","60",
"American Samoa","2017","72251","Restaurants and other eating places","42","444","4441","60",
"American Samoa","2017","4411","Automobile dealers","3","81","1610","60",
"American Samoa","2017","44111","New car dealers","3","81","1610","60",
"American Samoa","2017","441110","New car dealers","3","81","1610","60",
"American Samoa","2017","4413","Automotive parts, accessories, and tire stores","5","15","220","60",
"American Samoa","2017","44131","Automotive parts and accessories stores","3","11","181","60",
"American Samoa","2017","441310","Automotive parts and accessories stores","3","11","181","60",
"American Samoa","2017","442","Furniture and home furnishings stores","6","26","342","60",
"American Samoa","2017","4422","Home furnishings stores","4","9","153","60",
"American Samoa","2017","44229","Other home furnishings stores","4","9","153","60",
"American Samoa","2017","442299","All other home furnishings stores","4","9","153","60",
"American Samoa","2017","443","Electronics and appliance stores","7","37","414","60",
"American Samoa","2017","4431","Electronics and appliance stores","7","37","414","60",
"American Samoa","2017","722511","Full-service restaurants","13","66","590","60",
"American Samoa","2017","722513","Limited-service restaurants","28","377","3842","60",
"American Samoa","2017","81","Other services (except public administration)","46","342","4946","60",
"American Samoa","2017","44314","Electronics and appliance stores","7","37","414","60",
"American Samoa","2017","443142","Electronics stores","7","37","414","60",
"American Samoa","2017","444","Building material and garden equipment and supplies dealers","7","235","4521","60",
"American Samoa","2017","4441","Building material and supplies dealers","7","235","4521","60",
"American Samoa","2017","44411","Home centers","3","0","0","60",
"American Samoa","2017","444110","Home centers","3","0","0","60",
"American Samoa","2017","445","Food and beverage stores","71","485","5198","60",
"American Samoa","2017","4451","Grocery stores","69","482","5174","60",
"American Samoa","2017","811","Repair and maintenance","14","70","944","60",
"American Samoa","2017","8111","Automotive repair and maintenance","6","26","235","60",
"American Samoa","2017","81111","Automotive mechanical and electrical repair and maintenance","4","8","93","60",
"American Samoa","2017","811111","General automotive repair","4","8","93","60",
"American Samoa","2017","8113","Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance","4","36","445","60",
"American Samoa","2017","81131","Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance","4","36","445","60",
"American Samoa","2017","44511","Supermarkets and other grocery (except convenience) stores","68","480","5142","60",
"American Samoa","2017","445110","Supermarkets and other grocery (except convenience) stores","68","480","5142","60",
