------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"Maryland",24000,14.2,849185,"44 of 52"
"United States",00000,14.9,47732389,"N/A"
"Charles County",24017,11.4,17753,"2966 of 3141"
"Prince Georges County",24033,11.8,106530,"2922 of 3141"
"St. Marys County",24037,11.9,13184,"2909 of 3141"
"Howard County",24027,12.6,39232,"2829 of 3141"
"Baltimore City",24510,12.8,79265,"2792 of 3141"
"Frederick County",24021,13.4,32870,"2702 of 3141"
"Calvert County",24009,13.6,12382,"2665 of 3141"
"Anne Arundel County",24003,13.8,77681,"2645 of 3141"
"Montgomery County",24031,14.1,146712,"2572 of 3141"
"Cecil County",24015,14.4,14748,"2515 of 3141"
"Wicomico County",24045,14.7,15015,"2446 of 3141"
"Harford County",24025,14.9,37368,"2391 of 3141"
"Somerset County",24039,15.3,3958,"2295 of 3141"
"Caroline County",24011,15.4,5062,"2267 of 3141"
"Carroll County",24013,15.6,26067,"2230 of 3141"
"Washington County",24043,16.0,23991,"2082 of 3141"
"Baltimore County",24005,16.1,133437,"2070 of 3141"
"Queen Annes County",24035,17.8,8753,"1486 of 3141"
"Allegany County",24001,19.3,14022,"1035 of 3141"
"Dorchester County",24019,20.1,6506,"836 of 3141"
"Garrett County",24023,20.8,6126,"685 of 3141"
"Kent County",24029,25.1,4941,"206 of 3141"
"Worcester County",24047,26.2,13509,"146 of 3141"
"Talbot County",24041,26.9,10073,"115 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 65 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
