------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"United States",00000,47.3,151838062,"N/A"
"Maryland",24000,48.1,2881303,"26 of 52"
"Baltimore City",24510,43.3,268091,"2814 of 3141"
"Wicomico County",24045,45.1,45983,"2653 of 3141"
"Prince Georges County",24033,45.2,409343,"2634 of 3141"
"St. Marys County",24037,45.5,50458,"2615 of 3141"
"Somerset County",24039,45.8,11810,"2587 of 3141"
"Charles County",24017,47.4,73886,"2396 of 3141"
"Anne Arundel County",24003,47.9,270437,"2289 of 3141"
"Howard County",24027,48.2,150541,"2237 of 3141"
"Montgomery County",24031,48.4,502475,"2214 of 3141"
"Frederick County",24021,49.1,120744,"2093 of 3141"
"Baltimore County",24005,49.1,407037,"2076 of 3141"
"Caroline County",24011,50.2,16464,"1863 of 3141"
"Cecil County",24015,50.5,51696,"1796 of 3141"
"Washington County",24043,50.7,75857,"1734 of 3141"
"Harford County",24025,50.8,127067,"1712 of 3141"
"Calvert County",24009,51.3,46599,"1591 of 3141"
"Allegany County",24001,51.5,37383,"1546 of 3141"
"Carroll County",24013,53.1,88778,"1159 of 3141"
"Dorchester County",24019,54.6,17698,"821 of 3141"
"Queen Annes County",24035,55.0,26966,"778 of 3141"
"Kent County",24029,55.9,11002,"618 of 3141"
"Garrett County",24023,56.7,16742,"526 of 3141"
"Talbot County",24041,60.6,22707,"193 of 3141"
"Worcester County",24047,61.2,31539,"175 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
