------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Maryland",24000,13.0,92386,"21 of 51"
"Allegany County",24001,7.8,1029,"68 of 3139"
"Cecil County",24015,8.7,1232,"168 of 3139"
"Dorchester County",24019,8.9,605,"215 of 3139"
"Baltimore City",24510,9.0,13969,"236 of 3139"
"Washington County",24043,9.0,2052,"236 of 3139"
"Garrett County",24023,9.7,487,"392 of 3139"
"Somerset County",24039,9.7,577,"392 of 3139"
"St. Marys County",24037,9.7,1096,"392 of 3139"
"Calvert County",24009,9.8,664,"418 of 3139"
"Harford County",24025,10.3,2400,"539 of 3139"
"Caroline County",24011,11.1,733,"697 of 3139"
"Carroll County",24013,11.3,1216,"736 of 3139"
"Charles County",24017,11.3,1659,"736 of 3139"
"Baltimore County",24005,11.5,10520,"770 of 3139"
"Wicomico County",24045,11.5,2361,"770 of 3139"
"Worcester County",24047,11.7,739,"806 of 3139"
"Queen Annes County",24035,11.8,465,"825 of 3139"
"Kent County",24029,12.8,326,"983 of 3139"
"Frederick County",24021,13.0,2778,"1003 of 3139"
"Anne Arundel County",24003,13.3,5678,"1050 of 3139"
"Howard County",24027,13.6,2534,"1094 of 3139"
"Talbot County",24041,14.2,603,"1155 of 3139"
"Prince Georges County",24033,18.7,20996,"1754 of 3139"
"Montgomery County",24031,19.2,17667,"1823 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
