------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"United States",00000,85.4,270854872,"N/A"
"Maryland",24000,86.3,5117918,"13 of 51"
"Wicomico County",24045,80.9,81550,"2865 of 3140"
"Somerset County",24039,82.5,21069,"2695 of 3140"
"Baltimore City",24510,83.1,508299,"2614 of 3140"
"Allegany County",24001,84.6,60825,"2311 of 3140"
"Prince Georges County",24033,85.3,763128,"2137 of 3140"
"Montgomery County",24031,85.4,877140,"2123 of 3140"
"Washington County",24043,85.7,126891,"2029 of 3140"
"Kent County",24029,86.0,16751,"1942 of 3140"
"Anne Arundel County",24003,86.2,481072,"1894 of 3140"
"St. Marys County",24037,86.2,94474,"1887 of 3140"
"Dorchester County",24019,87.3,27921,"1503 of 3140"
"Worcester County",24047,87.4,44661,"1473 of 3140"
"Caroline County",24011,87.4,28426,"1469 of 3140"
"Baltimore County",24005,87.6,717721,"1422 of 3140"
"Howard County",24027,87.6,270685,"1404 of 3140"
"Talbot County",24041,87.8,32584,"1350 of 3140"
"Queen Annes County",24035,87.8,42602,"1333 of 3140"
"Frederick County",24021,88.2,214687,"1186 of 3140"
"Calvert County",24009,88.5,79790,"1108 of 3140"
"Harford County",24025,89.3,220490,"834 of 3140"
"Charles County",24017,89.4,137677,"786 of 3140"
"Cecil County",24015,89.6,90864,"741 of 3140"
"Garrett County",24023,91.5,26765,"319 of 3140"
"Carroll County",24013,91.6,151846,"296 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
