------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"Maryland",24000,2.8,166512,"19 of 51"
"United States",00000,3.2,10247779,"N/A"
"Garrett County",24023,1.6,473,"187 of 3140"
"Montgomery County",24031,1.6,16638,"189 of 3140"
"Cecil County",24015,1.8,1842,"253 of 3140"
"Prince Georges County",24033,2.1,19194,"411 of 3140"
"Harford County",24025,2.6,6523,"727 of 3140"
"Anne Arundel County",24003,2.7,14868,"746 of 3140"
"Carroll County",24013,2.8,4564,"804 of 3140"
"Frederick County",24021,2.9,6974,"892 of 3140"
"Charles County",24017,3.1,4757,"1035 of 3140"
"Washington County",24043,3.1,4623,"1061 of 3140"
"Dorchester County",24019,3.2,1017,"1118 of 3140"
"Kent County",24029,3.2,625,"1130 of 3140"
"Baltimore County",24005,3.2,26356,"1136 of 3140"
"Allegany County",24001,3.4,2472,"1289 of 3140"
"St. Marys County",24037,3.4,3775,"1300 of 3140"
"Baltimore City",24510,3.5,21668,"1377 of 3140"
"Talbot County",24041,3.7,1365,"1491 of 3140"
"Worcester County",24047,3.8,1940,"1571 of 3140"
"Calvert County",24009,3.8,3438,"1586 of 3140"
"Howard County",24027,4.0,12280,"1689 of 3140"
"Caroline County",24011,4.4,1438,"1941 of 3140"
"Wicomico County",24045,4.6,4680,"2062 of 3140"
"Queen Annes County",24035,5.4,2596,"2419 of 3140"
"Somerset County",24039,9.4,2406,"3038 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
