------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"United States",00000,30.9,66887603,"N/A"
"Maryland",24000,39.0,1596997,"4 of 52"
"Somerset County",24039,14.4,2462,"2419 of 3141"
"Caroline County",24011,16.6,3678,"2013 of 3141"
"Allegany County",24001,18.2,9198,"1719 of 3141"
"Garrett County",24023,19.6,4192,"1467 of 3141"
"Dorchester County",24019,20.1,4654,"1382 of 3141"
"Washington County",24043,21.5,22294,"1180 of 3141"
"Cecil County",24015,23.0,16094,"977 of 3141"
"Wicomico County",24045,27.8,17771,"600 of 3141"
"Charles County",24017,28.5,29444,"561 of 3141"
"Worcester County",24047,30.1,11699,"483 of 3141"
"Calvert County",24009,30.1,18430,"480 of 3141"
"Baltimore City",24510,30.4,129363,"459 of 3141"
"St. Marys County",24037,30.4,22232,"458 of 3141"
"Prince Georges County",24033,31.9,193476,"383 of 3141"
"Kent County",24029,33.2,4631,"329 of 3141"
"Carroll County",24013,34.6,39861,"280 of 3141"
"Harford County",24025,35.2,60475,"258 of 3141"
"Queen Annes County",24035,35.3,12157,"254 of 3141"
"Talbot County",24041,37.4,10493,"210 of 3141"
"Baltimore County",24005,37.8,216793,"200 of 3141"
"Anne Arundel County",24003,40.1,155397,"158 of 3141"
"Frederick County",24021,40.5,67242,"149 of 3141"
"Montgomery County",24031,58.3,416188,"11 of 3141"
"Howard County",24027,61.2,128773,"6 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
