------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"Maryland",24000,0.3,16281,"38 of 52"
"United States",00000,0.8,2632102,"N/A"
"Queen Annes County",24035,0.1,38,"2712 of 3141"
"Dorchester County",24019,0.1,27,"2694 of 3141"
"Talbot County",24041,0.1,32,"2686 of 3141"
"Calvert County",24009,0.2,150,"2349 of 3141"
"Allegany County",24001,0.2,120,"2348 of 3141"
"Harford County",24025,0.2,444,"2286 of 3141"
"Anne Arundel County",24003,0.2,1025,"2261 of 3141"
"Howard County",24027,0.2,592,"2215 of 3141"
"Worcester County",24047,0.2,102,"2174 of 3141"
"St. Marys County",24037,0.2,220,"2170 of 3141"
"Kent County",24029,0.2,39,"2169 of 3141"
"Wicomico County",24045,0.2,210,"2128 of 3141"
"Carroll County",24013,0.2,348,"2120 of 3141"
"Garrett County",24023,0.2,62,"2114 of 3141"
"Washington County",24043,0.2,330,"2065 of 3141"
"Frederick County",24021,0.3,618,"1946 of 3141"
"Cecil County",24015,0.3,280,"1837 of 3141"
"Baltimore County",24005,0.3,2320,"1811 of 3141"
"Caroline County",24011,0.3,96,"1762 of 3141"
"Montgomery County",24031,0.3,3091,"1739 of 3141"
"Baltimore City",24510,0.3,1886,"1708 of 3141"
"Somerset County",24039,0.4,91,"1513 of 3141"
"Prince Georges County",24033,0.4,3266,"1492 of 3141"
"Charles County",24017,0.6,894,"1055 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
