------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Maryland",24000,48.5,2906277,"5 of 52"
"United States",00000,49.2,158018753,"N/A"
"Talbot County",24041,47.0,17595,"74 of 3141"
"Baltimore City",24510,47.0,291377,"82 of 3141"
"Baltimore County",24005,47.4,392930,"126 of 3141"
"Wicomico County",24045,47.7,48622,"168 of 3141"
"Dorchester County",24019,47.8,15476,"188 of 3141"
"Kent County",24029,47.9,9426,"229 of 3141"
"Prince Georges County",24033,48.2,435878,"300 of 3141"
"Montgomery County",24031,48.3,501571,"354 of 3141"
"Charles County",24017,48.3,75368,"371 of 3141"
"Caroline County",24011,48.7,15971,"630 of 3141"
"Worcester County",24047,48.9,25205,"777 of 3141"
"Howard County",24027,48.9,152843,"802 of 3141"
"Harford County",24025,48.9,122344,"804 of 3141"
"Frederick County",24021,49.3,121305,"1189 of 3141"
"Queen Annes County",24035,49.4,24230,"1307 of 3141"
"Carroll County",24013,49.5,82784,"1437 of 3141"
"Anne Arundel County",24003,49.5,279581,"1481 of 3141"
"Garrett County",24023,49.5,14618,"1487 of 3141"
"Cecil County",24015,49.7,50878,"1642 of 3141"
"Calvert County",24009,49.7,45184,"1718 of 3141"
"St. Marys County",24037,49.9,55420,"1888 of 3141"
"Washington County",24043,50.8,75958,"2474 of 3141"
"Allegany County",24001,52.2,37892,"2813 of 3141"
"Somerset County",24039,53.6,13821,"2951 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
