------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Maryland",24000,4.1,166515,"27 of 52"
"United States",00000,5.4,11759554,"N/A"
"Calvert County",24009,1.8,1096,"239 of 3141"
"Carroll County",24013,2.1,2363,"352 of 3141"
"Howard County",24027,2.2,4546,"411 of 3141"
"Queen Annes County",24035,2.2,750,"420 of 3141"
"Harford County",24025,2.2,3782,"432 of 3141"
"Charles County",24017,2.3,2346,"463 of 3141"
"Anne Arundel County",24003,2.4,9133,"501 of 3141"
"Allegany County",24001,2.6,1307,"628 of 3141"
"Worcester County",24047,2.7,1043,"680 of 3141"
"Frederick County",24021,2.8,4713,"787 of 3141"
"Cecil County",24015,3.1,2187,"967 of 3141"
"Washington County",24043,3.2,3313,"1003 of 3141"
"Baltimore County",24005,3.2,18315,"1009 of 3141"
"St. Marys County",24037,3.3,2404,"1055 of 3141"
"Garrett County",24023,3.4,730,"1132 of 3141"
"Talbot County",24041,3.5,996,"1203 of 3141"
"Wicomico County",24045,3.6,2331,"1258 of 3141"
"Dorchester County",24019,4.0,926,"1435 of 3141"
"Kent County",24029,4.5,622,"1650 of 3141"
"Baltimore City",24510,4.9,20732,"1822 of 3141"
"Somerset County",24039,5.1,872,"1884 of 3141"
"Montgomery County",24031,5.2,36934,"1908 of 3141"
"Caroline County",24011,5.5,1230,"2032 of 3141"
"Prince Georges County",24033,7.2,43844,"2524 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
