------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Maryland",24000,56.6,3395212,"50 of 52"
"United States",00000,73.0,234370202,"N/A"
"Prince Georges County",24033,18.8,170009,"3122 of 3141"
"Baltimore City",24510,30.3,187725,"3086 of 3141"
"Charles County",24017,46.8,72951,"2981 of 3141"
"Somerset County",24039,53.1,13703,"2921 of 3141"
"Montgomery County",24031,54.3,563929,"2906 of 3141"
"Howard County",24027,58.7,183406,"2840 of 3141"
"Baltimore County",24005,62.1,514340,"2775 of 3141"
"Dorchester County",24019,65.9,21345,"2684 of 3141"
"Wicomico County",24045,67.7,69062,"2635 of 3141"
"Anne Arundel County",24003,73.9,417111,"2452 of 3141"
"St. Marys County",24037,78.8,87485,"2265 of 3141"
"Harford County",24025,79.4,198611,"2243 of 3141"
"Caroline County",24011,80.3,26338,"2200 of 3141"
"Frederick County",24021,81.2,199955,"2157 of 3141"
"Calvert County",24009,81.3,73885,"2154 of 3141"
"Kent County",24029,82.2,16175,"2113 of 3141"
"Worcester County",24047,82.7,42634,"2094 of 3141"
"Washington County",24043,82.9,124033,"2074 of 3141"
"Talbot County",24041,83.1,31137,"2061 of 3141"
"Cecil County",24015,88.3,90422,"1719 of 3141"
"Allegany County",24001,88.4,64164,"1705 of 3141"
"Queen Annes County",24035,89.3,43799,"1621 of 3141"
"Carroll County",24013,92.2,154304,"1287 of 3141"
"Garrett County",24023,97.2,28689,"270 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
