------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Maryland",24000,9.7,566966,"2 of 52"
"United States",00000,14.6,45650345,"N/A"
"Howard County",24027,5.2,16001,"48 of 3141"
"Carroll County",24013,5.5,8993,"59 of 3141"
"Calvert County",24009,5.7,5114,"73 of 3141"
"Anne Arundel County",24003,6.1,33246,"89 of 3141"
"Queen Annes County",24035,6.4,3119,"109 of 3141"
"Charles County",24017,6.9,10666,"140 of 3141"
"Montgomery County",24031,7.0,72085,"144 of 3141"
"Frederick County",24021,7.2,17336,"160 of 3141"
"Harford County",24025,7.5,18512,"182 of 3141"
"St. Marys County",24037,8.2,8839,"259 of 3141"
"Baltimore County",24005,9.1,73560,"376 of 3141"
"Prince Georges County",24033,9.3,82328,"408 of 3141"
"Cecil County",24015,9.4,9533,"436 of 3141"
"Talbot County",24041,10.0,3692,"537 of 3141"
"Worcester County",24047,10.3,5228,"588 of 3141"
"Garrett County",24023,11.4,3299,"804 of 3141"
"Washington County",24043,12.8,18045,"1069 of 3141"
"Kent County",24029,13.1,2359,"1127 of 3141"
"Dorchester County",24019,15.4,4929,"1620 of 3141"
"Wicomico County",24045,15.9,15602,"1715 of 3141"
"Caroline County",24011,16.5,5337,"1831 of 3141"
"Allegany County",24001,16.8,10916,"1904 of 3141"
"Baltimore City",24510,22.4,133793,"2688 of 3141"
"Somerset County",24039,22.5,4434,"2699 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
