------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"Maryland",24000,29.5,1767163,"29 of 52"
"United States",00000,29.8,95565066,"N/A"
"Talbot County",24041,20.9,7822,"278 of 3141"
"Worcester County",24047,21.1,10888,"311 of 3141"
"Queen Annes County",24035,23.0,11280,"686 of 3141"
"Garrett County",24023,23.9,7065,"951 of 3141"
"Dorchester County",24019,24.2,7831,"1032 of 3141"
"Carroll County",24013,24.6,41202,"1165 of 3141"
"Calvert County",24009,24.8,22486,"1216 of 3141"
"Caroline County",24011,25.9,8502,"1635 of 3141"
"Cecil County",24015,26.2,26882,"1732 of 3141"
"Harford County",24025,26.4,66027,"1770 of 3141"
"Washington County",24043,27.0,40399,"1975 of 3141"
"Howard County",24027,27.2,85106,"2035 of 3141"
"Frederick County",24021,27.2,67044,"2039 of 3141"
"Kent County",24029,27.8,5465,"2175 of 3141"
"Charles County",24017,28.0,43752,"2232 of 3141"
"Montgomery County",24031,28.2,293069,"2267 of 3141"
"Baltimore County",24005,29.3,242575,"2493 of 3141"
"Anne Arundel County",24003,29.6,167306,"2548 of 3141"
"St. Marys County",24037,29.8,33033,"2565 of 3141"
"Allegany County",24001,30.9,22405,"2718 of 3141"
"Prince Georges County",24033,32.3,292018,"2839 of 3141"
"Wicomico County",24045,32.9,33555,"2875 of 3141"
"Baltimore City",24510,35.8,221804,"2989 of 3141"
"Somerset County",24039,37.4,9647,"3034 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 18-39, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
