------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"United States",00000,13.4,43028127,"N/A"
"Maryland",24000,14.9,894713,"9 of 51"
"Garrett County",24023,1.0,301,"2632 of 3140"
"Allegany County",24001,2.3,1654,"1758 of 3140"
"Calvert County",24009,3.2,2862,"1373 of 3140"
"Cecil County",24015,3.4,3460,"1301 of 3140"
"Carroll County",24013,3.6,6065,"1222 of 3140"
"Dorchester County",24019,3.6,1179,"1219 of 3140"
"Queen Annes County",24035,4.0,1948,"1128 of 3140"
"Caroline County",24011,4.3,1394,"1049 of 3140"
"Kent County",24029,4.4,861,"1027 of 3140"
"St. Marys County",24037,4.5,4992,"1008 of 3140"
"Worcester County",24047,4.6,2362,"990 of 3140"
"Washington County",24043,5.1,7556,"909 of 3140"
"Harford County",24025,5.6,13998,"809 of 3140"
"Charles County",24017,6.1,9448,"736 of 3140"
"Somerset County",24039,6.1,1573,"732 of 3140"
"Talbot County",24041,6.3,2351,"706 of 3140"
"Baltimore City",24510,8.0,49565,"509 of 3140"
"Anne Arundel County",24003,8.3,46939,"478 of 3140"
"Wicomico County",24045,8.5,8710,"463 of 3140"
"Frederick County",24021,10.2,25043,"344 of 3140"
"Baltimore County",24005,12.1,100591,"250 of 3140"
"Howard County",24027,20.8,64845,"100 of 3140"
"Prince Georges County",24033,21.9,197828,"89 of 3140"
"Montgomery County",24031,32.6,339188,"17 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
