------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"Maryland",24000,7.3,435607,"10 of 51"
"United States",00000,8.4,26717038,"N/A"
"Garrett County",24023,4.2,1225,"583 of 3140"
"Queen Annes County",24035,4.3,2078,"616 of 3140"
"Carroll County",24013,4.3,7184,"634 of 3140"
"Charles County",24017,4.4,6796,"669 of 3140"
"Calvert County",24009,4.7,4240,"778 of 3140"
"Cecil County",24015,4.9,4958,"869 of 3140"
"Howard County",24027,5.2,16103,"1023 of 3140"
"Somerset County",24039,5.3,1350,"1060 of 3140"
"Talbot County",24041,5.5,2028,"1143 of 3140"
"Harford County",24025,5.6,13872,"1219 of 3140"
"Kent County",24029,5.8,1138,"1338 of 3140"
"Frederick County",24021,5.9,14354,"1373 of 3140"
"St. Marys County",24037,6.0,6542,"1417 of 3140"
"Worcester County",24047,6.3,3204,"1565 of 3140"
"Baltimore County",24005,6.7,55114,"1768 of 3140"
"Caroline County",24011,7.1,2293,"1890 of 3140"
"Anne Arundel County",24003,7.5,41588,"2069 of 3140"
"Montgomery County",24031,7.9,81082,"2235 of 3140"
"Dorchester County",24019,7.9,2530,"2245 of 3140"
"Prince Georges County",24033,8.2,73607,"2343 of 3140"
"Washington County",24043,8.7,12814,"2461 of 3140"
"Allegany County",24001,9.5,6861,"2691 of 3140"
"Baltimore City",24510,10.4,63716,"2858 of 3140"
"Wicomico County",24045,10.8,10930,"2915 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
