------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"United States",00000,14.6,45650345,"N/A"
"Missouri",29000,14.6,861679,"30 of 52"
"St. Charles County",29183,5.7,21362,"71 of 3141"
"Osage County",29151,6.8,912,"129 of 3141"
"Platte County",29165,7.2,6936,"164 of 3141"
"Perry County",29157,8.2,1530,"253 of 3141"
"Clay County",29047,8.9,20693,"334 of 3141"
"Andrew County",29003,9.0,1533,"350 of 3141"
"Cass County",29037,9.5,9492,"441 of 3141"
"St. Louis County",29189,9.8,95974,"497 of 3141"
"Christian County",29043,10.4,8588,"609 of 3141"
"Franklin County",29071,10.6,10740,"643 of 3141"
"Jefferson County",29099,10.9,24077,"703 of 3141"
"Clinton County",29049,11.0,2190,"718 of 3141"
"Cooper County",29053,11.2,1787,"743 of 3141"
"Moniteau County",29135,11.9,1730,"907 of 3141"
"Gasconade County",29073,12.0,1726,"913 of 3141"
"Holt County",29087,12.0,527,"926 of 3141"
"Atchison County",29005,12.1,634,"936 of 3141"
"Callaway County",29027,12.3,5012,"975 of 3141"
"DeKalb County",29063,12.5,1135,"1016 of 3141"
"Cole County",29051,12.6,9027,"1019 of 3141"
"Lafayette County",29107,12.8,4081,"1052 of 3141"
"Warren County",29219,12.8,4256,"1057 of 3141"
"Pulaski County",29169,12.8,5567,"1064 of 3141"
"Stone County",29209,12.8,3999,"1077 of 3141"
"Newton County",29145,12.9,7389,"1091 of 3141"
"Monroe County",29137,13.0,1109,"1110 of 3141"
"Daviess County",29061,13.2,1066,"1167 of 3141"
"Lincoln County",29113,13.2,7122,"1168 of 3141"
