------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Missouri",29000,10.8,442422,"28 of 52"
"United States",00000,12.7,27437114,"N/A"
"Platte County",29165,4.8,3159,"82 of 3141"
"St. Charles County",29183,5.5,14277,"149 of 3141"
"Boone County",29019,6.5,6680,"264 of 3141"
"St. Louis County",29189,6.8,46838,"319 of 3141"
"Clay County",29047,7.1,11171,"352 of 3141"
"Clinton County",29049,7.3,1024,"391 of 3141"
"Nodaway County",29147,7.4,934,"434 of 3141"
"Cass County",29037,7.6,5229,"489 of 3141"
"Johnson County",29101,8.0,2468,"572 of 3141"
"Christian County",29043,8.3,4603,"651 of 3141"
"Greene County",29077,8.5,15894,"680 of 3141"
"Cole County",29051,8.6,4494,"696 of 3141"
"Andrew County",29003,8.7,1043,"717 of 3141"
"Holt County",29087,8.8,294,"734 of 3141"
"Shelby County",29205,9.0,379,"804 of 3141"
"Monroe County",29137,9.2,570,"847 of 3141"
"Adair County",29001,9.5,1272,"905 of 3141"
"Pulaski County",29169,9.5,2781,"917 of 3141"
"Cape Girardeau County",29031,9.7,4864,"961 of 3141"
"Putnam County",29171,10.1,348,"1060 of 3141"
"Jackson County",29095,10.1,47074,"1063 of 3141"
"Osage County",29151,10.2,939,"1079 of 3141"
"Caldwell County",29025,10.3,638,"1098 of 3141"
"Atchison County",29005,10.4,409,"1134 of 3141"
"Ralls County",29173,10.8,782,"1229 of 3141"
"Gentry County",29075,11.0,495,"1267 of 3141"
"Vernon County",29217,11.1,1530,"1285 of 3141"
"Taney County",29213,11.1,4156,"1301 of 3141"
"Cooper County",29053,11.2,1362,"1311 of 3141"
"Lafayette County",29107,11.2,2535,"1323 of 3141"
"Camden County",29029,11.2,3783,"1324 of 3141"
"Chariton County",29041,11.5,618,"1395 of 3141"
"Perry County",29157,11.6,1505,"1396 of 3141"
"Lewis County",29111,11.6,758,"1402 of 3141"
"Marion County",29127,11.7,2252,"1417 of 3141"
"Buchanan County",29021,11.7,7042,"1421 of 3141"
"Howard County",29089,11.7,770,"1429 of 3141"
"Jefferson County",29099,11.8,17890,"1435 of 3141"
"Ray County",29177,11.8,1860,"1447 of 3141"
"Schuyler County",29197,11.8,345,"1459 of 3141"
"Linn County",29115,11.9,1002,"1472 of 3141"
"Lincoln County",29113,12.1,4324,"1493 of 3141"
"Henry County",29083,12.1,1874,"1496 of 3141"
"Mercer County",29129,12.1,300,"1499 of 3141"
"Warren County",29219,12.1,2804,"1513 of 3141"
"Macon County",29121,12.2,1285,"1518 of 3141"
