------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Missouri",29000,10.3,157944,"29 of 52"
"United States",00000,10.5,8253388,"N/A"
"Osage County",29151,2.5,90,"31 of 3141"
"St. Charles County",29183,4.0,4173,"128 of 3141"
"Platte County",29165,4.6,1172,"199 of 3141"
"Perry County",29157,6.0,321,"425 of 3141"
"Clay County",29047,6.1,3693,"445 of 3141"
"Cass County",29037,6.5,1831,"515 of 3141"
"Andrew County",29003,6.7,330,"560 of 3141"
"Christian County",29043,6.9,1572,"606 of 3141"
"St. Louis County",29189,7.0,18135,"638 of 3141"
"Cooper County",29053,7.1,292,"664 of 3141"
"Atchison County",29005,7.7,110,"813 of 3141"
"Johnson County",29101,7.9,1017,"867 of 3141"
"Holt County",29087,8.1,113,"908 of 3141"
"Moniteau County",29135,8.1,319,"914 of 3141"
"Franklin County",29071,8.1,2332,"923 of 3141"
"Jefferson County",29099,8.2,5025,"928 of 3141"
"Stone County",29209,8.2,751,"950 of 3141"
"Gasconade County",29073,8.3,354,"977 of 3141"
"Chariton County",29041,8.4,155,"995 of 3141"
"Warren County",29219,8.6,768,"1048 of 3141"
