------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Missouri",29000,4.0,244420,"42 of 52"
"United States",00000,17.6,56510571,"N/A"
"Scotland County",29199,0.3,14,"3102 of 3141"
"Gentry County",29075,0.3,20,"3099 of 3141"
"Holt County",29087,0.4,16,"3091 of 3141"
"Clark County",29045,0.5,35,"3063 of 3141"
"Schuyler County",29197,0.7,32,"3016 of 3141"
"Osage County",29151,0.8,106,"3001 of 3141"
"Chariton County",29041,0.9,66,"2973 of 3141"
"Knox County",29103,1.0,39,"2939 of 3141"
"St. Clair County",29185,1.0,98,"2919 of 3141"
"Ste. Genevieve County",29186,1.1,194,"2907 of 3141"
"Putnam County",29171,1.1,53,"2904 of 3141"
"Worth County",29227,1.2,24,"2875 of 3141"
"Bollinger County",29017,1.2,149,"2857 of 3141"
"Atchison County",29005,1.2,66,"2846 of 3141"
"Ralls County",29173,1.2,127,"2843 of 3141"
"Macon County",29121,1.3,196,"2817 of 3141"
"Washington County",29221,1.3,320,"2816 of 3141"
"Ripley County",29181,1.3,177,"2815 of 3141"
"Gasconade County",29073,1.3,192,"2805 of 3141"
"Douglas County",29067,1.4,185,"2764 of 3141"
"Reynolds County",29179,1.4,89,"2752 of 3141"
"Howard County",29089,1.4,147,"2717 of 3141"
"Daviess County",29061,1.5,124,"2687 of 3141"
"St. Francois County",29187,1.5,993,"2682 of 3141"
"Carroll County",29033,1.5,134,"2677 of 3141"
"Hickory County",29085,1.5,144,"2656 of 3141"
"Monroe County",29137,1.6,135,"2640 of 3141"
"Dent County",29065,1.6,249,"2608 of 3141"
"Nodaway County",29147,1.6,365,"2605 of 3141"
"Marion County",29127,1.6,465,"2595 of 3141"
"Wayne County",29223,1.6,217,"2593 of 3141"
"Oregon County",29149,1.6,176,"2589 of 3141"
"Stoddard County",29207,1.6,488,"2583 of 3141"
"Livingston County",29117,1.7,250,"2575 of 3141"
"Franklin County",29071,1.7,1706,"2573 of 3141"
"Shelby County",29205,1.7,104,"2553 of 3141"
"Wright County",29229,1.7,313,"2552 of 3141"
"Ozark County",29153,1.7,160,"2547 of 3141"
"Mercer County",29129,1.7,63,"2544 of 3141"
"Lewis County",29111,1.7,176,"2526 of 3141"
"Iron County",29093,1.8,180,"2524 of 3141"
"New Madrid County",29143,1.8,317,"2521 of 3141"
"Montgomery County",29139,1.8,207,"2507 of 3141"
"Cooper County",29053,1.8,314,"2506 of 3141"
"Miller County",29131,1.8,451,"2490 of 3141"
"Shannon County",29203,1.8,150,"2483 of 3141"
"Jefferson County",29099,1.8,4108,"2466 of 3141"
"Crawford County",29055,1.9,459,"2446 of 3141"
"Benton County",29015,1.9,358,"2440 of 3141"
"Dallas County",29059,1.9,319,"2417 of 3141"
"Webster County",29225,2.0,733,"2409 of 3141"
"Randolph County",29175,2.0,491,"2405 of 3141"
"Mississippi County",29133,2.0,277,"2386 of 3141"
"Dade County",29057,2.0,151,"2383 of 3141"
"Callaway County",29027,2.0,894,"2381 of 3141"
"Clinton County",29049,2.0,410,"2379 of 3141"
"Cedar County",29039,2.0,278,"2378 of 3141"
"Butler County",29023,2.0,860,"2374 of 3141"
"Texas County",29215,2.0,525,"2359 of 3141"
"Howell County",29091,2.1,823,"2356 of 3141"
"Vernon County",29217,2.1,426,"2350 of 3141"
"Bates County",29013,2.1,340,"2345 of 3141"
"Linn County",29115,2.1,254,"2344 of 3141"
"Grundy County",29079,2.1,210,"2342 of 3141"
"Caldwell County",29025,2.1,188,"2341 of 3141"
"Stone County",29209,2.1,662,"2327 of 3141"
"Harrison County",29081,2.1,182,"2318 of 3141"
"Perry County",29157,2.1,407,"2313 of 3141"
"Morgan County",29141,2.1,429,"2312 of 3141"
"Scott County",29201,2.2,838,"2295 of 3141"
"Pike County",29163,2.2,407,"2270 of 3141"
"Henry County",29083,2.2,486,"2253 of 3141"
"DeKalb County",29063,2.2,282,"2243 of 3141"
"Carter County",29035,2.3,142,"2233 of 3141"
"Cape Girardeau County",29031,2.3,1781,"2225 of 3141"
"Andrew County",29003,2.3,399,"2216 of 3141"
"Laclede County",29105,2.3,819,"2207 of 3141"
"Polk County",29167,2.3,726,"2205 of 3141"
"Ray County",29177,2.3,534,"2195 of 3141"
"Lincoln County",29113,2.3,1281,"2193 of 3141"
"Madison County",29123,2.3,286,"2192 of 3141"
"Adair County",29001,2.3,596,"2189 of 3141"
"Phelps County",29161,2.4,1086,"2151 of 3141"
"Pemiscot County",29155,2.4,421,"2148 of 3141"
"Barton County",29011,2.5,300,"2113 of 3141"
"Maries County",29125,2.5,226,"2106 of 3141"
"Camden County",29029,2.7,1212,"2024 of 3141"
"Lafayette County",29107,2.7,887,"2017 of 3141"
"Cole County",29051,2.8,2118,"1989 of 3141"
"St. Louis County",29189,2.8,27784,"1979 of 3141"
"Christian County",29043,2.8,2325,"1967 of 3141"
"Audrain County",29007,2.9,754,"1910 of 3141"
"St. Charles County",29183,3.2,12163,"1818 of 3141"
"Warren County",29219,3.2,1080,"1787 of 3141"
"Boone County",29019,3.3,5729,"1760 of 3141"
"Greene County",29077,3.5,10061,"1697 of 3141"
"St. Louis City",29510,3.9,12280,"1588 of 3141"
"Johnson County",29101,4.1,2203,"1541 of 3141"
"Cass County",29037,4.2,4302,"1497 of 3141"
"Moniteau County",29135,4.6,729,"1407 of 3141"
"Newton County",29145,5.1,2994,"1287 of 3141"
"Taney County",29213,5.6,3019,"1205 of 3141"
"Platte County",29165,5.8,5601,"1166 of 3141"
"Dunklin County",29069,6.4,1966,"1079 of 3141"
"Buchanan County",29021,6.4,5706,"1075 of 3141"
"Clay County",29047,6.6,15590,"1043 of 3141"
"Lawrence County",29109,7.2,2730,"979 of 3141"
"Jasper County",29097,7.7,9114,"915 of 3141"
"Pettis County",29159,8.6,3626,"845 of 3141"
"Jackson County",29095,8.8,60846,"821 of 3141"
"Barry County",29009,9.0,3169,"813 of 3141"
"Saline County",29195,9.7,2231,"759 of 3141"
"Pulaski County",29169,10.9,5770,"682 of 3141"
"McDonald County",29119,11.6,2631,"644 of 3141"
"Sullivan County",29211,18.5,1180,"419 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
