------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"Missouri",29000,22.9,1389409,"24 of 52"
"United States",00000,22.9,73601279,"N/A"
"DeKalb County",29063,16.4,2059,"3034 of 3141"
"Nodaway County",29147,16.5,3745,"3030 of 3141"
"Hickory County",29085,17.0,1587,"2990 of 3141"
"Stone County",29209,17.1,5404,"2979 of 3141"
"Benton County",29015,17.6,3336,"2936 of 3141"
"Adair County",29001,18.0,4590,"2889 of 3141"
"Camden County",29029,18.3,8209,"2847 of 3141"
"St. Clair County",29185,18.6,1748,"2807 of 3141"
"Atchison County",29005,19.3,1027,"2691 of 3141"
"Ozark County",29153,19.5,1823,"2602 of 3141"
"Holt County",29087,19.6,881,"2596 of 3141"
"St. Louis City",29510,19.9,62704,"2515 of 3141"
"Boone County",29019,20.4,35656,"2354 of 3141"
"Worth County",29227,20.5,420,"2341 of 3141"
"Iron County",29093,20.7,2131,"2268 of 3141"
"Maries County",29125,20.9,1870,"2213 of 3141"
"Reynolds County",29179,20.9,1331,"2196 of 3141"
"Greene County",29077,21.0,60253,"2156 of 3141"
"Gasconade County",29073,21.1,3117,"2120 of 3141"
"Phelps County",29161,21.1,9472,"2118 of 3141"
"Dade County",29057,21.1,1603,"2101 of 3141"
"Douglas County",29067,21.2,2843,"2077 of 3141"
"St. Francois County",29187,21.3,14086,"2064 of 3141"
"Taney County",29213,21.3,11555,"2057 of 3141"
