------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Missouri",29000,4.2,250799,"45 of 51"
"Putnam County",29171,1.0,49,"54 of 3140"
"Clark County",29045,1.5,98,"136 of 3140"
"Atchison County",29005,1.6,86,"191 of 3140"
"Jackson County",29095,2.0,13657,"335 of 3140"
"Worth County",29227,2.2,45,"453 of 3140"
"Reynolds County",29179,2.2,142,"467 of 3140"
"Pemiscot County",29155,2.4,404,"538 of 3140"
"Perry County",29157,2.4,451,"545 of 3140"
"Jasper County",29097,2.5,2878,"592 of 3140"
"Ripley County",29181,2.5,337,"600 of 3140"
"Gentry County",29075,2.5,163,"607 of 3140"
"Scotland County",29199,2.5,121,"657 of 3140"
"Pulaski County",29169,2.7,1422,"781 of 3140"
"Wright County",29229,2.7,494,"788 of 3140"
"New Madrid County",29143,2.9,508,"875 of 3140"
"Linn County",29115,2.9,347,"880 of 3140"
"Dunklin County",29069,2.9,889,"924 of 3140"
"Sullivan County",29211,3.0,187,"960 of 3140"
"St. Louis County",29189,3.0,29790,"982 of 3140"
"Macon County",29121,3.0,462,"1007 of 3140"
"Barton County",29011,3.1,361,"1014 of 3140"
"Vernon County",29217,3.2,644,"1093 of 3140"
"Knox County",29103,3.3,130,"1204 of 3140"
"Chariton County",29041,3.4,257,"1273 of 3140"
"St. Charles County",29183,3.4,13082,"1278 of 3140"
"McDonald County",29119,3.4,770,"1294 of 3140"
"Carroll County",29033,3.5,301,"1305 of 3140"
"Taney County",29213,3.5,1860,"1316 of 3140"
"Harrison County",29081,3.5,299,"1364 of 3140"
"Laclede County",29105,3.5,1234,"1365 of 3140"
"Washington County",29221,3.6,883,"1406 of 3140"
"Cass County",29037,3.6,3622,"1425 of 3140"
"Butler County",29023,3.6,1549,"1463 of 3140"
"Monroe County",29137,3.7,315,"1480 of 3140"
"Jefferson County",29099,3.7,8196,"1524 of 3140"
"Franklin County",29071,3.7,3787,"1534 of 3140"
"Schuyler County",29197,3.8,165,"1550 of 3140"
"Oregon County",29149,3.8,404,"1576 of 3140"
