------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"Missouri",29000,2.6,157561,"22 of 51"
"Chariton County",29041,0.1,4,"21 of 3140"
"Bollinger County",29017,0.3,34,"69 of 3140"
"Linn County",29115,0.4,49,"125 of 3140"
"Lincoln County",29113,0.4,221,"127 of 3140"
"Washington County",29221,0.4,109,"144 of 3140"
"Osage County",29151,0.5,62,"156 of 3140"
"Macon County",29121,0.5,72,"163 of 3140"
"New Madrid County",29143,0.5,89,"178 of 3140"
"Gentry County",29075,0.5,34,"192 of 3140"
"Mississippi County",29133,0.6,82,"244 of 3140"
"Gasconade County",29073,0.7,107,"358 of 3140"
"Ralls County",29173,0.8,76,"383 of 3140"
"Montgomery County",29139,0.8,89,"395 of 3140"
"Franklin County",29071,0.9,877,"491 of 3140"
"Henry County",29083,0.9,192,"514 of 3140"
"Howell County",29091,0.9,356,"537 of 3140"
"Jefferson County",29099,0.9,2087,"588 of 3140"
"Moniteau County",29135,1.0,153,"613 of 3140"
"Howard County",29089,1.0,98,"614 of 3140"
"Worth County",29227,1.1,22,"737 of 3140"
"Caldwell County",29025,1.1,99,"771 of 3140"
"Grundy County",29079,1.1,112,"799 of 3140"
"Wayne County",29223,1.1,150,"810 of 3140"
"Warren County",29219,1.2,391,"868 of 3140"
"Ste. Genevieve County",29186,1.2,213,"892 of 3140"
"Stoddard County",29207,1.2,360,"928 of 3140"
"Hickory County",29085,1.3,118,"972 of 3140"
"Iron County",29093,1.3,136,"1052 of 3140"
"Cooper County",29053,1.4,242,"1124 of 3140"
"St. Charles County",29183,1.4,5331,"1134 of 3140"
"Cole County",29051,1.4,1064,"1141 of 3140"
"Pike County",29163,1.5,267,"1206 of 3140"
"Dallas County",29059,1.5,240,"1227 of 3140"
"Monroe County",29137,1.5,128,"1242 of 3140"
"Reynolds County",29179,1.5,95,"1255 of 3140"
"Audrain County",29007,1.5,388,"1280 of 3140"
"Callaway County",29027,1.5,673,"1282 of 3140"
"Laclede County",29105,1.5,541,"1311 of 3140"
"Shelby County",29205,1.6,96,"1356 of 3140"
"Shannon County",29203,1.6,131,"1366 of 3140"
"Ripley County",29181,1.6,220,"1383 of 3140"
"Livingston County",29117,1.7,248,"1468 of 3140"
"Barton County",29011,1.7,201,"1491 of 3140"
"Ozark County",29153,1.7,158,"1501 of 3140"
"Crawford County",29055,1.7,416,"1527 of 3140"
"Holt County",29087,1.8,79,"1580 of 3140"
"Maries County",29125,1.8,161,"1605 of 3140"
"Knox County",29103,1.8,72,"1629 of 3140"
"Miller County",29131,1.9,458,"1662 of 3140"
"Webster County",29225,1.9,718,"1725 of 3140"
"Morgan County",29141,1.9,386,"1733 of 3140"
"Buchanan County",29021,2.0,1722,"1746 of 3140"
"Ray County",29177,2.0,441,"1752 of 3140"
