------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"United States",00000,50.8,162985654,"N/A"
"Missouri",29000,50.9,3093968,"32 of 52"
"DeKalb County",29063,36.3,4557,"15 of 3141"
"Pulaski County",29169,42.9,22771,"69 of 3141"
"Pike County",29163,44.9,8315,"115 of 3141"
"St. Francois County",29187,46.0,30458,"160 of 3141"
"Mississippi County",29133,46.1,6421,"169 of 3141"
"Phelps County",29161,47.4,21268,"279 of 3141"
"Cooper County",29053,47.4,8353,"281 of 3141"
"Moniteau County",29135,47.5,7554,"284 of 3141"
"Randolph County",29175,47.7,11912,"310 of 3141"
"Osage County",29151,47.8,6505,"328 of 3141"
"Johnson County",29101,48.3,26050,"419 of 3141"
"Texas County",29215,48.5,12466,"455 of 3141"
"Washington County",29221,48.5,12113,"463 of 3141"
"Dade County",29057,48.9,3704,"554 of 3141"
"Webster County",29225,49.0,18388,"590 of 3141"
"McDonald County",29119,49.0,11140,"592 of 3141"
"Reynolds County",29179,49.0,3116,"602 of 3141"
"Clark County",29045,49.1,3340,"623 of 3141"
"Callaway County",29027,49.1,21992,"634 of 3141"
"Ralls County",29173,49.4,5038,"744 of 3141"
"Monroe County",29137,49.4,4286,"773 of 3141"
"Cole County",29051,49.4,37929,"785 of 3141"
"Knox County",29103,49.4,1966,"793 of 3141"
"Caldwell County",29025,49.5,4474,"795 of 3141"
"St. Clair County",29185,49.5,4652,"821 of 3141"
"Lewis County",29111,49.6,4997,"853 of 3141"
"Putnam County",29171,49.7,2410,"968 of 3141"
"Barry County",29009,49.8,17616,"993 of 3141"
"Maries County",29125,49.8,4463,"1040 of 3141"
"Shelby County",29205,49.8,3031,"1044 of 3141"
"Daviess County",29061,49.8,4136,"1055 of 3141"
"Clinton County",29049,49.8,10213,"1056 of 3141"
"Buchanan County",29021,49.8,44578,"1073 of 3141"
"Douglas County",29067,49.9,6687,"1149 of 3141"
"Bollinger County",29017,49.9,6167,"1154 of 3141"
"Ripley County",29181,50.0,6901,"1177 of 3141"
"Lawrence County",29109,50.0,19059,"1178 of 3141"
"Mercer County",29129,50.0,1834,"1181 of 3141"
"Ozark County",29153,50.0,4663,"1185 of 3141"
"Warren County",29219,50.0,16781,"1207 of 3141"
"Howard County",29089,50.0,5075,"1223 of 3141"
"Ste. Genevieve County",29186,50.0,8948,"1233 of 3141"
"Dent County",29065,50.1,7792,"1248 of 3141"
"Sullivan County",29211,50.1,3195,"1255 of 3141"
"Lincoln County",29113,50.1,27435,"1256 of 3141"
"Gasconade County",29073,50.1,7398,"1276 of 3141"
"Montgomery County",29139,50.1,5820,"1280 of 3141"
"Morgan County",29141,50.1,10069,"1285 of 3141"
"Franklin County",29071,50.2,51369,"1344 of 3141"
"Holt County",29087,50.2,2260,"1406 of 3141"
"Jefferson County",29099,50.2,111867,"1412 of 3141"
"Camden County",29029,50.2,22539,"1418 of 3141"
"Iron County",29093,50.3,5172,"1449 of 3141"
"Nodaway County",29147,50.3,11442,"1475 of 3141"
"Harrison County",29081,50.3,4335,"1496 of 3141"
"Andrew County",29003,50.3,8736,"1504 of 3141"
"Chariton County",29041,50.3,3818,"1505 of 3141"
"Newton County",29145,50.3,29311,"1506 of 3141"
"Ray County",29177,50.3,11508,"1513 of 3141"
"Cedar County",29039,50.3,6979,"1516 of 3141"
"Macon County",29121,50.4,7718,"1556 of 3141"
"Barton County",29011,50.4,6018,"1564 of 3141"
"Schuyler County",29197,50.5,2246,"1650 of 3141"
"Atchison County",29005,50.5,2693,"1657 of 3141"
"Laclede County",29105,50.5,17926,"1695 of 3141"
"Saline County",29195,50.6,11638,"1776 of 3141"
"Henry County",29083,50.6,11051,"1818 of 3141"
"Dallas County",29059,50.6,8324,"1850 of 3141"
"Lafayette County",29107,50.6,16534,"1857 of 3141"
"Wayne County",29223,50.7,6772,"1891 of 3141"
"Crawford County",29055,50.7,12357,"1910 of 3141"
"Perry County",29157,50.7,9706,"1969 of 3141"
"Miller County",29131,50.7,12656,"1983 of 3141"
"Platte County",29165,50.8,49180,"2004 of 3141"
"Wright County",29229,50.8,9292,"2018 of 3141"
"Benton County",29015,50.8,9610,"2050 of 3141"
"St. Charles County",29183,50.8,195750,"2087 of 3141"
"Madison County",29123,50.9,6222,"2146 of 3141"
"Pettis County",29159,50.9,21532,"2148 of 3141"
"Cass County",29037,50.9,51869,"2163 of 3141"
"Clay County",29047,51.0,120307,"2218 of 3141"
"Howell County",29091,51.0,20483,"2273 of 3141"
"Shannon County",29203,51.1,4225,"2325 of 3141"
"Stone County",29209,51.1,16103,"2327 of 3141"
"Grundy County",29079,51.2,5174,"2420 of 3141"
"Bates County",29013,51.2,8395,"2422 of 3141"
"Oregon County",29149,51.2,5518,"2440 of 3141"
"Scotland County",29199,51.2,2501,"2465 of 3141"
"Greene County",29077,51.3,147026,"2504 of 3141"
"Vernon County",29217,51.3,10605,"2534 of 3141"
"Jasper County",29097,51.3,60828,"2539 of 3141"
"Polk County",29167,51.3,16090,"2546 of 3141"
"Worth County",29227,51.3,1054,"2557 of 3141"
"Hickory County",29085,51.4,4805,"2580 of 3141"
"Stoddard County",29207,51.4,15229,"2585 of 3141"
"Boone County",29019,51.4,89777,"2608 of 3141"
"Taney County",29213,51.5,27948,"2633 of 3141"
"Cape Girardeau County",29031,51.5,40153,"2635 of 3141"
"Carroll County",29033,51.5,4588,"2645 of 3141"
"Christian County",29043,51.5,42763,"2655 of 3141"
"Scott County",29201,51.5,20014,"2656 of 3141"
"Butler County",29023,51.6,22091,"2708 of 3141"
"Jackson County",29095,51.6,355618,"2744 of 3141"
"St. Louis City",29510,51.7,162643,"2748 of 3141"
"Linn County",29115,51.8,6341,"2805 of 3141"
"Marion County",29127,51.8,14862,"2809 of 3141"
"Gentry County",29075,51.8,3463,"2810 of 3141"
"New Madrid County",29143,51.9,9349,"2847 of 3141"
"Dunklin County",29069,51.9,16049,"2870 of 3141"
"Carter County",29035,52.3,3274,"2975 of 3141"
"St. Louis County",29189,52.6,525429,"3013 of 3141"
"Pemiscot County",29155,52.7,9134,"3027 of 3141"
"Adair County",29001,52.8,13424,"3041 of 3141"
"Audrain County",29007,54.4,14019,"3127 of 3141"
"Livingston County",29117,54.7,8220,"3132 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
