------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Missouri",29000,5.8,175919,"19 of 52"
"United States",00000,6.6,10560305,"N/A"
"Lewis County",29111,2.9,144,"296 of 3141"
"Linn County",29115,3.2,180,"354 of 3141"
"Osage County",29151,3.3,236,"394 of 3141"
"Harrison County",29081,3.3,132,"406 of 3141"
"DeKalb County",29063,3.4,151,"417 of 3141"
"Livingston County",29117,3.4,232,"418 of 3141"
"Sullivan County",29211,3.4,94,"420 of 3141"
"Gasconade County",29073,3.4,242,"434 of 3141"
"Mercer County",29129,3.5,57,"439 of 3141"
"Daviess County",29061,3.5,128,"440 of 3141"
"Grundy County",29079,3.6,168,"485 of 3141"
"St. Charles County",29183,3.6,7828,"509 of 3141"
"Chariton County",29041,3.7,120,"522 of 3141"
"Caldwell County",29025,3.8,152,"560 of 3141"
"Clinton County",29049,3.8,383,"563 of 3141"
"Platte County",29165,4.0,2179,"629 of 3141"
"Atchison County",29005,4.1,113,"645 of 3141"
"Worth County",29227,4.1,41,"646 of 3141"
"Gentry County",29075,4.1,130,"655 of 3141"
"Vernon County",29217,4.1,409,"663 of 3141"
"Perry County",29157,4.1,395,"667 of 3141"
"Andrew County",29003,4.2,373,"688 of 3141"
"Holt County",29087,4.2,94,"712 of 3141"
"Callaway County",29027,4.3,908,"734 of 3141"
"Boone County",29019,4.4,4243,"765 of 3141"
"Cole County",29051,4.4,1690,"782 of 3141"
"Clay County",29047,4.4,5710,"797 of 3141"
"Monroe County",29137,4.5,184,"835 of 3141"
"Ralls County",29173,4.5,238,"847 of 3141"
"Scotland County",29199,4.6,103,"848 of 3141"
"Howard County",29089,4.6,231,"858 of 3141"
"Clark County",29045,4.6,151,"863 of 3141"
"Saline County",29195,4.6,510,"872 of 3141"
"Ste. Genevieve County",29186,4.6,414,"885 of 3141"
"Nodaway County",29147,4.7,575,"934 of 3141"
"Pike County",29163,4.8,376,"939 of 3141"
"Webster County",29225,4.8,765,"971 of 3141"
"Shelby County",29205,4.8,149,"973 of 3141"
"Cass County",29037,4.9,2565,"999 of 3141"
"Franklin County",29071,4.9,2584,"1012 of 3141"
"Greene County",29077,5.0,7216,"1029 of 3141"
"Cooper County",29053,5.0,409,"1034 of 3141"
"Howell County",29091,5.0,866,"1044 of 3141"
"Oregon County",29149,5.0,219,"1046 of 3141"
"Bollinger County",29017,5.1,268,"1083 of 3141"
"Bates County",29013,5.2,396,"1123 of 3141"
"Christian County",29043,5.3,2199,"1177 of 3141"
"Cape Girardeau County",29031,5.3,2099,"1186 of 3141"
"Newton County",29145,5.4,1543,"1230 of 3141"
"Ray County",29177,5.4,605,"1238 of 3141"
"Barton County",29011,5.4,303,"1241 of 3141"
"Lafayette County",29107,5.5,881,"1261 of 3141"
"Jasper County",29097,5.5,3262,"1272 of 3141"
"Adair County",29001,5.5,656,"1282 of 3141"
"Jackson County",29095,5.7,20320,"1360 of 3141"
"Moniteau County",29135,5.7,404,"1363 of 3141"
"Buchanan County",29021,5.7,2548,"1389 of 3141"
"Polk County",29167,5.8,852,"1423 of 3141"
"Pettis County",29159,5.8,1152,"1433 of 3141"
"Knox County",29103,5.8,101,"1435 of 3141"
"Madison County",29123,5.8,307,"1448 of 3141"
"Montgomery County",29139,5.8,310,"1454 of 3141"
"Putnam County",29171,5.9,127,"1468 of 3141"
