------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Missouri",29000,64776.000000000,"36 of 52"
"United States",00000,70850.000000000,"N/A"
"Mississippi County",29133,35722.000000000,"3090 of 3141"
"Douglas County",29067,39292.000000000,"3050 of 3141"
"Wright County",29229,40103.000000000,"3033 of 3141"
"Dunklin County",29069,40350.000000000,"3026 of 3141"
"Wayne County",29223,41311.000000000,"2989 of 3141"
"Ozark County",29153,41338.000000000,"2986 of 3141"
"Oregon County",29149,41609.000000000,"2971 of 3141"
"Ripley County",29181,41638.000000000,"2968 of 3141"
"New Madrid County",29143,41932.000000000,"2961 of 3141"
"Washington County",29221,41988.000000000,"2959 of 3141"
"Benton County",29015,42689.000000000,"2934 of 3141"
"Hickory County",29085,43312.000000000,"2911 of 3141"
"Shannon County",29203,43812.000000000,"2891 of 3141"
"Howell County",29091,43849.000000000,"2888 of 3141"
"Pemiscot County",29155,44005.000000000,"2883 of 3141"
"Cedar County",29039,44390.000000000,"2865 of 3141"
"Putnam County",29171,44949.000000000,"2838 of 3141"
"St. Clair County",29185,45286.000000000,"2822 of 3141"
"Iron County",29093,45388.000000000,"2809 of 3141"
"McDonald County",29119,45400.000000000,"2807 of 3141"
"Dade County",29057,45833.000000000,"2785 of 3141"
"Morgan County",29141,45840.000000000,"2783 of 3141"
"Texas County",29215,45968.000000000,"2775 of 3141"
"Butler County",29023,46522.000000000,"2737 of 3141"
"Dallas County",29059,46607.000000000,"2730 of 3141"
"Dent County",29065,48530.000000000,"2617 of 3141"
"Taney County",29213,48785.000000000,"2600 of 3141"
"Schuyler County",29197,48878.000000000,"2593 of 3141"
