------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Missouri",29000,1.1,27252,"7 of 51"
"United States",00000,4.5,5305440,"N/A"
"Andrew County",29003,0.0,0,"1 of 3140"
"Bollinger County",29017,0.0,0,"1 of 3140"
"Carter County",29035,0.0,0,"1 of 3140"
"Cedar County",29039,0.0,0,"1 of 3140"
"Chariton County",29041,0.0,0,"1 of 3140"
"Clark County",29045,0.0,0,"1 of 3140"
"DeKalb County",29063,0.0,0,"1 of 3140"
"Dent County",29065,0.0,0,"1 of 3140"
"Gasconade County",29073,0.0,0,"1 of 3140"
"Henry County",29083,0.0,0,"1 of 3140"
"Hickory County",29085,0.0,0,"1 of 3140"
"Holt County",29087,0.0,0,"1 of 3140"
"Iron County",29093,0.0,0,"1 of 3140"
"Knox County",29103,0.0,0,"1 of 3140"
"Madison County",29123,0.0,0,"1 of 3140"
"Marion County",29127,0.0,0,"1 of 3140"
"Mississippi County",29133,0.0,0,"1 of 3140"
"Montgomery County",29139,0.0,0,"1 of 3140"
"Oregon County",29149,0.0,0,"1 of 3140"
"Ozark County",29153,0.0,0,"1 of 3140"
"Reynolds County",29179,0.0,0,"1 of 3140"
"Ripley County",29181,0.0,0,"1 of 3140"
"Shannon County",29203,0.0,0,"1 of 3140"
"St. Clair County",29185,0.0,0,"1 of 3140"
"St. Francois County",29187,0.0,0,"1 of 3140"
"Worth County",29227,0.0,0,"1 of 3140"
"Texas County",29215,0.0,1,"294 of 3140"
"New Madrid County",29143,0.0,2,"305 of 3140"
"Stoddard County",29207,0.0,5,"321 of 3140"
"Putnam County",29171,0.1,1,"332 of 3140"
"Wright County",29229,0.1,4,"335 of 3140"
"Washington County",29221,0.1,5,"338 of 3140"
"Ralls County",29173,0.1,3,"372 of 3140"
"Barton County",29011,0.1,4,"380 of 3140"
"Camden County",29029,0.1,20,"439 of 3140"
"Laclede County",29105,0.1,18,"455 of 3140"
"Macon County",29121,0.1,8,"465 of 3140"
"Linn County",29115,0.1,7,"477 of 3140"
"Pemiscot County",29155,0.1,10,"483 of 3140"
"Franklin County",29071,0.2,62,"497 of 3140"
"Cooper County",29053,0.2,10,"507 of 3140"
"Christian County",29043,0.2,56,"560 of 3140"
"Shelby County",29205,0.2,5,"594 of 3140"
"Johnson County",29101,0.2,42,"606 of 3140"
"Polk County",29167,0.2,25,"611 of 3140"
"Howard County",29089,0.2,8,"615 of 3140"
"Maries County",29125,0.2,8,"622 of 3140"
"Ray County",29177,0.2,19,"626 of 3140"
"Wayne County",29223,0.2,12,"627 of 3140"
"Douglas County",29067,0.2,12,"652 of 3140"
"Bates County",29013,0.2,16,"666 of 3140"
"Atchison County",29005,0.2,6,"671 of 3140"
"Monroe County",29137,0.2,9,"689 of 3140"
"Ste. Genevieve County",29186,0.3,18,"693 of 3140"
