------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"Missouri",29000,32.4,1967017,"23 of 52"
"United States",00000,32.4,104105673,"N/A"
"Pulaski County",29169,22.4,11890,"17 of 3141"
"Adair County",29001,24.5,6239,"38 of 3141"
"Nodaway County",29147,24.9,5673,"44 of 3141"
"Johnson County",29101,26.1,14079,"80 of 3141"
"Boone County",29019,27.1,47351,"124 of 3141"
"Scotland County",29199,28.9,1411,"267 of 3141"
"Phelps County",29161,29.0,13012,"279 of 3141"
"Polk County",29167,29.2,9160,"300 of 3141"
"Greene County",29077,29.7,85096,"348 of 3141"
"Saline County",29195,29.9,6877,"382 of 3141"
"Cape Girardeau County",29031,30.1,23494,"414 of 3141"
"Jasper County",29097,30.2,35842,"438 of 3141"
"Grundy County",29079,30.6,3097,"511 of 3141"
"Cedar County",29039,31.1,4306,"611 of 3141"
"St. Louis City",29510,31.1,97839,"616 of 3141"
"Pemiscot County",29155,31.1,5392,"620 of 3141"
"Schuyler County",29197,31.1,1384,"623 of 3141"
"Livingston County",29117,31.1,4673,"624 of 3141"
"Daviess County",29061,31.3,2598,"673 of 3141"
"Howell County",29091,31.3,12574,"680 of 3141"
"Macon County",29121,31.5,4833,"757 of 3141"
"Gentry County",29075,31.6,2113,"774 of 3141"
"Buchanan County",29021,31.6,28291,"786 of 3141"
"Taney County",29213,31.7,17205,"798 of 3141"
"Harrison County",29081,31.7,2731,"804 of 3141"
"Chariton County",29041,31.7,2408,"822 of 3141"
"Shelby County",29205,31.9,1938,"856 of 3141"
"Newton County",29145,31.9,18552,"858 of 3141"
"Jackson County",29095,31.9,219440,"863 of 3141"
"Howard County",29089,31.9,3235,"872 of 3141"
"Dunklin County",29069,31.9,9863,"878 of 3141"
"Barton County",29011,32.0,3827,"920 of 3141"
"Marion County",29127,32.1,9216,"948 of 3141"
"Lewis County",29111,32.1,3236,"951 of 3141"
"Pettis County",29159,32.1,13588,"954 of 3141"
"Cooper County",29053,32.2,5673,"984 of 3141"
"Lawrence County",29109,32.2,12291,"1004 of 3141"
"Webster County",29225,32.3,12113,"1013 of 3141"
"Bates County",29013,32.3,5298,"1031 of 3141"
"Butler County",29023,32.3,13836,"1035 of 3141"
"Pike County",29163,32.3,5985,"1041 of 3141"
"Christian County",29043,32.3,26848,"1045 of 3141"
