------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Missouri",29000,82.4,5004537,"20 of 52"
"St. Louis City",29510,45.9,144506,"2990 of 3141"
"Jackson County",29095,66.6,458890,"2665 of 3141"
"St. Louis County",29189,68.9,688312,"2591 of 3141"
"Pemiscot County",29155,69.8,12113,"2565 of 3141"
"Mississippi County",29133,73.3,10195,"2475 of 3141"
"Pulaski County",29169,75.0,39842,"2411 of 3141"
"New Madrid County",29143,81.3,14655,"2155 of 3141"
"Boone County",29019,81.4,142131,"2151 of 3141"
"Cole County",29051,83.2,63891,"2052 of 3141"
"Dunklin County",29069,84.5,26118,"1995 of 3141"
"Scott County",29201,85.4,33192,"1953 of 3141"
"Saline County",29195,85.4,19661,"1951 of 3141"
"Platte County",29165,85.9,83204,"1927 of 3141"
"Clay County",29047,86.0,203006,"1917 of 3141"
"DeKalb County",29063,86.1,10813,"1912 of 3141"
"McDonald County",29119,87.8,19988,"1772 of 3141"
"Cape Girardeau County",29031,88.0,68620,"1762 of 3141"
"Buchanan County",29021,88.2,78839,"1737 of 3141"
"Cooper County",29053,89.1,15691,"1643 of 3141"
"Johnson County",29101,89.1,48064,"1637 of 3141"
"Pike County",29163,89.4,16563,"1609 of 3141"
"Audrain County",29007,89.5,23046,"1607 of 3141"
"St. Charles County",29183,90.2,347505,"1539 of 3141"
"Randolph County",29175,90.3,22561,"1532 of 3141"
"Jasper County",29097,90.4,107188,"1517 of 3141"
"Greene County",29077,90.5,259407,"1516 of 3141"
"Butler County",29023,90.7,38836,"1496 of 3141"
"Newton County",29145,90.7,52828,"1491 of 3141"
"Pettis County",29159,90.7,38382,"1490 of 3141"
"Phelps County",29161,91.0,40823,"1454 of 3141"
"Marion County",29127,91.2,26167,"1430 of 3141"
"Callaway County",29027,91.8,41099,"1357 of 3141"
"Cass County",29037,91.8,93505,"1354 of 3141"
"Howard County",29089,91.8,9310,"1353 of 3141"
"Adair County",29001,92.2,23443,"1297 of 3141"
"Taney County",29213,92.5,50238,"1259 of 3141"
"Moniteau County",29135,92.7,14744,"1228 of 3141"
"Texas County",29215,92.8,23855,"1216 of 3141"
"Warren County",29219,93.0,31209,"1192 of 3141"
"Sullivan County",29211,93.1,5940,"1179 of 3141"
"St. Francois County",29187,93.2,61724,"1158 of 3141"
"Barry County",29009,93.6,33126,"1085 of 3141"
"Barton County",29011,93.7,11184,"1069 of 3141"
"Nodaway County",29147,93.9,21346,"1039 of 3141"
"Livingston County",29117,94.0,14125,"1013 of 3141"
"Lafayette County",29107,94.2,30750,"994 of 3141"
"Lewis County",29111,94.5,9525,"924 of 3141"
"Macon County",29121,94.5,14482,"917 of 3141"
"Monroe County",29137,94.8,8228,"860 of 3141"
"Lawrence County",29109,94.9,36194,"842 of 3141"
"Lincoln County",29113,95.0,52071,"822 of 3141"
