------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"United States",00000,47.3,151838062,"N/A"
"Missouri",29000,48.1,2923049,"23 of 52"
"Pulaski County",29169,30.4,16151,"3129 of 3141"
"Johnson County",29101,37.9,20427,"3054 of 3141"
"Boone County",29019,38.0,66431,"3049 of 3141"
"Adair County",29001,38.5,9798,"3036 of 3141"
"Nodaway County",29147,39.1,8898,"3016 of 3141"
"St. Louis City",29510,43.2,135968,"2825 of 3141"
"Phelps County",29161,44.3,19882,"2725 of 3141"
"Jasper County",29097,44.7,52986,"2689 of 3141"
"Greene County",29077,45.2,129493,"2644 of 3141"
"Clay County",29047,45.6,107716,"2598 of 3141"
"Cape Girardeau County",29031,45.8,35718,"2586 of 3141"
"Jackson County",29095,45.8,315510,"2580 of 3141"
"Buchanan County",29021,46.6,41636,"2490 of 3141"
"Lincoln County",29113,46.7,25611,"2471 of 3141"
"Polk County",29167,46.8,14657,"2468 of 3141"
"Christian County",29043,46.9,38915,"2453 of 3141"
"Pemiscot County",29155,46.9,8130,"2452 of 3141"
"Webster County",29225,47.2,17721,"2420 of 3141"
"Scotland County",29199,47.5,2317,"2376 of 3141"
"St. Charles County",29183,47.5,183017,"2356 of 3141"
"Saline County",29195,47.7,10974,"2326 of 3141"
"Callaway County",29027,47.7,21367,"2324 of 3141"
"Pettis County",29159,47.8,20205,"2317 of 3141"
"Cole County",29051,47.8,36701,"2305 of 3141"
"Platte County",29165,47.9,46462,"2278 of 3141"
"Moniteau County",29135,48.1,7643,"2257 of 3141"
"McDonald County",29119,48.5,11030,"2189 of 3141"
"Jefferson County",29099,48.6,108158,"2174 of 3141"
"Cooper County",29053,49.0,8626,"2108 of 3141"
"Newton County",29145,49.1,28567,"2095 of 3141"
"St. Francois County",29187,49.1,32523,"2086 of 3141"
"Howard County",29089,49.1,4980,"2085 of 3141"
"Randolph County",29175,49.1,12271,"2081 of 3141"
"Marion County",29127,49.1,14097,"2079 of 3141"
"Pike County",29163,49.2,9109,"2063 of 3141"
"Cass County",29037,49.3,50268,"2040 of 3141"
"Audrain County",29007,49.4,12721,"2033 of 3141"
"Mississippi County",29133,49.5,6887,"2015 of 3141"
"Dunklin County",29069,49.5,15299,"2011 of 3141"
"Lawrence County",29109,49.7,18944,"1975 of 3141"
"Scott County",29201,50.0,19443,"1903 of 3141"
"Lewis County",29111,50.1,5054,"1878 of 3141"
"Laclede County",29105,50.2,17806,"1873 of 3141"
"Howell County",29091,50.2,20147,"1872 of 3141"
"Osage County",29151,50.2,6832,"1869 of 3141"
"Butler County",29023,50.2,21519,"1852 of 3141"
"St. Louis County",29189,50.3,503054,"1836 of 3141"
"Perry County",29157,50.4,9647,"1815 of 3141"
"Schuyler County",29197,50.5,2249,"1782 of 3141"
"Vernon County",29217,50.5,10444,"1781 of 3141"
"Washington County",29221,50.7,12667,"1728 of 3141"
"Livingston County",29117,50.8,7629,"1718 of 3141"
"Warren County",29219,50.8,17049,"1709 of 3141"
"Franklin County",29071,50.9,52135,"1689 of 3141"
"Barton County",29011,51.0,6086,"1677 of 3141"
"Gentry County",29075,51.0,3410,"1672 of 3141"
"Clinton County",29049,51.0,10460,"1658 of 3141"
"Daviess County",29061,51.1,4241,"1646 of 3141"
"DeKalb County",29063,51.2,6427,"1633 of 3141"
"Bates County",29013,51.2,8402,"1619 of 3141"
"Miller County",29131,51.4,12835,"1560 of 3141"
"Grundy County",29079,51.5,5211,"1538 of 3141"
"Taney County",29213,51.9,28201,"1445 of 3141"
"Shelby County",29205,52.0,3165,"1425 of 3141"
"Texas County",29215,52.1,13388,"1411 of 3141"
"Crawford County",29055,52.1,12701,"1409 of 3141"
"New Madrid County",29143,52.1,9399,"1397 of 3141"
"Carter County",29035,52.2,3262,"1385 of 3141"
"Stoddard County",29207,52.2,15472,"1373 of 3141"
"Madison County",29123,52.4,6407,"1322 of 3141"
"Lafayette County",29107,52.5,17146,"1299 of 3141"
"Sullivan County",29211,52.7,3364,"1245 of 3141"
"Ray County",29177,52.8,12067,"1227 of 3141"
"Ripley County",29181,52.9,7297,"1214 of 3141"
"Macon County",29121,52.9,8099,"1204 of 3141"
"Barry County",29009,53.0,18751,"1182 of 3141"
"Wright County",29229,53.0,9704,"1171 of 3141"
"Caldwell County",29025,53.0,4796,"1170 of 3141"
"Harrison County",29081,53.2,4582,"1136 of 3141"
"Andrew County",29003,53.3,9252,"1115 of 3141"
"Linn County",29115,53.5,6554,"1059 of 3141"
"Dallas County",29059,53.5,8798,"1058 of 3141"
"Carroll County",29033,53.6,4779,"1025 of 3141"
"Montgomery County",29139,53.8,6247,"1000 of 3141"
"Cedar County",29039,53.9,7476,"975 of 3141"
"Henry County",29083,54.1,11807,"942 of 3141"
"Knox County",29103,54.1,2152,"931 of 3141"
"Bollinger County",29017,54.3,6700,"910 of 3141"
"Mercer County",29129,54.3,1991,"907 of 3141"
"Shannon County",29203,54.3,4490,"903 of 3141"
"Clark County",29045,54.3,3696,"898 of 3141"
"Ste. Genevieve County",29186,54.4,9730,"879 of 3141"
"Dent County",29065,54.6,8494,"844 of 3141"
"Chariton County",29041,54.9,4167,"784 of 3141"
"Ralls County",29173,55.0,5613,"773 of 3141"
"Monroe County",29137,55.6,4827,"658 of 3141"
"Maries County",29125,55.9,5004,"629 of 3141"
"Douglas County",29067,56.0,7501,"611 of 3141"
"Gasconade County",29073,56.2,8298,"582 of 3141"
"Iron County",29093,56.3,5795,"562 of 3141"
"Dade County",29057,56.7,4301,"524 of 3141"
"Reynolds County",29179,57.0,3625,"490 of 3141"
"Wayne County",29223,57.1,7629,"477 of 3141"
"Putnam County",29171,57.1,2766,"473 of 3141"
"Morgan County",29141,57.2,11502,"451 of 3141"
"Worth County",29227,57.3,1177,"435 of 3141"
"Oregon County",29149,57.4,6189,"424 of 3141"
"Atchison County",29005,58.8,3138,"295 of 3141"
"Holt County",29087,59.4,2673,"253 of 3141"
"St. Clair County",29185,60.3,5665,"208 of 3141"
"Ozark County",29153,62.0,5779,"138 of 3141"
"Camden County",29029,62.0,27823,"137 of 3141"
"Stone County",29209,64.9,20475,"54 of 3141"
"Benton County",29015,65.0,12293,"53 of 3141"
"Hickory County",29085,67.2,6281,"26 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
