------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Missouri",29000,2.0,119295,"35 of 52"
"United States",00000,5.5,17756436,"N/A"
"Carter County",29035,0.0,0,"2927 of 3141"
"Schuyler County",29197,0.0,0,"2927 of 3141"
"Scotland County",29199,0.0,0,"2927 of 3141"
"Shannon County",29203,0.0,0,"2927 of 3141"
"Pemiscot County",29155,0.0,2,"2919 of 3141"
"Harrison County",29081,0.0,2,"2908 of 3141"
"Osage County",29151,0.0,4,"2902 of 3141"
"Moniteau County",29135,0.0,5,"2899 of 3141"
"Washington County",29221,0.0,10,"2879 of 3141"
"New Madrid County",29143,0.0,9,"2870 of 3141"
"Stoddard County",29207,0.1,15,"2869 of 3141"
"Hickory County",29085,0.1,6,"2848 of 3141"
"Shelby County",29205,0.1,4,"2845 of 3141"
"Iron County",29093,0.1,8,"2825 of 3141"
"Ste. Genevieve County",29186,0.1,14,"2823 of 3141"
"Crawford County",29055,0.1,20,"2820 of 3141"
"Douglas County",29067,0.1,11,"2819 of 3141"
"Chariton County",29041,0.1,7,"2799 of 3141"
"Clark County",29045,0.1,7,"2769 of 3141"
"Mississippi County",29133,0.1,15,"2758 of 3141"
"Wayne County",29223,0.1,15,"2751 of 3141"
"Morgan County",29141,0.1,23,"2748 of 3141"
"Benton County",29015,0.1,27,"2694 of 3141"
"Gasconade County",29073,0.2,24,"2660 of 3141"
"Ray County",29177,0.2,38,"2654 of 3141"
"Daviess County",29061,0.2,15,"2619 of 3141"
"Stone County",29209,0.2,58,"2613 of 3141"
"Maries County",29125,0.2,17,"2604 of 3141"
"Texas County",29215,0.2,49,"2603 of 3141"
