------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"Missouri",29000,29.0,1762842,"22 of 52"
"United States",00000,29.8,95565066,"N/A"
"Hickory County",29085,15.9,1484,"22 of 3141"
"Benton County",29015,17.4,3289,"51 of 3141"
"Stone County",29209,17.9,5650,"69 of 3141"
"Ozark County",29153,18.5,1726,"96 of 3141"
"Camden County",29029,19.7,8823,"162 of 3141"
"Oregon County",29149,20.2,2179,"201 of 3141"
"Putnam County",29171,20.7,1001,"246 of 3141"
"Mercer County",29129,20.7,759,"249 of 3141"
"Morgan County",29141,20.8,4188,"269 of 3141"
"Holt County",29087,21.0,945,"298 of 3141"
"St. Clair County",29185,21.1,1983,"309 of 3141"
"Wayne County",29223,21.5,2879,"358 of 3141"
"Knox County",29103,21.9,869,"412 of 3141"
"Atchison County",29005,21.9,1170,"425 of 3141"
"Clark County",29045,22.0,1497,"437 of 3141"
"Cedar County",29039,22.0,3055,"448 of 3141"
"Monroe County",29137,22.1,1916,"457 of 3141"
"Reynolds County",29179,22.1,1405,"459 of 3141"
"Dade County",29057,22.1,1677,"463 of 3141"
"Wright County",29229,22.2,4056,"472 of 3141"
"Worth County",29227,22.2,456,"484 of 3141"
"Harrison County",29081,22.2,1915,"486 of 3141"
"Dent County",29065,22.4,3488,"531 of 3141"
"Chariton County",29041,22.4,1700,"533 of 3141"
"Linn County",29115,22.6,2766,"575 of 3141"
"Gasconade County",29073,22.7,3354,"605 of 3141"
"Schuyler County",29197,22.7,1011,"607 of 3141"
"Douglas County",29067,22.8,3047,"618 of 3141"
"Dallas County",29059,22.8,3753,"640 of 3141"
"Caldwell County",29025,22.9,2070,"656 of 3141"
"Iron County",29093,22.9,2360,"674 of 3141"
"Macon County",29121,23.1,3544,"734 of 3141"
"Montgomery County",29139,23.2,2701,"760 of 3141"
"Maries County",29125,23.3,2085,"768 of 3141"
"Daviess County",29061,23.3,1934,"772 of 3141"
"Carter County",29035,23.3,1458,"774 of 3141"
"Ste. Genevieve County",29186,23.4,4186,"796 of 3141"
"Bollinger County",29017,23.5,2902,"824 of 3141"
"Ralls County",29173,23.5,2400,"828 of 3141"
"Carroll County",29033,23.5,2095,"832 of 3141"
"Henry County",29083,23.5,5141,"838 of 3141"
"Shannon County",29203,23.6,1954,"860 of 3141"
"Andrew County",29003,23.6,4101,"863 of 3141"
"Ripley County",29181,24.0,3313,"971 of 3141"
"Shelby County",29205,24.0,1462,"984 of 3141"
"Ray County",29177,24.1,5502,"993 of 3141"
"Sullivan County",29211,24.1,1537,"1002 of 3141"
"Gentry County",29075,24.1,1614,"1018 of 3141"
"Barry County",29009,24.1,8547,"1022 of 3141"
"Lafayette County",29107,24.2,7905,"1040 of 3141"
"Scotland County",29199,24.2,1184,"1051 of 3141"
"New Madrid County",29143,24.4,4399,"1083 of 3141"
"Bates County",29013,24.4,4011,"1098 of 3141"
"Barton County",29011,24.5,2921,"1101 of 3141"
"Dunklin County",29069,24.6,7594,"1135 of 3141"
"Crawford County",29055,24.6,5995,"1144 of 3141"
"Texas County",29215,24.7,6349,"1190 of 3141"
"Miller County",29131,24.7,6163,"1194 of 3141"
"Lawrence County",29109,24.8,9459,"1242 of 3141"
"Madison County",29123,24.8,3038,"1255 of 3141"
"Warren County",29219,25.1,8420,"1352 of 3141"
"Clinton County",29049,25.2,5156,"1370 of 3141"
"Grundy County",29079,25.2,2553,"1397 of 3141"
"Laclede County",29105,25.3,8993,"1427 of 3141"
"Vernon County",29217,25.5,5262,"1477 of 3141"
"McDonald County",29119,25.5,5803,"1497 of 3141"
"Perry County",29157,25.6,4891,"1511 of 3141"
"Howell County",29091,25.6,10261,"1513 of 3141"
"Webster County",29225,25.6,9612,"1522 of 3141"
"Franklin County",29071,25.7,26290,"1551 of 3141"
"Cass County",29037,25.8,26256,"1579 of 3141"
"Stoddard County",29207,26.0,7701,"1653 of 3141"
