------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Montana by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Montana",30000,8.7,88383,"30 of 51"
"Garfield County",30033,0.5,5,"10 of 3140"
"Liberty County",30051,0.9,20,"22 of 3140"
"McCone County",30055,1.2,20,"37 of 3140"
"Broadwater County",30007,1.2,66,"38 of 3140"
"Sweet Grass County",30097,1.3,45,"40 of 3140"
"Judith Basin County",30045,1.3,25,"41 of 3140"
"Granite County",30039,1.5,48,"54 of 3140"
"Chouteau County",30015,2.2,129,"123 of 3140"
"Sanders County",30089,2.5,286,"166 of 3140"
"Powder River County",30075,2.9,47,"249 of 3140"
"Mineral County",30061,3.1,128,"277 of 3140"
"Jefferson County",30043,3.1,361,"290 of 3140"
"Prairie County",30079,3.2,42,"303 of 3140"
"Dawson County",30021,3.3,309,"329 of 3140"
"Stillwater County",30095,3.4,317,"352 of 3140"
"Sheridan County",30091,3.7,130,"416 of 3140"
"Carbon County",30009,4.0,416,"534 of 3140"
"Big Horn County",30003,4.1,543,"570 of 3140"
"Petroleum County",30069,4.2,19,"592 of 3140"
"Carter County",30011,4.4,57,"643 of 3140"
"Teton County",30099,4.5,269,"713 of 3140"
"Daniels County",30019,4.6,81,"740 of 3140"
"Rosebud County",30087,4.8,438,"819 of 3140"
"Golden Valley County",30037,5.0,37,"913 of 3140"
"Pondera County",30073,5.1,304,"954 of 3140"
"Glacier County",30035,5.1,689,"966 of 3140"
"Phillips County",30071,5.1,209,"973 of 3140"
"Meagher County",30059,5.3,105,"1064 of 3140"
"Lake County",30047,5.7,1663,"1251 of 3140"
"Park County",30067,5.7,901,"1260 of 3140"
"Lincoln County",30053,5.8,1101,"1292 of 3140"
"Valley County",30105,6.0,451,"1434 of 3140"
"Madison County",30057,6.2,489,"1541 of 3140"
"Beaverhead County",30001,6.3,585,"1590 of 3140"
"Roosevelt County",30085,6.4,715,"1654 of 3140"
"Wibaux County",30109,6.8,75,"1788 of 3140"
"Wheatland County",30107,7.0,145,"1868 of 3140"
"Flathead County",30029,7.0,6665,"1880 of 3140"
"Powell County",30077,7.2,488,"1934 of 3140"
"Toole County",30101,7.3,368,"2025 of 3140"
"Blaine County",30005,7.5,486,"2070 of 3140"
"Deer Lodge County",30023,7.7,696,"2169 of 3140"
"Hill County",30041,7.8,1263,"2195 of 3140"
"Richland County",30083,8.0,893,"2259 of 3140"
"Ravalli County",30081,8.0,3291,"2277 of 3140"
"Silver Bow County",30093,8.4,2873,"2383 of 3140"
"Musselshell County",30065,8.9,416,"2538 of 3140"
"Custer County",30017,9.4,1100,"2643 of 3140"
"Fallon County",30025,9.4,270,"2653 of 3140"
"Treasure County",30103,9.8,77,"2754 of 3140"
"Fergus County",30027,10.1,1133,"2801 of 3140"
"Yellowstone County",30111,10.3,15890,"2834 of 3140"
"Cascade County",30013,10.3,8341,"2847 of 3140"
"Lewis and Clark County",30049,11.3,7398,"2971 of 3140"
"Missoula County",30063,11.8,13361,"3021 of 3140"
"Gallatin County",30031,12.1,12104,"3043 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
